;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;19,617054;56,75959;22,955273;35,71615;0,1
1;19,62079;56,762505;22,95464;35,7132;0,4
2;19,625237;56,76662;22,95484;35,71158;0,2
3;19,624186;56,76576;22,957699;35,71579;0,2
4;19,624115;56,765884;22,959555;35,71826;0,2
5;19,626276;56,769745;22,960434;35,718765;0,3
6;19,629244;56,773888;22,960222;35,717358;0,2
7;19,633406;56,77937;22,959448;35,714233;0,2
8;19,637047;56,784515;22,95954;35,7129;0,2
9;19,636246;56,78466;22,961294;35,715782;0,3
10;19,641466;56,792297;22,959902;35,711582;0,4
11;19,642508;56,794468;22,960863;35,712345;0,9
12;19,644043;56,797684;22,961403;35,712658;2,7
13;19,648087;56,803898;22,961582;35,711426;8,0
14;19,648863;56,805557;22,962437;35,712433;10,6
15;19,65452;56,812645;22,9617;35,70901;18,3
16;19,652262;56,811047;22,964325;35,713425;28,199999
17;19,649977;56,80898;22,965359;35,715633;54,3
18;19,64932;56,807793;22,965546;35,71609;75,9
19;19,647667;56,80712;22,966217;35,717747;86,7
20;19,647032;56,806797;22,965248;35,71662;85,5
21;19,645994;56,804283;22,963799;35,71507;46,000004
22;19,64494;56,803383;22,963385;35,71487;22,4
23;19,64243;56,799694;22,963232;35,715565;11,099999
24;19,639927;56,795834;22,96263;35,715797;5,0
25;19,637085;56,79243;22,962667;35,71679;4,2
26;19,633732;56,78776;22,96274;35,718414;0,6
27;19,62979;56,782486;22,962975;35,720394;1,1
28;19,627777;56,77955;22,96241;35,72053;0,5
29;19,621738;56,77149;22,962593;35,723724;0,5
30;19,621115;56,77006;22,961105;35,72202;0,5
31;19,617634;56,7648;22,960718;35,723183;0,6
32;19,61712;56,762894;22,959026;35,721054;0,6
33;19,614103;56,75922;22,958326;35,721764;0,5
34;19,610811;56,754505;22,958025;35,722424;0,4
35;19,609991;56,75217;22,957191;35,721725;0,2
36;19,608175;56,749683;22,957735;35,72335;0,2
37;19,605936;56,74677;22,957949;35,724773;0,3
38;19,60877;56,74941;22,956512;35,7215;0,2
39;19,613718;56,754787;22,954782;35,71706;1,4
40;19,613817;56,75465;22,954832;35,717045;0,3
41;19,616936;56,75775;22,95383;35,7145;0,1
42;19,615286;56,75557;22,955101;35,717068;0,1
43;19,622154;56,763283;22,95216;35,710175;0,1
44;19,622858;56,764175;22,953234;35,711338;0,3
45;19,620724;56,761814;22,954985;35,71457;0,1
46;19,62409;56,765446;22,95455;35,71268;0,3
47;19,624651;56,766666;22,956404;35,7151;0,1
48;19,627172;56,769936;22,956123;35,71377;0,2
49;19,62954;56,772552;22,956291;35,713024;0,0
50;19,631414;56,775036;22,957804;35,714497;0,2
51;19,632105;56,77661;22,959425;35,716625;0,2
