;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;512,47095;527,7137;371,7089;396,93146;1175,9
1;512,4707;527,704;371,70517;396,92712;1015,7
2;512,4699;527,7022;371,7038;396,92584;916,1
3;512,46936;527,6993;371,70193;396,92374;1021,0999
4;512,4724;527,6947;371,69724;396,92017;1084,0
5;512,476;527,69586;371,69455;396,91888;1097,8
6;512,48206;527,6984;371,69196;396,91846;648,8
7;512,4859;527,70593;371,6931;396,9209;926,99994
8;512,48785;527,7127;371,6958;396,92416;1034,0
9;512,48456;527,71906;371,7017;396,92868;1205,0
10;512,4776;527,718;371,70627;396,93097;1358,5
11;512,4678;527,71155;371,70938;396,93063;1431,6
12;512,4629;527,6964;371,7046;396,92487;1473,6
13;512,4603;527,68677;371,6992;396,9199;1348,9
14;512,4647;527,6764;371,68887;396,9127;749,7
15;512,4727;527,6759;371,68018;396,90894;947,9001
16;512,4797;527,6828;371,6757;396,9089;1088,6
17;512,48334;527,68994;371,67398;396,9104;1167,7
18;512,48425;527,6944;371,6737;396,9115;1403,6
19;512,4881;527,6943;371,67062;396,91068;1541,0
20;512,48846;527,70056;371,67212;396,9133;1578,4
21;512,4889;527,70154;371,67212;396,9139;1251,9
22;512,4899;527,70325;371,67212;396,9149;1224,6
23;512,4884;527,70685;371,67438;396,91718;1128,0
24;512,48785;527,706;371,67465;396,91766;1064,3
25;512,48566;527,7074;371,6763;396,91898;985,6
26;512,48346;527,7053;371,6764;396,9188;1201,2
27;512,4812;527,7027;371,6759;396,9179;1191,3
28;512,4836;527,69794;371,67197;396,91498;799,6
29;512,48694;527,6998;371,66998;396,91446;919,5
30;512,4916;527,7038;371,66873;396,9151;927,1
31;512,4936;527,7117;371,67136;396,9186;1018,6
32;512,4921;527,7167;371,67545;396,92145;841,3
33;512,4945;527,7159;371,67578;396,92166;911,39996
34;512,49243;527,72314;371,6815;396,92624;928,2
35;512,48895;527,7241;371,68597;396,92874;845,3
36;512,4837;527,72235;371,6899;396,92975;753,7
37;512,4835;527,7163;371,68903;396,92786;662,2
38;512,4795;527,7181;371,6925;396,92963;662,7
39;512,4775;527,71246;371,6918;396,92755;608,2
40;512,4773;527,7082;371,69006;396,92535;455,2
41;512,48083;527,70636;371,68723;396,92337;470,3
42;512,4825;527,7108;371,68802;396,9246;449,9
43;512,4801;527,714;371,69086;396,92636;418,09998
44;512,4789;527,7101;371,69046;396,92474;405,1
45;512,47986;527,70734;371,68924;396,92285;411,39996
46;512,48535;527,7061;371,68628;396,92075;416,80002
47;512,4891;527,7136;371,68835;396,9231;375,0
48;512,49036;527,72034;371,69235;396,92648;436,8
49;512,48645;527,7255;371,6991;396,93042;474,3
50;512,48285;527,72235;371,70248;396,9305;518,6
51;512,4807;527,7189;371,7045;396,93002;761,2001
52;512,4776;527,71704;371,70706;396,93024;953,2
