;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;39,77421;13,170082;9,480762;25,120798;2,0
1;39,774193;13,170061;9,480777;25,12076;1,7000002
2;39,77421;13,170059;9,480774;25,120771;1,1
3;39,7742;13,170063;9,480771;25,120771;2,3
4;39,77422;13,170073;9,480764;25,120787;2,7
5;39,77422;13,170063;9,480774;25,12077;3,0
6;39,774204;13,170066;9,480769;25,120775;2,6
7;39,77421;13,170072;9,480761;25,120787;3,4000003
8;39,774204;13,170073;9,480764;25,120787;5,9
9;39,774216;13,170064;9,480765;25,120777;8,3
10;39,774223;13,170078;9,480767;25,120792;11,2
11;39,774208;13,170059;9,480764;25,120766;20,0
12;39,774216;13,17007;9,480766;25,12078;33,9
13;39,774208;13,170064;9,480761;25,120771;46,3
14;39,774208;13,170063;9,480767;25,120775;30,400002
15;39,774204;13,170069;9,48076;25,12078;27,300001
16;39,774204;13,170072;9,480768;25,120783;45,2
17;39,774216;13,170066;9,4807625;25,120783;93,4
18;39,77422;13,170069;9,480764;25,120783;162,7
19;39,77422;13,1700535;9,480767;25,120764;206,10002
20;39,77421;13,170053;9,480775;25,12076;203,8
21;39,774216;13,170063;9,480763;25,120764;154,1
22;39,774204;13,170059;9,480762;25,120771;123,2
23;39,77422;13,1700535;9,480765;25,120758;77,7
24;39,77421;13,170059;9,480765;25,120766;52,8
25;39,774204;13,170066;9,480767;25,120771;35,7
26;39,774216;13,170063;9,480766;25,120771;31,400002
27;39,774216;13,170063;9,480769;25,120771;20,9
28;39,774204;13,170061;9,480769;25,120766;11,8
29;39,774208;13,170072;9,480767;25,120777;10,5
30;39,774216;13,170064;9,480778;25,12077;6,9999995
31;39,774216;13,170066;9,480764;25,120771;5,2
32;39,774216;13,170063;9,480764;25,12077;3,3
33;39,774208;13,170051;9,480778;25,120752;3,1999998
34;39,774204;13,170058;9,480778;25,120766;2,3
35;39,774223;13,170058;9,480767;25,120766;1,9000001
36;39,774216;13,170066;9,48078;25,120764;1,9000001
37;39,774197;13,170058;9,48078;25,120749;1,2
38;39,774204;13,170059;9,480784;25,120752;1,1
39;39,774208;13,170066;9,480772;25,12076;1,0
40;39,774208;13,170061;9,480774;25,120766;0,79999995
41;39,774216;13,170075;9,480767;25,120787;0,8999999
42;39,774204;13,170072;9,48077;25,120775;1,4
43;39,774204;13,170061;9,480768;25,12077;1,0
44;39,7742;13,17007;9,480779;25,12077;1,0
45;39,77421;13,170069;9,480777;25,12077;0,7
46;39,774204;13,170072;9,480767;25,120775;0,6
47;39,774208;13,170061;9,48077;25,12076;0,8999999
48;39,774204;13,170072;9,480774;25,120775;1,5
49;39,7742;13,170063;9,480775;25,120766;1,2
50;39,774216;13,170073;9,480775;25,12078;1,7000002
51;39,77422;13,170077;9,48077;25,120796;1,3
52;39,7742;13,17007;9,4807825;25,120766;1,5
