;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;13400,236;12292,528;12345,998;11472,156;11800,0
1;13400,238;12292,532;12346,0;11472,158;18200,0
2;13400,246;12292,533;12346,009;11472,165;15800,0
3;13400,244;12292,538;12346,008;11472,162;18700,0
4;13400,244;12292,539;12346,009;11472,158;17800,0
5;13400,242;12292,535;12346,003;11472,161;18100,0
6;13400,24;12292,535;12346,007;11472,162;19900,0
7;13400,247;12292,536;12346,013;11472,17;18100,0
8;13400,247;12292,543;12346,013;11472,172;19400,0
9;13400,246;12292,54;12346,013;11472,167;15500,0
10;13400,25;12292,542;12346,014;11472,163;25200,0
11;13400,249;12292,543;12346,015;11472,167;27500,0
12;13400,248;12292,543;12346,013;11472,163;21300,0
13;13400,248;12292,544;12346,016;11472,17;29000,0
14;13400,25;12292,547;12346,016;11472,175;34100,0
15;13400,252;12292,548;12346,018;11472,173;23800,0
16;13400,252;12292,546;12346,018;11472,169;13800,0
17;13400,254;12292,548;12346,018;11472,165;18600,0
18;13400,251;12292,547;12346,016;11472,162;18800,0
19;13400,249;12292,545;12346,015;11472,165;15000,0
20;13400,256;12292,547;12346,02;11472,17;16900,0
21;13400,259;12292,55;12346,021;11472,169;37800,004
22;13400,261;12292,55;12346,022;11472,171;20200,0
23;13400,263;12292,55;12346,023;11472,171;15400,0
24;13400,255;12292,553;12346,018;11472,164;20100,0
25;13400,254;12292,548;12346,016;11472,163;16400,0
26;13400,251;12292,544;12346,015;11472,16;19700,0
27;13400,251;12292,545;12346,014;11472,161;17200,0
28;13400,254;12292,545;12346,015;11472,163;20500,0
29;13400,251;12292,54;12346,013;11472,153;23100,0
30;13400,249;12292,539;12346,014;11472,155;13000,0
31;13400,25;12292,54;12346,011;11472,152;14400,0
32;13400,248;12292,536;12346,007;11472,15;11800,0
33;13400,245;12292,53;12346,002;11472,145;14900,0
34;13400,246;12292,53;12346,003;11472,152;13500,0
35;13400,245;12292,528;12346,0;11472,15;10500,0
36;13400,24;12292,528;12346,003;11472,149;15100,0
37;13400,238;12292,529;12345,998;11472,144;14699,999
38;13400,235;12292,521;12345,995;11472,141;18000,0
39;13400,236;12292,5205;12345,995;11472,139;12600,0
40;13400,237;12292,5205;12345,996;11472,144;8300,0
41;13400,238;12292,519;12345,996;11472,144;10700,0
42;13400,231;12292,518;12345,99;11472,136;12100,0
43;13400,232;12292,518;12345,99;11472,138;11400,0
44;13400,233;12292,514;12345,991;11472,14;8900,0
45;13400,232;12292,514;12345,991;11472,14;12900,0
46;13400,234;12292,518;12345,994;11472,1455;7400,0
47;13400,234;12292,52;12345,997;11472,146;9300,0
48;13400,231;12292,518;12345,994;11472,145;6400,0
49;13400,234;12292,522;12345,995;11472,144;8800,0
50;13400,235;12292,521;12345,996;11472,148;13900,0
51;13400,237;12292,526;12345,997;11472,155;17100,0
52;13400,24;12292,527;12346,0;11472,153;11300,0
