;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;2032,7263;1996,8821;2162,2637;1886,5986;2500,0
1;2032,7192;1996,8575;2162,2402;1886,5706;5800,0
2;2032,7104;1996,8794;2162,2678;1886,5769;3600,0
3;2032,7015;1996,8771;2162,2664;1886,5656;3400,0
4;2032,719;1996,8735;2162,2498;1886,5868;3900,0
5;2032,7277;1996,864;2162,2314;1886,5898;1600,0
6;2032,7064;1996,857;2162,2322;1886,556;3000,0
7;2032,6942;1996,8534;2162,2302;1886,5377;5200,0
8;2032,7015;1996,8339;2162,2046;1886,5344;7200,0
9;2032,7012;1996,8627;2162,231;1886,5559;4800,0
10;2032,705;1996,817;2162,1787;1886,5258;5500,0
11;2032,6963;1996,8434;2162,212;1886,5363;7900,0
12;2032,7064;1996,8303;2162,1902;1886,539;10400,0
13;2032,6722;1996,8395;2162,2178;1886,5032;5100,0005
14;2032,7133;1996,8239;2162,1765;1886,5483;13400,0
15;2032,6813;1996,8474;2162,2197;1886,5247;1200,0
16;2032,7036;1996,8379;2162,191;1886,5474;12600,0
17;2032,6868;1996,8235;2162,1807;1886,5115;8700,0
18;2032,7109;1996,8026;2162,1404;1886,5267;11900,0
19;2032,6565;1996,7906;2162,1604;1886,444;8900,0
20;2032,6995;1996,8044;2162,151;1886,5144;8099,9995
21;2032,6781;1996,8035;2162,1638;1886,4846;11200,0
22;2032,6919;1996,8026;2162,1562;1886,5034;6400,0
23;2032,6869;1996,8154;2162,1733;1886,5063;4500,0
24;2032,6925;1996,799;2162,1538;1886,5011;4000,0002
25;2032,6929;1996,8063;2162,1655;1886,507;3299,9998
26;2032,682;1996,8079;2162,1785;1886,495;3200,0
27;2032,6986;1996,8384;2162,2034;1886,5422;2900,0
28;2032,6938;1996,8237;2162,1921;1886,5231;0,0
29;2032,6976;1996,8324;2162,2017;1886,5342;1600,0
30;2032,7054;1996,8303;2162,1973;1886,5425;2900,0
31;2032,7163;1996,826;2162,1917;1886,5511;2000,0001
32;2032,7069;1996,8405;2162,2166;1886,549;1100,0
33;2032,7126;1996,8416;2162,2168;1886,5549;500,00003
34;2032,7203;1996,839;2162,213;1886,5615;0,0
35;2032,7223;1996,8396;2162,2158;1886,5646;800,0
36;2032,7119;1996,8506;2162,2395;1886,5597;0,0
37;2032,7289;1996,8671;2162,2463;1886,5942;1000,00006
38;2032,7231;1996,856;2162,24;1886,5748;0,0
39;2032,7325;1996,8613;2162,2417;1886,59;2300,0
40;2032,7216;1996,8582;2162,2446;1886,5706;3200,0
41;2032,7252;1996,8561;2162,2407;1886,5734;4800,0
42;2032,7444;1996,8451;2162,2236;1886,5896;2100,0
43;2032,7235;1996,8774;2162,2727;1886,5868;1100,0
44;2032,7411;1996,8787;2162,2622;1886,6106;900,0
45;2032,7277;1996,8606;2162,2498;1886,5778;600,0
46;2032,7245;1996,878;2162,2698;1886,585;1200,0
47;2032,7186;1996,8607;2162,2546;1886,5663;3299,9998
48;2032,7249;1996,8895;2162,2812;1886,5988;1600,0
49;2032,7333;1996,8848;2162,267;1886,6052;1100,0
50;2032,7131;1996,8672;2162,259;1886,5657;0,0
51;2032,7194;1996,8802;2162,2683;1886,5872;600,0
52;2032,7332;1996,8802;2162,2563;1886,604;3000,0
