;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;1314,4354;736,9392;1186,2714;1318,6359;1504,0001
1;1314,5559;736,0872;1186,0566;1318,9257;1269,5
2;1314,1128;736,4615;1186,5967;1318,964;1041,1
3;1312,27;737,7534;1187,7914;1319,2123;976,5
4;1311,4858;737,66187;1187,9445;1319,7445;1249,6
5;1311,1967;738,1684;1188,278;1320,1064;1153,6
6;1310,5957;738,57214;1188,5033;1320,1338;1079,3
7;1310,0612;738,427;1188,4766;1320,2628;1032,3
8;1310,1536;738,49207;1188,2517;1320,3389;1179,2
9;1310,6769;738,59216;1187,9272;1320,5074;1205,5
10;1310,2953;738,23895;1187,9197;1320,6626;1205,3
11;1310,166;737,999;1187,5844;1320,6196;1514,7
12;1310,3882;737,29785;1187,2853;1320,6989;1519,0001
13;1310,2607;737,93646;1187,6428;1320,8549;1357,6998
14;1310,8153;738,4665;1187,4783;1320,7782;1100,7
15;1311,1394;738,43365;1187,2653;1320,9882;1016,2
16;1313,014;739,02966;1186,5231;1320,6194;1128,5
17;1312,3146;738,62085;1186,8617;1320,5035;1246,3
18;1313,6855;739,25525;1186,2546;1320,4587;1346,2
19;1312,9515;738,321;1186,1488;1320,1552;1419,6
20;1313,4856;737,83417;1185,7926;1320,218;1412,7001
21;1314,9169;737,58923;1184,9824;1319,563;1413,3
22;1316,0278;737,6016;1185,0071;1319,3951;1419,6
23;1316,6527;737,5809;1184,8982;1319,1788;1340,0999
24;1316,7141;737,99677;1185,1442;1318,847;1297,6
25;1316,8138;738,1395;1185,1547;1318,6979;1097,0
26;1316,3674;737,7435;1185,2207;1318,7823;899,2
27;1316,2076;737,5793;1185,2115;1318,6843;932,7
28;1315,8804;737,2234;1185,1123;1318,7605;1003,7999
29;1315,4232;736,913;1185,3538;1318,5991;945,23334
30;1315,6377;736,4773;1185,0548;1318,7314;968,25
31;1314,5602;736,0942;1185,4146;1318,4271;1219,7
32;1314,1772;735,112;1185,2657;1318,9232;1496,7501
