;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;3587,925;4160,9185;3401,9705;3708,4412;3500,0
1;3587,9397;4160,9263;3401,9531;3708,4514;3200,0
2;3587,9368;4160,921;3401,9602;3708,451;4100,0
3;3587,9329;4160,9204;3401,9646;3708,446;5299,9995
4;3587,9265;4160,914;3401,9739;3708,4429;5900,0
5;3587,9285;4160,9146;3401,971;3708,4443;5100,0
6;3587,9297;4160,916;3401,9683;3708,4434;5299,9995
7;3587,9219;4160,9062;3401,9854;3708,4438;8900,0
8;3587,9265;4160,9126;3401,9744;3708,4417;9500,0
9;3587,9272;4160,911;3401,9749;3708,4434;9200,0
10;3587,924;4160,9106;3401,9753;3708,439;9300,0
11;3587,9265;4160,909;3401,977;3708,4448;8300,0
12;3587,9277;4160,91;3401,9744;3708,4443;9000,0
13;3587,943;4160,9175;3401,9568;3708,4575;7000,0
14;3587,9265;4160,909;3401,976;3708,4421;11100,0
15;3587,9265;4160,9097;3401,9731;3708,4438;10500,0
16;3587,9275;4160,91;3401,9739;3708,4456;8700,0
17;3587,9243;4160,91;3401,9739;3708,4421;10599,999
18;3587,9114;4160,905;3401,988;3708,4297;10000,0
19;3587,9324;4160,922;3401,9553;3708,4417;7900,0
20;3587,9314;4160,9214;3401,9563;3708,4412;9900,0
21;3587,9211;4160,9146;3401,9705;3708,4363;8900,0
22;3587,9302;4160,921;3401,958;3708,4421;8400,0
23;3587,9343;4160,925;3401,951;3708,446;7300,0
24;3587,918;4160,917;3401,9683;3708,432;9699,999
25;3587,9297;4160,9263;3401,9514;3708,4407;7200,0
26;3587,9246;4160,9243;3401,9575;3708,4373;5000,0
27;3587,9238;4160,9253;3401,9558;3708,435;4900,0
28;3587,9265;4160,931;3401,9487;3708,435;1900,0
29;3587,936;4160,9375;3401,9346;3708,4407;3900,0
30;3587,937;4160,9385;3401,934;3708,4417;2700,0
31;3587,9385;4160,943;3401,9263;3708,4412;1999,9999
32;3587,9485;4160,948;3401,9177;3708,45;4500,0
33;3587,9326;4160,942;3401,934;3708,434;3000,0
