;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;27,207224;29,500582;28,385355;23,15901;16,0
1;27,20687;29,500025;28,384611;23,158514;19,7
2;27,20679;29,4995;28,384132;23,158308;19,7
3;27,206806;29,499666;28,384378;23,158419;21,299997
4;27,206884;29,499546;28,384212;23,1584;27,9
5;27,206682;29,499313;28,383957;23,158176;19,7
6;27,206444;29,499107;28,383745;23,157892;35,3
7;27,206364;29,49879;28,383339;23,157656;33,4
8;27,20657;29,49891;28,383625;23,15791;44,1
9;27,206581;29,498693;28,383406;23,157919;45,9
10;27,20657;29,498697;28,383518;23,15801;37,9
11;27,206156;29,497885;28,382437;23,157341;49,1
12;27,20605;29,497305;28,381874;23,15705;60,3
13;27,20663;29,497583;28,382376;23,157698;49,5
14;27,206877;29,498096;28,383081;23,158241;27,500002
15;27,206848;29,497772;28,382755;23,158201;42,7
16;27,20603;29,496986;28,381897;23,157326;54,5
17;27,205688;29,496634;28,381525;23,156828;66,9
18;27,205687;29,496548;28,381323;23,15665;73,7
19;27,205997;29,49678;28,381641;23,156963;73,7
20;27,206142;29,496775;28,381704;23,157179;68,6
21;27,206253;29,496704;28,381613;23,15728;55,1
22;27,20612;29,49693;28,381992;23,157305;48,799995
23;27,206152;29,497166;28,38229;23,157452;41,4
24;27,206148;29,497057;28,382008;23,157331;39,7
25;27,206337;29,497347;28,382318;23,157557;26,8
26;27,20626;29,497246;28,382093;23,157412;23,299997
27;27,206223;29,497381;28,382286;23,15743;21,9
28;27,206152;29,497387;28,38217;23,157305;16,6
29;27,206367;29,497824;28,382698;23,157612;18,2
30;27,206446;29,498058;28,382803;23,157715;17,9
31;27,206324;29,497986;28,382526;23,157469;8,4
32;27,206083;29,497799;28,382149;23,157072;7,0999994
33;27,206373;29,498238;28,382633;23,15736;7,0999994
34;27,20675;29,498962;28,383423;23,157925;10,4
35;27,206852;29,498919;28,383312;23,15799;3,7000003
36;27,206644;29,498943;28,383413;23,157925;9,8
37;27,206907;29,49931;28,383814;23,158218;8,2
38;27,20694;29,499752;28,384323;23,158445;6,4000006
39;27,20694;29,499306;28,383629;23,158195;8,5
40;27,20676;29,499187;28,383644;23,15806;10,0
41;27,206718;29,499266;28,383846;23,1581;5,5
42;27,206907;29,49982;28,384651;23,158545;13,5
43;27,20675;29,499163;28,383764;23,158207;12,9
44;27,206823;29,498993;28,383669;23,158241;10,699999
45;27,206816;29,4993;28,384047;23,158363;6,0999994
46;27,206997;29,499397;28,384233;23,158592;5,2
47;27,207052;29,4993;28,38418;23,158699;7,0999994
48;27,20697;29,499256;28,384161;23,158674;12,1
49;27,207006;29,4993;28,384153;23,158684;5,7
50;27,206964;29,499262;28,384138;23,158611;9,5
51;27,206844;29,499413;28,384424;23,158659;2,7999997
52;27,206856;29,499352;28,384228;23,158588;14,5
