;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;36,347534;31,139332;26,530865;12,720539;22,3
1;36,34755;31,13936;26,530787;12,7204485;23,0
2;36,347603;31,139404;26,530699;12,720334;19,3
3;36,34764;31,139425;26,530682;12,720317;22,3
4;36,34772;31,139471;26,5306;12,720183;26,1
5;36,34782;31,139366;26,530598;12,720156;27,699999
6;36,34789;31,139368;26,530567;12,72011;31,2
7;36,347977;31,139412;26,530504;12,720014;36,3
8;36,34804;31,139515;26,530499;12,72003;37,7
9;36,348175;31,139528;26,530481;12,719969;44,3
10;36,348347;31,139452;26,530468;12,719881;49,1
11;36,348446;31,139282;26,530533;12,719941;56,499996
12;36,348396;31,139572;26,53051;12,720015;64,8
13;36,348534;31,139595;26,53049;12,719946;63,3
14;36,34854;31,139624;26,530638;12,720139;32,9
15;36,34867;31,139858;26,530626;12,720125;67,0
16;36,34868;31,139505;26,53092;12,720462;65,2
17;36,348694;31,139446;26,531;12,720533;60,7
18;36,348755;31,139635;26,530928;12,72045;62,4
19;36,34881;31,139465;26,531048;12,720554;57,8
20;36,348873;31,139524;26,531033;12,720513;55,899998
21;36,348797;31,139559;26,531103;12,72068;55,500004
22;36,348755;31,139605;26,531137;12,720715;54,6
23;36,34872;31,139635;26,531172;12,720797;51,0
24;36,348648;31,139505;26,531282;12,720908;40,9
25;36,348614;31,139673;26,531176;12,720803;36,3
26;36,348522;31,139748;26,531244;12,720923;36,4
27;36,348442;31,139585;26,531301;12,720998;12,1
28;36,348267;31,139894;26,531284;12,721105;23,1
29;36,34824;31,139841;26,531326;12,721089;22,7
30;36,3482;31,139761;26,531357;12,72109;19,699999
31;36,34806;31,140015;26,531326;12,721186;18,4
32;36,34803;31,139887;26,531435;12,721286;15,4
33;36,348;31,139887;26,531399;12,721206;12,5
34;36,347935;31,139841;26,531437;12,721283;11,0
35;36,34787;31,139948;26,53139;12,721249;11,5
36;36,347824;31,140003;26,531412;12,721316;11,7
37;36,34777;31,139902;26,531467;12,72135;11,3
38;36,347694;31,13984;26,53153;12,721444;12,2
39;36,347713;31,139795;26,531473;12,721337;12,0
40;36,347683;31,139736;26,531502;12,721368;10,399999
41;36,347595;31,139696;26,53153;12,721442;10,5
42;36,347576;31,139797;26,531437;12,721331;9,2
43;36,347584;31,139559;26,531488;12,721332;9,7
44;36,34757;31,13952;26,531406;12,72123;9,7
45;36,347523;31,139507;26,531387;12,72122;10,199999
46;36,34757;31,139553;26,531256;12,72104;11,3
47;36,347572;31,13951;26,53124;12,721041;11,3
48;36,347565;31,139336;26,531233;12,720999;15,0
49;36,34758;31,139318;26,53116;12,720888;18,2
50;36,347603;31,139431;26,531055;12,720778;21,4
51;36,347687;31,139309;26,531015;12,720682;19,8
52;36,34775;31,139185;26,530968;12,720598;19,600002
