;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;210,1819;232,9198;202,42194;232,22626;204,8
1;210,18187;232,91977;202,42189;232,22626;221,0
2;210,18188;232,91977;202,42195;232,22632;219,8
3;210,18188;232,91977;202,42201;232,22636;274,9
4;210,18188;232,91977;202,42198;232,22633;316,9
5;210,18188;232,91977;202,42198;232,22633;332,3
6;210,18192;232,91977;202,42204;232,22636;301,9
7;210,18192;232,91977;202,42201;232,22633;339,8
8;210,1819;232,91975;202,42201;232,22633;355,3
9;210,18188;232,91975;202,422;232,22632;385,7
10;210,18192;232,91977;202,42207;232,22641;786,6
11;210,18195;232,9198;202,4221;232,2264;491,50003
12;210,18192;232,91977;202,42213;232,22641;504,7
13;210,18199;232,91983;202,4221;232,22641;344,5
14;210,18199;232,91983;202,4222;232,22649;323,5
15;210,182;232,91983;202,4222;232,22647;383,4
16;210,182;232,91983;202,42218;232,22647;445,8
17;210,18202;232,91985;202,42223;232,22649;456,6
18;210,182;232,9198;202,42223;232,22649;474,79996
19;210,182;232,91985;202,42227;232,22652;512,0
20;210,182;232,91985;202,42224;232,22649;498,1
21;210,18202;232,91988;202,42226;232,22652;389,1
22;210,18205;232,91988;202,4223;232,22652;347,7
23;210,18205;232,91988;202,4223;232,22652;318,2
24;210,18208;232,91988;202,42232;232,22652;322,9
25;210,18208;232,91988;202,42235;232,22655;328,7
26;210,18208;232,9199;202,4223;232,22652;322,6
27;210,18207;232,91988;202,42236;232,22655;322,0
28;210,18207;232,91985;202,42235;232,22655;239,1
29;210,18208;232,91992;202,42238;232,22656;243,0
30;210,18207;232,9199;202,42235;232,22655;239,2
31;210,18205;232,91988;202,42227;232,22649;249,20001
32;210,18205;232,91988;202,4223;232,22652;150,5
33;210,182;232,91983;202,42227;232,22649;212,5
34;210,182;232,91985;202,42221;232,22647;191,0
35;210,18199;232,91985;202,42223;232,22649;172,0
36;210,18198;232,91983;202,42218;232,22644;143,5
37;210,18199;232,91985;202,42218;232,22644;157,5
38;210,18193;232,91983;202,42212;232,22641;154,0
39;210,18195;232,91983;202,4221;232,22641;154,7
40;210,18196;232,91985;202,42206;232,22636;117,3
41;210,18192;232,9198;202,42206;232,22633;136,3
42;210,18193;232,91983;202,42206;232,2264;115,899994
43;210,18192;232,91977;202,42201;232,22632;103,8
44;210,18193;232,91983;202,42201;232,22633;96,8
45;210,18192;232,91985;202,422;232,22633;112,7
46;210,1819;232,91977;202,422;232,22632;119,0
47;210,18188;232,91977;202,422;232,22632;105,399994
48;210,18187;232,91977;202,42198;232,22632;121,0
49;210,18188;232,9198;202,42197;232,22632;176,8
50;210,1819;232,91977;202,422;232,22632;167,4
51;210,18188;232,91975;202,42194;232,22626;231,1
52;210,18185;232,91975;202,42194;232,22629;319,9
