;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;545,907;541,7719;516,38763;547,4046;842,2
1;545,9147;541,7751;516,39667;547,41406;952,0
2;545,90985;541,7788;516,3896;547,4118;860,2
3;545,90643;541,77423;516,3897;547,4057;796,5
4;545,9116;541,77966;516,38824;547,41327;888,1
5;545,9186;541,7737;516,4021;547,4148;881,99994
6;545,91266;541,7737;516,39716;547,41296;683,5
7;545,91895;541,76965;516,4041;547,4156;658,3
8;545,92053;541,77124;516,403;547,4187;774,5
9;545,9261;541,7695;516,41046;547,4209;820,4001
10;545,91876;541,7689;516,4088;547,4199;572,9
11;545,92523;541,7653;516,41675;547,4227;851,4
12;545,92145;541,76276;516,41547;547,4202;944,9
13;545,9284;541,76117;516,42474;547,4276;864,0
14;545,93146;541,7561;516,4329;547,431;523,6
15;545,93243;541,7534;516,4306;547,429;663,4
16;545,93604;541,7521;516,4343;547,4337;959,6
17;545,9467;541,7509;516,4435;547,44037;1130,0
18;545,9401;541,74536;516,4433;547,43384;1100,4
19;545,9425;541,7503;516,4378;547,43854;1089,9
20;545,9456;541,74365;516,4481;547,4375;1083,1
21;545,9436;541,74207;516,44635;547,43494;964,30005
22;545,9452;541,7433;516,44934;547,4411;871,5
23;545,94586;541,7422;516,4459;547,4392;746,2
24;545,94965;541,7391;516,449;547,43964;716,9
25;545,95496;541,74146;516,44965;547,44366;855,1
26;545,95087;541,73663;516,4497;547,4368;947,3
27;545,95245;541,73944;516,44824;547,43933;877,7001
28;545,9471;541,7348;516,44775;547,432;880,9
29;545,9489;541,7406;516,44556;547,43835;826,9
30;545,9463;541,7364;516,44543;547,43134;722,5999
31;545,93896;541,7366;516,4351;547,42444;346,7
32;545,9463;541,7404;516,43933;547,43195;561,9
33;545,9417;541,7398;516,4358;547,4275;735,7
34;545,9454;541,74164;516,43756;547,43115;702,3
35;545,94476;541,7388;516,4409;547,42914;686,4
36;545,93896;541,73785;516,4331;547,4207;735,9
37;545,93524;541,7402;516,4292;547,41974;659,3
38;545,93256;541,7383;516,4261;547,414;600,7
39;545,9325;541,74457;516,4227;547,41785;526,3
40;545,92566;541,74536;516,4152;547,411;565,7
41;545,92596;541,7488;516,4133;547,411;517,1
42;545,91956;541,751;516,4089;547,4075;496,60004
43;545,9175;541,7519;516,4062;547,4045;525,4
44;545,9139;541,75824;516,39935;547,4051;586,7
45;545,91174;541,75995;516,3976;547,4032;553,0
46;545,9098;541,7604;516,3973;547,40216;410,1
47;545,90857;541,7661;516,3908;547,403;561,7
48;545,9083;541,7619;516,3978;547,4015;532,3
49;545,91046;541,7654;516,3962;547,4047;526,7
50;545,91046;541,7695;516,3976;547,4091;549,3
51;545,90643;541,7693;516,39404;547,4054;778,7
