;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;1,573486;1,8315645;2,2077923;2,0820777;0,0
1;1,5734862;1,8315641;2,2077923;2,0820773;8,5
2;1,5734859;1,8315648;2,2077923;2,0820777;0,0
3;1,5734862;1,8315645;2,2077925;2,0820775;0,0
4;1,5734862;1,8315644;2,207792;2,0820775;0,0
5;1,5734862;1,8315644;2,2077925;2,0820777;0,5
6;1,5734863;1,8315648;2,2077923;2,0820777;0,7
7;1,5734866;1,8315644;2,2077923;2,0820775;0,7
8;1,5734862;1,8315648;2,207792;2,0820775;0,7
9;1,5734862;1,8315643;2,207792;2,0820775;1,0
10;1,5734862;1,8315645;2,2077923;2,0820775;0,2
11;1,5734867;1,8315643;2,2077925;2,082077;1,6
12;1,5734863;1,8315644;2,207792;2,0820777;0,7
13;1,5734862;1,8315644;2,2077923;2,0820773;3,4
14;1,573486;1,8315645;2,2077925;2,0820773;1,5
15;1,5734859;1,8315644;2,2077923;2,0820773;8,6
16;1,5734862;1,8315645;2,207792;2,0820775;11,3
17;1,573486;1,8315644;2,2077923;2,0820775;20,7
18;1,5734862;1,8315644;2,2077923;2,0820775;36,9
19;1,5734857;1,8315645;2,2077923;2,0820775;36,6
20;1,5734862;1,8315644;2,2077925;2,0820773;33,0
21;1,5734857;1,8315644;2,207792;2,0820775;24,1
22;1,5734859;1,8315645;2,2077923;2,0820777;9,8
23;1,5734863;1,8315643;2,2077925;2,0820775;6,4
24;1,5734867;1,8315644;2,2077923;2,0820777;2,3
25;1,5734867;1,8315645;2,2077925;2,0820773;1,9
26;1,5734863;1,8315649;2,2077923;2,0820773;2,6
27;1,5734867;1,8315644;2,2077923;2,082077;1,2
28;1,5734855;1,8315644;2,2077923;2,0820775;0,9
29;1,5734859;1,8315644;2,2077923;2,082077;0,2
30;1,5734859;1,8315648;2,2077923;2,0820773;0,0
31;1,5734863;1,8315644;2,2077923;2,0820773;0,0
32;1,5734866;1,8315644;2,207792;2,0820777;0,0
33;1,573486;1,8315644;2,2077923;2,0820773;0,7
34;1,573486;1,8315644;2,2077923;2,0820773;2,4
35;1,5734859;1,8315645;2,2077925;2,082077;2,3
36;1,5734854;1,8315648;2,2077925;2,082077;2,3
37;1,5734855;1,8315648;2,2077923;2,082077;0,2
38;1,5734854;1,8315644;2,207792;2,0820773;1,7
39;1,5734855;1,8315648;2,2077923;2,082077;0,0
40;1,5734859;1,8315645;2,207792;2,0820773;0,0
41;1,5734854;1,8315648;2,2077923;2,082077;0,0
42;1,5734854;1,8315645;2,2077925;2,082077;0,0
43;1,5734855;1,8315645;2,2077925;2,0820773;0,0
44;1,5734859;1,8315643;2,2077925;2,0820777;0,0
45;1,5734855;1,8315644;2,2077923;2,0820777;0,2
46;1,5734859;1,8315643;2,2077923;2,0820773;0,0
47;1,5734855;1,8315643;2,2077923;2,0820775;0,0
48;1,5734857;1,8315644;2,2077925;2,0820773;0,0
49;1,5734851;1,8315648;2,2077925;2,0820777;0,0
50;1,5734855;1,8315643;2,2077923;2,0820777;0,0
51;1,5734863;1,8315643;2,2077925;2,082077;0,0
