;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;1115,2002;841,03937;933,4651;1017,5918;1328,4
1;1115,2014;841,0404;933,4674;1017,5938;1214,1
2;1115,2014;841,0404;933,4677;1017,5937;1214,6
3;1115,2013;841,0397;933,46747;1017,59326;1247,1
4;1115,2019;841,0401;933,4683;1017,5941;1440,4
5;1115,2017;841,03986;933,46857;1017,594;1481,5
6;1115,2028;841,04083;933,47095;1017,5956;812,1
7;1115,2031;841,04114;933,4714;1017,59644;1254,6
8;1115,2035;841,04114;933,4728;1017,59705;1592,2
9;1115,2037;841,04144;933,4732;1017,5973;1870,1
10;1115,2037;841,0406;933,4734;1017,5975;2135,4
11;1115,2042;841,04156;933,47485;1017,5988;2286,2
12;1115,2051;841,0423;933,4763;1017,5998;2299,6
13;1115,2052;841,0425;933,47595;1017,59924;2485,4
14;1115,2059;841,04364;933,47815;1017,6008;1492,9
15;1115,2058;841,0436;933,47876;1017,60095;1636,4
16;1115,2054;841,043;933,4775;1017,6;2194,4
17;1115,2051;841,0422;933,4776;1017,6;2692,7
18;1115,2054;841,0422;933,4779;1017,6004;2904,8
19;1115,2054;841,0424;933,4775;1017,6005;2932,0
20;1115,2057;841,0427;933,47784;1017,6004;2291,3
21;1115,2058;841,04346;933,47833;1017,60114;2174,5
22;1115,2068;841,0446;933,48035;1017,60254;1863,5
23;1115,2059;841,0436;933,4782;1017,6004;1656,2
24;1115,2054;841,0429;933,4773;1017,6;1434,9
25;1115,2048;841,042;933,47644;1017,59937;1516,0
26;1115,2052;841,04285;933,4773;1017,6002;1474,6
27;1115,2041;841,04144;933,47455;1017,5981;1387,2
28;1115,2035;841,04114;933,47296;1017,5975;1165,9
29;1115,2039;841,04144;933,4744;1017,598;1283,9
30;1115,2045;841,0425;933,47437;1017,59845;1290,8
31;1115,2046;841,04285;933,47485;1017,59863;1295,3
32;1115,204;841,0422;933,47327;1017,5975;630,1
33;1115,2042;841,0425;933,4735;1017,5978;1102,7
34;1115,2035;841,0417;933,4725;1017,5966;1005,8
35;1115,2024;841,04016;933,4699;1017,59515;946,2001
36;1115,2026;841,04083;933,4709;1017,5956;1057,0
37;1115,2019;841,03986;933,4695;1017,5943;1039,9
38;1115,2004;841,03864;933,466;1017,5922;953,8
39;1115,1996;841,03766;933,46454;1017,5914;892,4
40;1115,2004;841,0387;933,466;1017,5924;926,60004
41;1115,2;841,0387;933,46436;1017,59155;989,7
42;1115,1989;841,0375;933,46204;1017,5895;1152,1
43;1115,2001;841,03906;933,46454;1017,592;1114,8
44;1115,1995;841,0379;933,46295;1017,59064;814,4001
45;1115,1995;841,0378;933,46326;1017,59094;815,50006
46;1115,1993;841,03723;933,46234;1017,5902;589,10004
47;1115,1989;841,03674;933,4618;1017,5899;684,7001
48;1115,1989;841,03735;933,4618;1017,58997;729,9001
49;1115,2006;841,03937;933,4658;1017,59265;1097,1
50;1115,1997;841,0378;933,4625;1017,59076;976,3
51;1115,1992;841,0371;933,46277;1017,5904;1429,0
52;1115,2012;841,0404;933,4667;1017,5937;1539,9
