;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;BE;2023-W41;1182,7;77,17224;18,200214;10,550215;1;1259,3403901302822;;;
1;2023-10-22;BE;2023-W42;1291,1;81,58094;15,628786;9,9145;1;1144,9059801653018;1224,8561678209594;;
2;2023-10-29;BE;2023-W43;1118,2;86,92018;13,907357;9,385928;1;1233,2736300710592;1080,7117407244189;1159,3137985759204;
3;2023-11-05;BE;2023-W44;990,6;84,014595;12,393072;8,385929;1;1044,86815157482;1165,1063797223503;1014,878870412654;1091,8669336888047
4;2023-11-12;BE;2023-W45;1532,3;87,18748;10,9645;6,085929;1;1006,0769653761296;1062,495899317648;1180,50065629468;1033,2611389495378
5;2023-11-19;BE;2023-W46;1222,1;88,751595;11,428786;6,8073573;1;1583,6531719283478;1036,5031240644075;1091,8581996084838;1207,1710981538774
6;2023-11-26;BE;2023-W47;1313,0;88,279366;8,793071;4,1359286;1;1338,0433089667454;1710,7545169682758;1169,005141543577;1222,8187725060177
7;2023-12-03;BE;2023-W48;1534,4;88,101006;3,4716427;-0,9997857;1;1300,323637947571;1326,1249960942307;1692,3828815410377;1160,9478199953735
8;2023-12-10;BE;2023-W49;1715,7;86,343834;8,7287855;3,9859283;1;1619,1824700526497;1378,4221403723443;1404,225706976863;1763,768321224345
9;2023-12-17;BE;2023-W50;1668,5;89,98573;8,321643;4,328786;1;1693,750784932981;1594,4983250637952;1357,9042996439216;1383,219278719303
10;2023-12-24;BE;2023-W51;1765,8;87,7154;10,507358;7,443072;1;1618,2230583376052;1644,220610918003;1546,8738145261718;1314,897363945315
11;2023-12-31;BE;2023-W52;1505,9;82,4;10,75825;6,4395;1;1717,927403693776;1565,9171936827524;1591,4971923997955;1496,2647407167783
12;2024-01-07;BE;2024-W01;1185,9;85,559204;7,157357;3,4287856;1;1341,6499071974497;1560,6366320152074;1410,575594760542;1435,751766667997
13;2024-01-14;BE;2024-W02;1298,4;74,441895;1,5002143;-2,6497858;1;1130,0084258967045;1290,521732390966;1506,1679367065583;1358,7079266659057
14;2024-01-21;BE;2024-W03;1462,0;84,57513;3,0145001;-2,2426429;1;1266,3521035354734;1093,6508743674594;1251,7655820997595;1463,6078801251222
15;2024-01-28;BE;2024-W04;1789,7;82,87024;11,1645;3,371643;1;1475,0931827678614;1274,263317552098;1104,7045724308334;1259,2443151169286
16;2024-02-04;BE;2024-W05;2021,0;85,503685;10,007357;6,1645;1;1789,4121447117209;1465,041760329905;1267,787142177778;1101,6060960944478
17;2024-02-11;BE;2024-W06;1575,0;86,7505;11,4930725;5,771643;1;2007,5627621119943;1767,5889252332352;1448,4466909244286;1255,070990376379
18;2024-02-18;BE;2024-W07;1288,3;84,77647;12,528786;7,4645004;1;1550,8188744292845;1996,9565359384924;1760,4727061023068;1447,1334295100648
19;2024-02-25;BE;2024-W08;1502,8;84,731255;9,657357;4,8430715;1;1178,5535856340794;1450,1844075948552;1890,2931599812573;1657,5491511197342
20;2024-03-03;BE;2024-W09;1160,4;85,7573;10,028786;3,7073572;1;1571,818079927592;1238,7376897542215;1507,192052239647;1939,473966654718
21;2024-03-10;BE;2024-W10;1178,4;78,06512;11,028786;3,9430714;1;1104,0853521145218;1526,135639560066;1198,1609853187213;1461,4855633306229
22;2024-03-17;BE;2024-W11;1015,0;83,771355;13,757358;7,9145;1;1156,1795526377198;1079,905768855337;1494,289931522418;1172,4296830030542
23;2024-03-24;BE;2024-W12;1064,9;83,338844;12,900215;5,478786;1;932,6764190379783;1077,4517231524833;1002,533950743804;1406,955026505963
24;2024-03-31;BE;2024-W13;1169,2;74,64496;13,157357;6,2359285;1;1022,5256666116856;886,8733986840889;1029,0342653477749;955,5843198370062
25;2024-04-07;BE;2024-W14;942,6;75,72602;17,671642;10,928786;1;1080,7895812063557;929,9072393221908;796,1436677929146;935,5361509322848
26;2024-04-14;BE;2024-W15;888,3;73,75836;16,164501;8,985929;1;911,8156085258338;1053,4249803096172;905,2048786560432;774,0587861393581
27;2024-04-21;BE;2024-W16;844,4;76,93209;10,171644;3,6359286;1;928,7530885380012;952,815835804042;1091,0976869839526;946,1773611570296
28;2024-04-28;BE;2024-W17;945,4;76,22951;12,750215;4,7645;1;781,9487581953736;868,0843805741258;891,7170704660914;1027,894069610778
29;2024-05-05;BE;2024-W18;892,2;79,2292;18,5645;9,750215;1;921,282091721652;753,8285429092423;838,2809972940587;861,4410527787244
30;2024-05-12;BE;2024-W19;759,5;79,04391;20,207357;9,9645;1;909,0287650457132;938,7614562634044;774,6542152798164;857,5571140339174
31;2024-05-19;BE;2024-W20;791,5;82,92424;19,628786;12,028786;1;707,5156048890717;860,472789928889;889,6819248812833;728,6338680326203
32;2024-05-26;BE;2024-W21;873,5;82,81208;18,300215;11,543071;1;829,7638086266082;743,9150150170935;894,3210181790355;922,888251479533
33;2024-06-02;BE;2024-W22;765,1;82,16917;17,350216;10,6645;0;768,5125349991065;723,9911058280669;639,5123035999168;786,3319593535614
34;2024-06-09;BE;2024-W23;841,9;73,121796;17,178785;8,821643;0;801,7118329306718;805,1662016885517;761,3509179297736;678,7106827975326
35;2024-06-16;BE;2024-W24;806,5;76,86529;17,414501;10,100214;0;783,788586914029;742,7926545104497;746,209505749161;703,4064084558584
36;2024-06-23;BE;2024-W25;892,4;81,49684;20,700214;12,935929;0;795,6414009072435;772,3982306101509;732,1584627206095;735,5013560108569
37;2024-06-30;BE;2024-W26;822,2;73,52007;24,185928;14,185928;0;887,9017025364257;788,8683371627181;766,0589078019116;726,6197607621658
38;2024-07-07;BE;2024-W27;641,3;74,221054;18,778788;12,343072;0;796,0138467389139;863,2552023161413;766,0378295595626;743,6768605112419
39;2024-07-14;BE;2024-W28;620,5;76,99409;22,085928;12,9645;0;629,3441306819599;787,7146962487237;853,724956781669;758,4589247867382
40;2024-07-21;BE;2024-W29;555,0;76,00987;24,593073;16,3145;0;582,9981618096091;592,0741826342419;747,5375844705437;812,230235159545
41;2024-07-28;BE;2024-W30;367,6;75,55928;23,157358;14,614501;0;559,7325114425464;588,3670481394744;597,2872903338737;749,5557846887481
42;2024-08-04;BE;2024-W31;343,6;78,41599;24,621643;16,971643;0;354,58333490520283;551,2978178753036;579,3893930866661;588,1431125504525
43;2024-08-11;BE;2024-W32;419,6;70,35091;25,914501;16,143072;0;331,3077700279157;342,55307215106336;535,474698269097;562,9908585254655
44;2024-08-18;BE;2024-W33;307,9;76,24196;24,028788;16,285929;0;414,8819092076269;324,504146736951;335,5318063199068;524,3870181089002
45;2024-08-25;BE;2024-W34;394,7;71,89936;22,750216;14,143072;0;314,262206822612;423,6993642678268;335,07600811317434;345,8681650539797
46;2024-09-01;BE;2024-W35;417,6;73,24433;25,757357;15,314501;0;418,2007183669526;335,8903966407369;443,17217657199217;356,4393802505354
47;2024-09-08;BE;2024-W36;713,6;83,573364;21,750214;15,071643;0;448,7420173773677;449,3458656088783;368,5500978176973;473,5086487911007
48;2024-09-15;BE;2024-W37;927,0;80,12228;16,550215;8,150214;0;705,7061615603659;435,1676785276263;435,76013670866905;356,69425940797777
49;2024-09-22;BE;2024-W38;993,0;79,679146;22,028788;13,171644;0;971,6685162280172;745,0672314997537;479,2364125002475;479,8021501615336
50;2024-09-29;BE;2024-W39;1216,6;80,40825;16,443071;10,043071;0;1038,0149030497605;1016,0677293069698;794,1574537982447;533,2833308151638
51;2024-10-06;BE;2024-W40;1182,0;80,85718;15,843072;7,521643;0;1211,2003041497064;1027,982244985287;1006,4328859699197;789,2271873423254
52;2024-10-13;BE;2024-W41;1384,1;82,94098;14,331166;9,156167;0;1144,4144809070071;1174,3725839453718;994,6568735763012;973,5657568612916
