;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;CZ;2023-W41;819,0;70,265884;19,420214;11,141643;1;798,16612309281;;;
1;2023-10-22;CZ;2023-W42;904,5;80,25716;15,3845;5,7630715;1;840,8344076164806;816,2842671410394;;
2;2023-10-29;CZ;2023-W43;908,3;79,10542;15,713072;9,070214;1;810,266295062791;735,4256254013073;710,939505850025;
3;2023-11-05;CZ;2023-W44;973,3;77,64357;13,255929;7,3130717;1;992,9199753905908;877,7505446884282;802,875167777547;779,1486384575293
4;2023-11-12;CZ;2023-W45;1016,4;75,69252;10,841643;3,5345;1;959,7058314478514;982,8441739831616;867,6678190065402;795,2683300305849
5;2023-11-19;CZ;2023-W46;978,3;81,31222;10,005929;4,841643;1;963,1992991939388;896,3553222004161;919,472588596355;807,8210576171007
6;2023-11-26;CZ;2023-W47;1134,7;78,818184;5,2630715;0,3559286;1;1081,5885221220465;1063,7992766450311;996,7753503720784;1019,2355725741764
7;2023-12-03;CZ;2023-W48;1269,9;88,49458;-0,45121425;-5,0583572;1;1178,1799537443685;1115,0993079177333;1097,3174443728674;1032,2200833313473
8;2023-12-10;CZ;2023-W49;1316,9;91,00765;3,0487857;-2,5440712;1;1374,3890396771378;1265,1972139564796;1201,3042100758291;1184,1070260505444
9;2023-12-17;CZ;2023-W50;1427,1;85,301;7,6273575;2,8559287;1;1510,0630603150748;1579,8579632036106;1468,2664100626237;1404,4695902111976
10;2023-12-24;CZ;2023-W51;1332,3;77,296555;7,705929;4,341643;1;1333,9165364351593;1433,8398274063968;1504,6622623661842;1395,106119026792
11;2023-12-31;CZ;2023-W52;752,2;77,2977;9,3845005;3,7595;1;1071,1396819703405;1073,062567657495;1167,7271340683592;1234,9639031930726
12;2024-01-07;CZ;2024-W01;1072,8;83,660835;4,8773575;0,81307137;1;860,7977685729925;1230,083473493004;1231,941988768479;1325,436983471352
13;2024-01-14;CZ;2024-W02;1126,7;71,078926;0,3202143;-5,108357;1;962,5340055130926;716,205595507766;1097,0626757138598;1098,8605732894914
14;2024-01-21;CZ;2024-W03;1205,1;74,04038;3,7130716;-4,0940714;1;1072,2939931453564;877,1130828540732;632,956052572612;1011,802218520068
15;2024-01-28;CZ;2024-W04;1419,7;76,18722;8,070214;-0,15835722;1;1224,8544915568614;1067,3788685135205;871,4989870087065;635,6473947275576
16;2024-02-04;CZ;2024-W05;1601,0;82,84702;7,5773573;2,7416427;1;1432,4524813581977;1201,0597364456537;1043,7278239986313;854,6869536555998
17;2024-02-11;CZ;2024-W06;1601,4;83,26222;10,477358;4,5344996;1;1589,2783938795528;1386,3110103027125;1154,791452453026;1003,2962210212116
18;2024-02-18;CZ;2024-W07;1451,8;82,16686;11,370214;3,827357;1;1565,0337560130502;1550,4196792368552;1345,475911917856;1121,4811492277786
19;2024-02-25;CZ;2024-W08;1251,7;77,74081;10,077357;3,277357;1;1429,6214993509618;1566,0542149834423;1551,1873939999962;1351,3487624809673
20;2024-03-03;CZ;2024-W09;1182,9;87,63831;11,463072;2,4773571;1;1179,667798848065;1394,3340133855145;1532,5408981326068;1518,0278424968317
21;2024-03-10;CZ;2024-W10;1080,0;79,88826;10,363072;1,977357;1;1160,4609051282732;1156,568604990663;1373,9854386929032;1508,9867807019664
22;2024-03-17;CZ;2024-W11;1027,5;75,76823;12,691643;3,541643;1;1018,6725312037132;1115,340745946893;1111,4195781095334;1322,9629117100294
23;2024-03-24;CZ;2024-W12;1031,3;72,85533;12,570214;1,7702142;1;993,1945684948456;982,5891405797602;1079,7884994049389;1075,9849331969012
24;2024-03-31;CZ;2024-W13;871,1;60,43842;19,477356;6,0487857;1;1002,7592370998937;957,0467850832443;946,3862163645294;1040,4142006563684
25;2024-04-07;CZ;2024-W14;888,5;64,664604;21,070215;9,648787;1;752,8241960949579;910,7004444320102;864,7581598245288;854,4421035466247
26;2024-04-14;CZ;2024-W15;902,5;64,68207;20,31307;8,913072;1;879,7704224675272;718,5873595327713;876,9870353581455;832,6235658649439
27;2024-04-21;CZ;2024-W16;900,4;68,66731;9,370214;1,4702142;1;911,0945815920348;883,9592642107503;722,6638019714052;875,6033084544883
28;2024-04-28;CZ;2024-W17;892,6;61,0626;16,377356;3,3987858;1;859,375732277657;872,1409135807961;844,969892725031;689,1249443440984
29;2024-05-05;CZ;2024-W18;750,3;61,157635;22,5345;12,155929;1;836,7735954186835;797,1174745214357;809,916799271765;783,7287207831537
30;2024-05-12;CZ;2024-W19;713,9;71,64243;18,71307;8,391643;1;687,0480289935084;790,2361496958497;750,478735353955;762,8441536789371
31;2024-05-19;CZ;2024-W20;794,5;61,841805;20,841642;11,277357;1;702,5231940404196;670,5158392757361;773,8825607915181;735,4848477413311
32;2024-05-26;CZ;2024-W21;759,0;76,63405;21,41307;12,420215;1;775,9535661881021;666,3801720229055;634,3061779158417;734,1710634972054
33;2024-06-02;CZ;2024-W22;734,1;81,28878;19,677357;12,398787;0;735,0347255013469;755,2510019203053;645,4874988224151;614,5274168797342
34;2024-06-09;CZ;2024-W23;710,0;68,33288;23,213072;13,170215;0;716,6057143937874;717,7185027199632;737,9727876092153;632,0280789274158
