;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;DK;2023-W41;95,2;76,376366;14,638928;8,803214;1;88,63029432815124;;;
1;2023-10-22;DK;2023-W42;93,8;78,58533;11,003214;6,896072;1;90,25490193163924;84,01421468122692;;
2;2023-10-29;DK;2023-W43;123,7;84,659584;10,231786;7,4103575;1;88,93503491448432;85,56667630061546;79,63855160369653;
3;2023-11-05;DK;2023-W44;138,0;85,7364;10,796072;7,424643;1;117,37018005102004;84,32238995638627;81,12197716064071;75,49078362035597
4;2023-11-12;DK;2023-W45;158,0;87,43144;8,924643;6,7246428;1;131,013779835326;111,36426439018292;79,94898135244186;76,90815470419504
5;2023-11-19;DK;2023-W46;139,7;86,39363;6,1817856;3,6389287;1;150,12594337461704;124,38123555608168;105,66567570890234;75,80240103013116
6;2023-11-26;DK;2023-W47;173,7;78,30877;4,231786;-0,12535712;1;132,6905100468333;142,64429667163748;118,08446239703122;100,25868786686982
7;2023-12-03;DK;2023-W48;200,2;79,379005;-0,11107145;-3,0825;1;165,1884005368395;126,0327261353624;135,53550382809064;112,1064620178078
8;2023-12-10;DK;2023-W49;230,5;86,71019;3,1603572;1,6746428;1;190,6442159500059;157,09388688158788;119,70899841672848;128,78098337307677
9;2023-12-17;DK;2023-W50;244,0;89,36784;5,0675;2,6889288;1;219,8695303415685;181,5445436025098;149,39601821534347;113,70256552687157
10;2023-12-24;DK;2023-W51;214,0;85,56958;6,124643;1,7389286;1;233,02602036975705;209,72932916538795;172,87920930413398;142,07535825644624
11;2023-12-31;DK;2023-W52;197,1;85,541985;6,6925;3,63625;1;204,17406791341023;222,54559905478044;200,05678569390923;164,62748158964433
12;2024-01-07;DK;2024-W01;179,0;84,319664;-1,2682142;-4,3896427;1;187,99741074533688;194,7992991042517;212,53653810876665;190,83033193997244
13;2024-01-14;DK;2024-W02;203,9;90,13856;1,3889285;-2,8467858;1;170,67175142928832;179,31519712073973;185,85497815325328;202,97763794529135
14;2024-01-21;DK;2024-W03;172,4;80,90217;2,3817859;-1,3896428;1;194,64599891182093;162,73098735162446;171,03395089842903;177,3213408014379
15;2024-01-28;DK;2024-W04;204,7;85,76558;6,474643;2,3032143;1;164,42843986645028;185,81199620641007;155,159679458766;163,13515435186088
16;2024-02-04;DK;2024-W05;171,6;84,5457;6,838928;2,9889286;1;195,5047952399463;156,82548024420896;177,37892444350763;147,9406382370646
17;2024-02-11;DK;2024-W06;181,0;85,2674;3,481786;-0,02535716;1;163,73478143711952;186,7226454892312;149,5740716983166;169,32858738455434
18;2024-02-18;DK;2024-W07;159,7;93,91521;6,396072;2,1460714;1;172,80192078472427;156,2300565192815;178,33499324508273;142,6579589590595
19;2024-02-25;DK;2024-W08;144,6;87,97488;6,774643;3,5889287;1;152,40020654312116;164,9751592645863;149,06930797346467;170,32411752948246
20;2024-03-03;DK;2024-W09;148,1;92,41704;5,624643;2,8032143;1;137,95732422577368;145,4340851485009;157,50289725241055;142,2367697661629
21;2024-03-10;DK;2024-W10;140,2;81,79871;4,8246427;0,31749997;1;141,33816379683336;131,61979601792365;138,7863809554404;150,3690783114675
22;2024-03-17;DK;2024-W11;109,2;85,65104;6,881786;2,9175;1;133,79529096259532;134,8850487656144;125,57340323192018;132,4425393059735
23;2024-03-24;DK;2024-W12;123,1;85,39713;7,3889284;2,2460713;1;104,14148239205775;127,68316885466228;128,72656536457572;119,80477159453342
24;2024-03-31;DK;2024-W13;154,7;86,10601;10,5175;3,9675002;1;117,4456135202722;99,31729540208433;121,85026462049376;122,84926151714916
25;2024-04-07;DK;2024-W14;144,6;90,0337;10,060357;4,4675;1;147,72079421957676;112,05095293362572;94,7165811299911;116,2838228504869
