;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;EE;2023-W41;198,3;79,180916;10,9728565;6,0942855;1;180,95445175606025;;;
1;2023-10-22;EE;2023-W42;145,1;77,90788;5,43;2,0942857;1;185,54784041710056;170,505449369256;;
2;2023-10-29;EE;2023-W43;194,8;80,34454;2,4228573;-0,9485714;1;151,4776485105639;187,00501591435636;171,8828132497446;
3;2023-11-05;EE;2023-W44;220,6;88,45571;8,208571;3,6800003;1;183,5427254980352;145,51175347310448;180,51270124534372;165,90879001751298
4;2023-11-12;EE;2023-W45;295,3;97,0066;6,6514287;3,7585714;1;215,45097566944483;182,7617815968672;145,15005077711996;178,9165383375415
5;2023-11-19;EE;2023-W46;309,0;85,60587;0,3228571;-2,5271428;1;280,8858454315308;209,85199070091664;177,69824739964764;141,19937757951467
6;2023-11-26;EE;2023-W47;300,4;85,78447;-1,0199999;-7,062857;1;298,95175920469336;273,6993949479485;203,85242459876423;172,55989387443756
7;2023-12-03;EE;2023-W48;345,1;88,26813;-2,4271429;-5,577143;1;297,0719706540432;295,76364803264903;270,853350334389;202,4505782113866
8;2023-12-10;EE;2023-W49;339,9;87,63959;-6,6914287;-10,841429;1;343,47481272614027;299,9339996296363;298,63528196586066;274,3243472937717
9;2023-12-17;EE;2023-W50;395,7;91,60234;0,5228571;-2,7342856;1;340,6720348717515;343,96227483587074;300,6118960003616;299,3335099259027
10;2023-12-24;EE;2023-W51;325,3;91,6759;1,3228571;-1,5699999;1;401,4183160867888;350,28573978223847;353,66057518278086;310,7257240610212
11;2023-12-31;EE;2023-W52;306,4;91,28304;-0,62624997;-4,77;1;332,39186980160974;402,2815157102196;350,725949072613;354,1002670772317
12;2024-01-07;EE;2024-W01;352,8;78,73084;-11,055715;-16,612858;1;293,17616866508484;316,1502648692026;383,6839947790782;333,64592231582685
13;2024-01-14;EE;2024-W02;312,4;86,31749;-2,8271427;-7,8414283;1;335,3351712584312;281,4575333837815;304,0525451882834;368,9640108319872
14;2024-01-21;EE;2024-W03;295,3;84,07478;-3,8771427;-12,105714;1;304,50021871874134;325,1273609045209;270,92764790274043;292,9316491979798
15;2024-01-28;EE;2024-W04;288,4;91,71452;0,91571426;-1,9271429;1;289,42793306564147;297,634197015032;318,1951667366864;264,80036727356185
16;2024-02-04;EE;2024-W05;318,4;87,40913;1,4799999;-0,8128571;1;276,9535167648941;277,87161057286374;286,1437670985472;306,6494142176531
17;2024-02-11;EE;2024-W06;293,6;81,30206;-5,977143;-10,798571;1;305,8972562761156;268,7808771363844;269,6944857492095;277,88454713317964
18;2024-02-18;EE;2024-W07;289,3;89,466774;1,637143;-3,3700001;1;282,3843904698958;293,41682449283803;255,82626106266767;256,7298295581485
19;2024-02-25;EE;2024-W08;302,1;85,78707;4,3228574;-0,50571436;1;252,04624041622725;245,34749613665923;256,76564445131163;217,20410728953905
20;2024-03-03;EE;2024-W09;271,2;91,62284;4,794286;-1,162857;1;310,66133854419684;276,4371756275472;270,3115157485202;281,1028084408821
21;2024-03-10;EE;2024-W10;231,8;82,40016;2,0442858;-4,5271425;1;270,52535525761147;306,5274223268841;273,19708578752204;267,2086023841536
22;2024-03-17;EE;2024-W11;178,5;81,751465;5,544286;0,3371428;1;229,18442540130417;263,4159050461241;298,7284915537182;265,2003749049284
23;2024-03-24;EE;2024-W12;218,0;86,874016;4,122857;-0,47714287;1;179,17997606698702;224,24552019024557;258,3782409231709;293,2531620922625
24;2024-03-31;EE;2024-W13;212,0;81,88288;11,63;1,9371427;1;209,1744051285322;174,89797649536814;219,64639971517423;253,24918050743537
25;2024-04-07;EE;2024-W14;219,7;83,10323;5,144286;-1,0057142;1;207,12148470616097;204,6245986629289;170,60288672035043;214,5933873529989
26;2024-04-14;EE;2024-W15;206,9;82,191956;12,208571;5,001428;1;214,55930268355817;203,45774101581117;200,9784652891448;167,62080941499025
27;2024-04-21;EE;2024-W16;212,0;78,1828;3,4014285;-1,2342857;1;202,6360257972064;209,388389976284;198,3679604406268;195,93647089533465
28;2024-04-28;EE;2024-W17;214,6;82,30516;9,872857;1,1514285;1;205,3248265030481;197,05161621077005;203,73624841687683;192,92334852383323
29;2024-05-05;EE;2024-W18;210,3;66,036285;13,958571;4,265714;1;207,728948351977;199,50359649083177;191,28385382149224;197,8189477255131
30;2024-05-12;EE;2024-W19;169,1;62,842793;10,58;3,4657142;1;203,4416912313836;201,13801296293823;192,92816130992296;184,8559474466598
