;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;FR;2023-W41;88,9;68,45549;20,63857;11,102858;1;91,74139681618269;;;
1;2023-10-22;FR;2023-W42;86,6;80,53648;16,874287;10,181429;1;70,92371433555606;75,89950662763066;;
2;2023-10-29;FR;2023-W43;68,5;85,74671;15,217143;10,774285;1;82,75715407536481;55,302739321981086;61,31637769287824;
3;2023-11-05;FR;2023-W44;76,1;81,78468;13,495714;8,51;1;51,03423845602142;75,98821546687174;42,808590629476384;48,71886326992768
4;2023-11-12;FR;2023-W45;109,7;84,71136;13,074286;7,3671427;1;79,2335799904052;35,419418946370754;65,56663988456302;32,95314410494434
5;2023-11-19;FR;2023-W46;127,8;87,25402;13,017143;8,938571;1;131,08126004602727;77,79448013107803;24,854611769702345;54,48309898987067
6;2023-11-26;FR;2023-W47;169,1;83,451004;10,095714;4,217143;1;128,24252379634515;133,99173532181194;69,63666608063602;17,62054707332761
7;2023-12-03;FR;2023-W48;189,3;84,056046;6,088572;-0,14;1;187,05674225811487;115,52077957352878;122,46451309958888;59,20200816708043
8;2023-12-10;FR;2023-W49;224,8;88,07415;10,467143;5,4742856;1;189,12329533528924;185,19635414081537;98,63053736007848;105,4578928817543
9;2023-12-17;FR;2023-W50;225,5;89,699905;8,86;4,345714;1;234,0121108360848;171,50893187758695;166,7505566039587;81,45972999584032
10;2023-12-24;FR;2023-W51;226,7;84,79729;11,238571;7,86;1;208,1214680769147;223,0393526111521;147,14995145732848;142,45278084798312
11;2023-12-31;FR;2023-W52;175,9;81,97293;11,60375;7,75375;1;211,4688577314212;178,9091289115081;197,0531384028696;122,00999007601612
12;2024-01-07;FR;2024-W01;183,4;84,34603;7,96;4,267143;1;126,0135397583663;188,29494965053797;148,67923694502184;166,64341030827637
13;2024-01-14;FR;2024-W02;196,6;77,87565;1,4099998;-2,8257143;1;184,3674902110965;84,27611666734695;160,08444327761566;120,83783215964051
14;2024-01-21;FR;2024-W03;248,3;83,82638;5,845714;-1,6685715;1;200,28045958965677;179,01764284995846;57,201515504114205;132,22362181876426
15;2024-01-28;FR;2024-W04;323,8;85,288734;11,624286;4,4885716;1;269,35623738201184;185,6338676643376;159,82253665303972;39,397247073253
16;2024-02-04;FR;2024-W05;328,5;86,994385;10,824286;5,824286;1;359,3138321789679;263,758691243578;161,7453357025115;136,23815568817213
17;2024-02-11;FR;2024-W06;288,7;85,913246;11,902857;7,6814284;1;299,82005976392566;353,99729262624794;236,85727925053556;135,9629162822041
18;2024-02-18;FR;2024-W07;209,7;84,342354;13,395715;7,002857;1;233,87211950400203;253,3584245546481;319,7509338453781;203,0509853520332
19;2024-02-25;FR;2024-W08;158,8;85,46061;10,338572;4,9028573;1;143,17345773062695;185,62178341587835;209,4301161885495;275,63719920459016
20;2024-03-03;FR;2024-W09;108,0;86,849915;10,110001;3,6100001;1;122,4911794704194;95,03488265233923;146,98811933725474;170,65346612643998
21;2024-03-10;FR;2024-W10;91,3;81,392876;11,667144;3,7885716;1;72,87524118019851;98,23233553919312;64,58525938917151;116,20533920603728
22;2024-03-17;FR;2024-W11;76,4;84,51173;15,124285;8,717143;1;79,53724761683742;47,3759550871357;78,32723199174247;44,90618965198826
23;2024-03-24;FR;2024-W12;61,7;80,069336;15,317143;5,4528575;1;65,33273383440061;70,80445173192197;31,57864158695308;62,20653962292352
24;2024-03-31;FR;2024-W13;53,3;78,73176;12,845714;6,2885714;1;47,327090033169824;53,66424260705608;60,33038637267956;21,583622404097547
25;2024-04-07;FR;2024-W14;48,3;77,09933;18,367144;10,809999;1;46,18584983961547;35,76473446590651;43,48458166526196;50,06221630766351
26;2024-04-14;FR;2024-W15;46,0;75,95391;17,988571;8,531428;1;43,6795465351202;39,991356453120325;27,2988550476303;34,91484145179315
