;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;GR;2023-W41;742,3;57,621387;25,497715;16,276285;1;693,2292613839595;;;
1;2023-10-22;GR;2023-W42;902,0;75,97841;24,504856;17,740572;1;721,7840513071457;668,8409891029055;;
2;2023-10-29;GR;2023-W43;666,0;73,67208;25,747715;18,212;1;908,0428439585472;713,3949739096586;661,4705391482732;
3;2023-11-05;GR;2023-W44;714,0;69,771835;25,33343;17,447714;1;618,4312430474018;878,4917185653909;687,8030231638297;637,5775677827279
4;2023-11-12;GR;2023-W45;653,5;70,081024;22,676287;14,854857;1;721,9655916716281;619,622296384053;875,1561574869129;690,5687608315883
5;2023-11-19;GR;2023-W46;643,6;66,07998;19,404858;11,326286;1;643,9026616467895;717,471742828726;617,4621553342593;865,822917844338
6;2023-11-26;GR;2023-W47;740,3;73,51991;17,526287;10,276285;1;633,1684634214931;633,4877072415767;705,5667306678968;608,7299588103516
7;2023-12-03;GR;2023-W48;774,0;73,242546;19,012;12,619143;1;755,2481702202755;640,4291489744749;640,734932384894;711,1761035183478
8;2023-12-10;GR;2023-W49;896,7;78,93223;14,354857;8,219143;1;780,8923887802646;760,6522909156374;648,1467938205175;648,4367676672867
9;2023-12-17;GR;2023-W50;1191,1;78,66363;16,026285;9,776285;1;905,3145532474392;780,5969870633394;760,6462816406907;651,4398329014085
10;2023-12-24;GR;2023-W51;1079,0;71,910995;16,204859;7,954857;1;1202,2475695166634;894,474130768721;771,9065991729209;752,4742101858114
11;2023-12-31;GR;2023-W52;2272,2;79,26598;16,11825;8,8745;1;1134,3172565092077;1267,745334808847;958,7870501437164;835,96202575655
12;2024-01-07;GR;2024-W01;2205,8;77,76461;16,433428;10,426286;1;2215,4860468746315;1076,020542038361;1206,3513104994413;908,368848792644
13;2024-01-14;GR;2024-W02;1250,7;74,92755;10,590571;3,6477144;1;2048,47393020466;2058,77304876022;999,4417185227016;1125,3254480914109
14;2024-01-21;GR;2024-W03;1087,5;76,60158;15,190573;9,590571;1;1010,2548243743348;1861,940205047122;1872,304553488344;910,7791512438037
15;2024-01-28;GR;2024-W04;711,2;67,072586;11,804857;3,0191429;1;949,5700605925628;869,4577881126527;1717,053310629186;1727,3605121739038
16;2024-02-04;GR;2024-W05;894,1;68,73553;12,883429;4,4477143;1;612,6806534805645;854,6561014017701;776,989910864962;1611,151582784016
17;2024-02-11;GR;2024-W06;964,2;69,65279;17,319143;10,940572;1;955,7902994864596;676,3667038774056;904,0952902209732;830,9178521249559
