;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;HU;2023-W41;1964,7;76,96898;20,033998;9,948286;1;1954,953556715098;;;
1;2023-10-29;HU;2023-W43;1746,9;82,33836;18,74114;10,7982855;1;2108,758442218096;2094,5218185226813;;
2;2023-11-05;HU;2023-W44;1295,8;77,56312;15,855428;7,6268573;1;1870,0846446718529;2410,2252206579124;2392,984021452469;
3;2023-11-12;HU;2023-W45;1678,4;81,950424;10,7982855;4,0625715;1;1144,210897635328;2053,169619643294;2687,8613707885097;2664,487494975641
4;2023-11-19;HU;2023-W46;1971,4;80,22887;10,655428;4,098286;1;1791,020117738572;965,0557794976656;2049,0620842160306;2909,9296735167827
5;2023-11-26;HU;2023-W47;2337,6;80,83712;6,7482862;-0,30885717;1;1908,4056044393765;1632,3981999103;672,7154337314381;2108,081632008116
6;2023-12-03;HU;2023-W48;2577,5;86,13961;2,8554287;-2,116;1;2710,1191842150674;2041,354465183216;1725,2463551624871;438,9602386293906
7;2023-12-10;HU;2023-W49;2710,3;91,66205;1,6911428;-2,066;1;2840,3804702596312;3049,7571600680194;2258,310263489084;1831,689693212696
8;2023-12-17;HU;2023-W50;3050,9;90,61055;7,091143;-0,34457144;1;2940,1226268258747;3145,625187149652;3400,569501964531;2346,285346348064
9;2023-12-24;HU;2023-W51;2516,7;87,08958;6,505429;0,59828573;1;3348,522265933969;3173,593209927909;3423,5788829821595;3760,2775258897855
10;2024-01-07;HU;2024-W01;1573,1;83,96607;8,162572;1,734;1;2287,7892700506677;3577,8507808221098;3365,4423266927315;3695,56144666665
11;2024-01-14;HU;2024-W02;1821,1;67,43638;2,784;-5,294571;1;1123,1632510216505;2278,503667629858;3853,805162684554;3573,205505610946
12;2024-01-21;HU;2024-W03;2035,7;77,32908;3,884;-3,8802855;1;1777,5973983684337;663,1588662109311;2047,2488488884576;4138,518340183862
13;2024-01-28;HU;2024-W04;2408,5;76,349236;7,541143;-0,2588571;1;1665,104318982172;1262,4351722637068;9,39954345425835;1825,605078187949
14;2024-02-04;HU;2024-W05;2796,8;79,04698;9,276857;1,6054286;1;2738,3415858118983;1533,7425681660643;1088,287076704528;-572,1663114059763
15;2024-02-11;HU;2024-W06;3026,1;72,002396;14,026857;5,976857;1;3117,15583598734;3021,0176985160083;1605,0565764455432;1007,0703118856312
16;2024-02-18;HU;2024-W07;2984,0;79,44901;10,898286;1,3054286;1;3305,6664006861333;3455,444600013758;3337,376368643874;1479,2816406668935
17;2024-02-25;HU;2024-W08;2952,0;79,53747;13,033999;5,534;1;3099,4906382358827;3630,514437090723;3814,209396183197;3660,389742336544
18;2024-03-03;HU;2024-W09;2600,4;86,041855;14,619714;5,3268576;1;3023,002484702457;3267,5379395911127;3919,340622529124;4158,645726323041
19;2024-03-10;HU;2024-W10;2402,8;80,56563;12,462571;4,634;1;2353,6599188213427;3054,705449833915;3354,8450720336214;4202,973278867879
20;2024-03-17;HU;2024-W11;2027,8;75,49358;13,176857;4,7197146;1;2273,715976597636;2192,2428505672237;3059,484170863636;3449,4830531271823
21;2024-03-24;HU;2024-W12;2145,7;67,86357;13,719714;2,784;1;1656,7569540836748;2062,781870178289;1962,1169735734047;3088,916675286764
22;2024-03-31;HU;2024-W13;1666,7;63,163612;20,11257;8,141143;1;2154,4308654682677;1350,2049831793236;1853,869610134448;1723,0580438732725
23;2024-04-07;HU;2024-W14;1247,4;67,15984;20,71257;9,376857;1;1235,492684224438;2021,9198313976235;1019,9631010177812;1675,3077481882665
24;2024-04-14;HU;2024-W15;1332,3;63,546978;23,934;10,926857;1;1021,1891525945346;1002,0460351193284;1979,0412294437651;673,9433962528449
25;2024-04-21;HU;2024-W16;1370,4;69,27608;12,905429;3,941143;1;1201,081805485995;700,1170712499629;676,4252104481659;1956,0539602753636
26;2024-04-28;HU;2024-W17;1472,8;73,01762;17,091143;5,319714;1;1235,235782778276;960,1799366398972;345,2563311868336;314,1931560588688
27;2024-05-05;HU;2024-W18;1264,6;65,05684;23,076857;11,891143;1;1568,4385927155915;1182,507931794883;843,865539665381;37,50654702412736
28;2024-05-12;HU;2024-W19;1227,2;62,4529;21,434;11,848287;1;1148,8377376137832;1643,0747739139767;1164,531276994422;721,668743044693
29;2024-05-19;HU;2024-W20;1183,9;63,22109;22,30543;10,826858;1;1239,0296680662475;1111,8822463960737;1727,9818049804196;1102,384392721322
30;2024-10-06;HU;2024-W40;2353,2;83,68218;14,541143;8,426857;0;1080,6817319267416;1169,9836186943382;1011,803468011265;1816,755238715486
31;2024-10-13;HU;2024-W41;2191,8;79,25637;19,500666;10,467334;0;3077,187267886575;1002,1711909709552;1113,3570129208192;906,5312121833948
