;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;HU;2023-W41;139,8;76,96898;20,033998;9,948286;1;173,20200943592897;;;
1;2023-10-22;HU;2023-W42;153,0;74,76332;18,905428;9,076857;1;143,3178305933776;201,45302949928956;;
2;2023-10-29;HU;2023-W43;140,2;82,33836;18,74114;10,7982855;1;141,4598556440058;124,64594265900092;197,055592413502;
3;2023-11-05;HU;2023-W44;110,8;77,56312;15,855428;7,6268573;1;121,78062712069872;123,97681096902689;103,06390018847064;176,05820867301605
4;2023-11-12;HU;2023-W45;160,2;81,950424;10,7982855;4,0625715;1;81,1828204402434;100,34804669561666;103,0840321165345;82,02663625612503
5;2023-11-19;HU;2023-W46;195,3;80,22887;10,655428;4,098286;1;193,4694908469896;55,752965150531146;79,65276382912913;82,41010071115598
6;2023-11-26;HU;2023-W47;237,7;80,83712;6,7482862;-0,30885717;1;212,10779733584133;208,92670513446967;37,2095663669893;61,3127662144657
7;2023-12-03;HU;2023-W48;298,6;86,13961;2,8554287;-2,116;1;245,61437074142333;201,0779127531821;197,11388027114083;24,01637529710228
8;2023-12-10;HU;2023-W49;320,9;91,66205;1,6911428;-2,066;1;324,4221571173366;231,88349400079352;176,32807772695398;172,33283297953557
9;2023-12-17;HU;2023-W50;414,6;90,61055;7,091143;-0,34457144;1;312,4284327316083;318,58429801216056;202,8700838271652;146,83468224468692
10;2023-12-24;HU;2023-W51;347,7;87,08958;6,505429;0,59828573;1;456,48765137441336;278,1598496265633;285,8645420638801;168,709329402687
11;2024-01-07;HU;2024-W01;221,7;83,96607;8,162572;1,734;1;270,4744814038905;458,47304082440274;234,39951756233063;242,21331754255272
12;2024-01-14;HU;2024-W02;256,4;67,43638;2,784;-5,294571;1;97,33739657961576;181,19782755022428;417,7941127905864;189,7836586969398
13;2024-01-21;HU;2024-W03;296,0;77,32908;3,884;-3,8802855;1;289,68736947623586;13,526972696045291;118,27729896000616;358,6947519676879
14;2024-01-28;HU;2024-W04;381,0;76,349236;7,541143;-0,2588571;1;318,5012596755649;307,6398654090781;-31,07927025301849;74,82780973969732
15;2024-02-04;HU;2024-W05;488,8;79,04698;9,276857;1,6054286;1;409,04136531221405;302,23644043554725;288,95787423678337;-51,145537223830665
16;2024-02-11;HU;2024-W06;610,6;72,002396;14,026857;5,976857;1;536,5790406957112;397,9388059048648;266,56892895460874;253,21857771603263
17;2024-02-18;HU;2024-W07;620,2;79,44901;10,898286;1,3054286;1;658,6257114629653;528,7927219453293;356,29843442086946;224,21771388698664
18;2024-02-25;HU;2024-W08;579,6;79,53747;13,033999;5,534;1;573,6260070495274;641,2301795022438;478,6598980947751;303,00416481943205
19;2024-03-03;HU;2024-W09;459,8;86,041855;14,619714;5,3268576;1;503,6548355630305;493,1814479483507;577,9107797722667;410,9804904547744
20;2024-03-10;HU;2024-W10;385,5;80,56563;12,462571;4,634;1;345,2431460137124;422,11647455038553;409,0135622450932;496,12155966631866
21;2024-03-17;HU;2024-W11;272,2;75,49358;13,176857;4,7197146;1;317,738508748449;247,2381739458945;343,62782205956586;330,17953223356045
22;2024-03-24;HU;2024-W12;240,9;67,86357;13,719714;2,784;1;183,69824280317937;262,9714035516917;174,51584295943906;273,46595819767674
23;2024-03-31;HU;2024-W13;167,3;63,163612;20,11257;8,141143;1;212,05493826051543;113,0318242762821;212,0491961104392;121,3420297246185
24;2024-04-07;HU;2024-W14;111,9;67,15984;20,71257;9,376857;1;113,00400886472704;190,1204756501454;66,48202898747024;167,5275042167081
25;2024-04-14;HU;2024-W15;101,5;63,546978;23,934;10,926857;1;64,36259709620987;66,26535986061886;162,31632060961584;36,52200792650978
26;2024-04-21;HU;2024-W16;95,1;69,27608;12,905429;3,941143;1;98,2634348216766;34,1731132218461;36,54412410854068;133,96341815016035
27;2024-04-28;HU;2024-W17;87,0;73,01762;17,091143;5,319714;1;89,93832676395508;95,39719580661014;15,734574306236723;18,13899190214822
28;2024-05-05;HU;2024-W18;67,2;65,05684;23,076857;11,891143;1;73,69878411642912;78,76051488981155;85,54531656145224;4,927290333715092
29;2024-05-12;HU;2024-W19;66,3;62,4529;21,434;11,848287;1;48,63114717489573;59,84507004971204;66,13092988029528;72,99864047954883
30;2024-05-19;HU;2024-W20;49,8;63,22109;22,30543;10,826858;1;64,05883456031754;33,57571124842072;47,51588558400847;53,872025098451104
31;2024-10-06;HU;2024-W40;192,5;83,68218;14,541143;8,426857;0;36,24126081954752;60,833303194008295;22,94180550520105;37,04846503177717
32;2024-10-13;HU;2024-W41;213,2;79,25637;19,500666;10,467334;0;292,0688346740302;23,276281664840752;53,84018015403768;15,498974184759083
