;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;LT;2023-W41;1021,1;77,316734;13,586;6,1860003;1;877,539044906036;;;
1;2023-10-22;LT;2023-W42;1084,0;85,32395;7,8574286;3,4717143;1;1016,7043372643836;841,1046682819035;;
2;2023-10-29;LT;2023-W43;1097,8;92,48462;7,286;3,0359998;1;1080,0841318512812;997,6680912366934;818,3136954951866;
3;2023-11-05;LT;2023-W44;648,8;84,70204;11,321714;4,886;1;1057,0613232779222;1035,3218005555188;951,0045533243508;775,129353462435
4;2023-11-12;LT;2023-W45;927,0;91,75403;7,693143;4,378857;1;483,8913488441488;985,2598883098316;962,9915861025188;880,0286173890928
5;2023-11-19;LT;2023-W46;1034,0;87,353966;2,036;-1,4711428;1;1007,2814456884062;481,34702890686896;990,8363138647036;968,9233348651194
6;2023-11-26;LT;2023-W47;1205,0;79,13606;-0,3782856;-4,8854284;1;1031,5304177795697;999,7411001395544;468,7563561934516;967,3394219685032
7;2023-12-03;LT;2023-W48;1358,5;87,25114;-2,9782856;-6,5068574;1;1249,2519614981386;1042,5845028885176;1010,3393242706196;494,3305699745047
8;2023-12-10;LT;2023-W49;1431,6;90,82451;-2,7497144;-6,3854284;1;1398,8538451637064;1267,4183136561437;1058,3860299405771;1026,6812466707825
9;2023-12-17;LT;2023-W50;1473,6;95,64129;2,3002858;-0,03542859;1;1474,2449792712464;1434,6450905060667;1300,1127522708057;1095,534338621259
10;2023-12-24;LT;2023-W51;1348,9;93,230774;3,5074286;0,30028576;1;1471,6933882055648;1472,4524216813325;1431,97077667728;1299,1472439255328
11;2023-12-31;LT;2023-W52;749,7;90,50511;4,0235;0,6235;1;1254,9199634090169;1402,132005473899;1402,8921896854297;1363,1585531670307
12;2024-01-07;LT;2024-W01;947,9;73,24707;-8,585428;-12,649714;1;518,352412733677;1137,1189869279192;1286,3350083027087;1287,0745480874095
13;2024-01-14;LT;2024-W02;1088,6;86,45342;0,39314285;-7,2711425;1;990,6069099099908;487,9133762278736;1115,404311909855;1262,6727437774616
14;2024-01-21;LT;2024-W03;1167,7;88,11239;-2,2711427;-8,992571;1;1022,235040586326;907,9801394609036;395,2141211153969;1015,936160184073
15;2024-01-28;LT;2024-W04;1403,6;92,077866;1,7145714;-0,8497143;1;1152,6525135124311;980,7025491850226;866,2889035034092;364,7696883398893
16;2024-02-04;LT;2024-W05;1541,0;89,965836;3,3788571;-0,7568571;1;1424,0872954538772;1125,8394721753214;952,5068345347132;841,0739714742076
17;2024-02-11;LT;2024-W06;1578,4;82,587685;2,2074287;-2,6282856;1;1536,3467847704933;1396,2211823841387;1093,9058561693057;924,1016793670826
18;2024-02-18;LT;2024-W07;1251,9;88,81262;4,043143;-0,5425715;1;1572,323785958768;1521,8239754049048;1379,1189998963796;1082,2047520292158
19;2024-02-25;LT;2024-W08;1224,6;87,42232;6,957429;2,186;1;1118,2343610787975;1501,8596261333555;1450,1051538352035;1308,9553248839188
20;2024-03-03;LT;2024-W09;1128,0;84,748985;8,414572;2,7288573;1;1210,5958674434778;1083,738225476848;1475,60468639867;1424,3038932349796
21;2024-03-10;LT;2024-W10;1064,3;72,34528;4,721714;-2,8711429;1;1081,5814904420722;1179,7436295303842;1050,5171807430115;1438,1246966039394
22;2024-03-17;LT;2024-W11;985,6;76,686424;7,5074286;0,5502857;1;1043,24305300906;1063,7743543931392;1163,3981594170891;1036,1026364235902
23;2024-03-24;LT;2024-W12;1201,2;82,948425;7,9360003;1,1217142;1;957,8616608749973;1026,3719131441394;1047,1633859879028;1145,2420595524818
24;2024-03-31;LT;2024-W13;1191,3;71,740974;16,150286;5,9645715;1;1210,6793369817162;922,9415741875612;992,2045012449864;1012,6364541283112
25;2024-04-07;LT;2024-W14;799,6;79,240295;13,650286;5,1574287;1;1158,5751523747144;1181,5339448440984;890,8242948556214;958,7269537696202
26;2024-04-14;LT;2024-W15;919,5;75,22027;16,486;8,078857;1;683,956492738995;1108,8917488058444;1132,1577261064108;847,2027741633856
