;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;LU;2023-W41;18700,0;75,875725;17,601358;8,044214;1;16283,06695507211;;;
1;2023-10-22;LU;2023-W42;17800,0;83,45864;13,522786;7,8156433;1;17366,00158563096;15798,025556194982;;
2;2023-10-29;LU;2023-W43;18100,0;90,63276;12,701357;7,7942147;1;17751,610153835984;17469,87865961195;15644,49888114169;
3;2023-11-05;LU;2023-W44;19900,0;87,33978;10,651358;7,2585;1;17646,75338429473;17420,345225507193;17092,30393041798;15383,818333947132
4;2023-11-12;LU;2023-W45;18100,0;88,73327;9,015642;5,2013574;1;18917,142062974744;17453,44548301921;17189,83877441601;16882,665527360357
5;2023-11-19;LU;2023-W46;19400,0;90,82998;9,544214;5,3442144;1;18350,570225176754;18881,0429924186;17177,260214281418;16930,262765360778
6;2023-11-26;LU;2023-W47;15500,0;88,47643;6,315643;1,7084999;1;18593,79343014315;17912,308329897824;18529,97094532269;16934,092004538445
7;2023-12-03;LU;2023-W48;25200,0;86,73419;1,8299285;-3,3700714;1;16500,09933939444;18506,317133938057;17712,284337247995;18290,668405294786
8;2023-12-10;LU;2023-W49;27500,0;90,33965;6,5727854;3,0013568;1;21439,646172610504;15842,80184936778;18180,533734401048;17436,659691581208
9;2023-12-17;LU;2023-W50;21300,0;92,8678;6,937072;2,0299287;1;26246,96148640304;22318,18049076453;15752,343526335851;17940,5706677963
10;2023-12-24;LU;2023-W51;29000,0;93,30214;7,679929;5,037071;1;22967,32094644226;26195,658690783483;21605,74576496181;15474,194779342575
11;2023-12-31;LU;2023-W52;34100,0;88,63476;8,5460005;5,621;1;25880,996753289008;21983,894801095365;25746,35369186938;21446,585677669784
12;2024-01-07;LU;2024-W01;23800,0;87,95109;5,222786;1,6727856;1;31845,450741464894;26480,070472311814;21901,450487870177;25437,163824815
13;2024-01-14;LU;2024-W02;13800,0;70,91598;-0,012928529;-4,8915;1;26825,44702766127;32062,02863023752;25809,73107339856;21520,534685304872
14;2024-01-21;LU;2024-W03;18600,0;87,1701;1,2870715;-4,1843576;1;16677,971843452615;25327,7514865926;31457,302056853438;25581,014232496163
