;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;LU;2023-W41;3400,0;75,875725;17,601358;8,044214;1;3749,9893253765176;;;
1;2023-10-22;LU;2023-W42;3900,0;83,45864;13,522786;7,8156433;1;3118,5041306881703;3357,6424173356027;;
2;2023-10-29;LU;2023-W43;1600,0;90,63276;12,701357;7,7942147;1;3415,7634729330352;2882,2681850985987;3124,670535790475;
3;2023-11-05;LU;2023-W44;3000,0;87,33978;10,651358;7,2585;1;1961,2489852100305;3198,4922597836585;2658,568673447844;2878,1719081798788
4;2023-11-12;LU;2023-W45;5200,0;88,73327;9,015642;5,2013574;1;2394,353360245472;1690,479066126752;2942,0693659533017;2453,5292382252514
5;2023-11-19;LU;2023-W46;7200,0;90,82998;9,544214;5,3442144;1;4213,6680154866;2301,330904583523;1587,700735069458;2718,892693219569
6;2023-11-26;LU;2023-W47;4800,0;88,47643;6,315643;1,7084999;1;6094,020873224002;4034,8694502156936;2101,1162338587137;1457,1742987903497
7;2023-12-03;LU;2023-W48;5500,0;86,73419;1,8299285;-3,3700714;1;4879,734883616449;5773,87830567385;3692,095029624517;1944,4384309215104
8;2023-12-10;LU;2023-W49;7900,0;90,33965;6,5727854;3,0013568;1;4830,821823858094;4403,177826859061;5310,394789858234;3418,5851677522096
9;2023-12-17;LU;2023-W50;10400,0;92,8678;6,937072;2,0299287;1;6652,483739051511;4529,214974917976;4094,551892620298;4921,318318225396
10;2023-12-24;LU;2023-W51;5100,0;93,30214;7,679929;5,037071;1;8965,481530918465;6329,9693930292015;4173,832923254762;3777,785387423449
11;2023-12-31;LU;2023-W52;13400,0;88,63476;8,5460005;5,621;1;5807,260908498938;8512,01221533292;5830,534608834915;3863,594041875959
12;2024-01-07;LU;2024-W01;1200,0;87,95109;5,222786;1,6727856;1;10166,737454312206;5115,053254439263;7883,268731846991;5415,578654800964
13;2024-01-14;LU;2024-W02;12600,0;70,91598;-0,012928529;-4,8915;1;4795,355254796427;10176,178906516958;4797,471379273271;7346,5160661790915
14;2024-01-21;LU;2024-W03;8700,0;87,1701;1,2870715;-4,1843576;1;7286,896799403127;3242,533359769172;9346,987434166129;4425,9436870077725
15;2024-01-28;LU;2024-W04;11900,0;88,89995;8,337071;0,5370715;1;9384,069233772898;8637,136238822422;3404,1539929433256;8801,852783111088
16;2024-02-04;LU;2024-W05;8900,0;91,01255;7,9085;1,7799284;1;9769,93512273362;8348,200986849708;7396,487981300526;3028,8883978497493
17;2024-02-11;LU;2024-W06;8100,0;91,454155;9,387072;5,8227854;1;9296,893251720045;9786,03754319404;8023,06427009873;7224,481650552027
18;2024-02-18;LU;2024-W07;11200,0;88,82039;10,565643;4,1585;1;7723,83400351108;8398,684367990028;9004,661637265395;7467,4601572525
19;2024-02-25;LU;2024-W08;6400,0;85,76742;8,229929;3,5942142;1;9171,324969867946;7222,603508139172;8054,5511095377315;8581,053420835704
20;2024-03-03;LU;2024-W09;4500,0;83,188644;9,922786;2,551357;1;7675,806819087121;9212,67608838597;6808,99759615493;7532,182927047053
21;2024-03-10;LU;2024-W10;4000,0;79,772865;9,708501;1,6656429;1;4801,366131227087;6565,156889688043;8479,130296250518;6397,358179001715
22;2024-03-17;LU;2024-W11;3300,0;85,25236;12,394216;5,065643;1;3831,3010172525246;4274,511865763579;6442,014038350607;8091,634134617647
23;2024-03-24;LU;2024-W12;3200,0;82,1251;12,222786;3,2085;1;3263,8046624020344;3557,076425791796;4095,173935170199;5958,192246937668
24;2024-03-31;LU;2024-W13;2900,0;80,21094;11,794214;4,637071;1;2954,8358201694045;2989,981086597292;3345,18074716305;3804,7998998637327
25;2024-04-07;LU;2024-W14;0,0;80,71571;16,601358;8,951357;1;2753,704797223084;2783,8895408873914;2826,437282568274;3129,207285568292
26;2024-04-14;LU;2024-W15;1600,0;77,26533;15,794214;5,0727854;1;1048,520919824981;2564,5271898760907;2601,056540968144;2637,2657330498064
27;2024-04-21;LU;2024-W16;2900,0;77,0011;8,501357;2,0227857;1;877,2135327880306;575,7531560110699;2407,545769742453;2438,615272789417
28;2024-04-28;LU;2024-W17;2000,0;73,969986;11,622786;2,6370714;1;2173,022588035549;1061,014636032981;695,2538343016467;2252,695695443213
29;2024-05-05;LU;2024-W18;1100,0;79,90902;17,644215;8,422786;1;2146,8511910491243;2242,0728937879244;899,7412169269933;589,9394222633601
30;2024-05-12;LU;2024-W19;500,0;75,14689;19,444214;8,351357;1;1325,8249546999723;1902,8023941976824;2017,7594853507396;877,9582046484404
31;2024-05-19;LU;2024-W20;0,0;81,92025;17,651358;10,958501;1;670,9944902796536;1125,963755728672;1821,555815090857;1919,246880009116
32;2024-05-26;LU;2024-W21;800,0;82,85901;17,158499;9,208501;1;179,6920674993001;549,3775140501205;1097,2925203246264;1688,780390442835
33;2024-06-02;LU;2024-W22;0,0;82,97941;16,801357;9,829928;0;440,6231860966984;98,99972628550287;543,8957151543649;1009,5253982074616
34;2024-06-09;LU;2024-W23;1000,0;74,491585;17,979929;7,6656427;0;287,8160999444171;530,3486133722442;119,1214858517501;497,1366013604996
35;2024-06-16;LU;2024-W24;0,0;73,82804;16,879929;8,9085;0;550,2662146786971;158,46185315444836;450,5433966598199;101,20784082046949
36;2024-06-23;LU;2024-W25;2300,0;83,63511;21,251358;12,065643;0;360,4195115902216;662,9158229208269;190,79139478108723;438,8516753150458
37;2024-06-30;LU;2024-W26;3200,0;72,36566;23,994215;13,529929;0;1262,474754904404;198,20643381595292;562,9436542828084;162,05315825772766
38;2024-07-07;LU;2024-W27;4800,0;77,84424;18,522785;9,272786;0;2591,447234123707;1524,668236040102;238,9024009144517;548,5000528687453
39;2024-07-14;LU;2024-W28;2100,0;73,24923;23,365643;12,137072;0;3803,0515945489274;2579,079747732696;1293,4116818321982;202,8176810489105
40;2024-07-21;LU;2024-W29;1100,0;73,6828;24,465643;14,944215;0;2883,500511986628;3825,270566894592;2353,637232626804;1261,285152453433
41;2024-07-28;LU;2024-W30;900,0;75,63816;22,894215;13,537071;0;1357,123851698046;2344,4004533129983;3480,054307920973;2224,83589941584
42;2024-08-04;LU;2024-W31;600,0;78,78282;24,987072;15,494215;0;889,9040674064697;1143,0308717521402;2329,0246054664126;3297,036776847767
43;2024-08-11;LU;2024-W32;1200,0;72,07745;25,92993;15,022786;0;652,5751203217351;813,1014624479147;1116,1892673372972;2126,6888403291146
44;2024-08-18;LU;2024-W33;3300,0;76,12023;24,987072;15,422786;0;877,9401096389938;574,8758789932361;766,9896253153652;1025,0367926914305
45;2024-08-25;LU;2024-W34;1600,0;70,4892;22,244215;11,829928;0;2256,570769075124;913,3535021460756;550,5791103972332;714,1157103652706
46;2024-09-01;LU;2024-W35;1100,0;71,87428;27,108501;15,315643;0;2061,158612237882;2424,4908886793983;818,2560073909056;509,4662071174017
47;2024-09-08;LU;2024-W36;0,0;82,70038;22,158499;14,501358;0;1177,9039992583305;1711,0064807992735;2146,6741861091614;778,2277246165945
48;2024-09-15;LU;2024-W37;600,0;78,22503;15,022786;7,0942144;0;390,0559234948703;1043,5660466776117;1681,3921178122896;2052,309155025796
49;2024-09-22;LU;2024-W38;3000,0;74,51625;21,158499;11,801358;0;332,6823157263763;216,32040323582595;996,7516553851488;1540,2863462930466
50;2024-09-29;LU;2024-W39;3200,0;84,96837;14,158501;8,194215;0;1878,635956536042;397,3063787042804;258,2811228679544;923,1015537092488
51;2024-10-06;LU;2024-W40;4300,0;83,34914;14,072786;6,6656427;0;2840,6213912664134;2105,151408158853;338,31031285606014;219,94607020671964
52;2024-10-13;LU;2024-W41;3600,0;86,499084;13,9585;7,4668336;0;3527,1179091821487;2710,765606077865;1834,1159744840988;328,5234560531171
