;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;MT;2023-W41;5300,0;71,22579;27,794071;21,201216;1;3710,350243392599;;;
1;2023-10-22;MT;2023-W42;5900,0;64,48537;29,172644;22,458357;1;4647,3241202150975;3538,1917951452297;;
2;2023-10-29;MT;2023-W43;5100,0;74,52575;26,544071;21,544071;1;5377,274293690754;4500,415017780943;3424,932752637982;
3;2023-11-05;MT;2023-W44;5300,0;68,146736;25,922644;20,322643;1;5035,431820191435;5229,4824941278885;4379,149684035281;3336,2355309190143
4;2023-11-12;MT;2023-W45;8900,0;70,56925;24,051214;19,394072;1;5036,791213609231;4851,485888207646;5039,806336221365;4214,7534426899565
5;2023-11-19;MT;2023-W46;9500,0;65,809395;22,794071;18,536928;1;7422,295954906157;4716,512641578777;4536,846028778156;4719,725615487691
6;2023-11-26;MT;2023-W47;9200,0;66,915764;19,001215;14,779785;1;8753,260703216214;7284,355553956931;4653,787462473675;4479,033625049298
7;2023-12-03;MT;2023-W48;9300,0;65,97148;20,672642;16,68693;1;8894,152289619546;8576,125387489314;7153,631862356968;4596,215151862965
8;2023-12-10;MT;2023-W49;8300,0;66,650955;17,9155;13,808357;1;8910,161812420185;8621,105347101295;8310,896671019873;6927,757384823386
9;2023-12-17;MT;2023-W50;9000,0;73,50411;18,329786;13,815499;1;8127,074505738275;8560,593555706517;8278,805801742477;7976,577675817205
10;2023-12-24;MT;2023-W51;7000,0;71,803085;17,229786;14,629786;1;8558,298310009504;7938,380743333846;8362,09404629405;8086,10268804778
11;2023-12-31;MT;2023-W52;11100,0;75,872215;17,853;13,65925;1;7122,010636251268;8227,243768457736;7621,223493944761;8034,727527726452
12;2024-01-07;MT;2024-W01;10500,0;72,748024;17,544071;12,4655;1;9528,97738866261;6718,744361236172;7794,400823071147;7201,2805390785625
13;2024-01-14;MT;2024-W02;8700,0;70,686295;15,901215;11,822642;1;9905,522110896887;9214,592046623198;6467,785608518494;7516,934437981315
14;2024-01-21;MT;2024-W03;10600,0;75,75396;18,101215;12,5155;1;8863,936229209257;9715,403093472598;9044,354477575627;6362,603778401306
15;2024-01-28;MT;2024-W04;10000,0;72,72248;16,594072;11,508356;1;9884,02951458942;8653,728823824342;9485,65322574815;8832,311085076868
16;2024-02-04;MT;2024-W05;7900,0;67,12208;16,051214;11,336928;1;9608,783920578428;9526,865688740369;8323,34974737974;9138,488325570455
17;2024-02-11;MT;2024-W06;9900,0;71,60905;18,494074;12,672643;1;8203,25141323229;9409,114941331723;9328,564046764675;8146,161122561995
18;2024-02-18;MT;2024-W07;8900,0;71,9667;17,029787;11,3654995;1;9294,297175847014;8094,627257820713;9273,766506078544;9194,417277876924
19;2024-02-25;MT;2024-W08;8400,0;77,887596;16,58693;12,322642;1;8743,752104969442;9021,184100689412;7845,857980730385;9000,431587332032
20;2024-03-03;MT;2024-W09;7300,0;75,57996;17,1155;11,786928;1;8196,602375260296;8438,06679328723;8709,086924833038;7558,975366862895
21;2024-03-10;MT;2024-W10;9700,0;71,63552;18,351213;13,229785;1;7396,386429893779;8026,103445584537;8262,62915048279;8528,66572186259
22;2024-03-17;MT;2024-W11;7200,0;73,15388;17,779787;12,1154995;1;8654,412925698143;7044,734869726392;7661,039093512293;7892,176910769153
23;2024-03-24;MT;2024-W12;5000,0;75,24581;19,822645;13,358357;1;7567,614677952356;8578,62100493879;6998,629315936534;7600,495383881578
24;2024-03-31;MT;2024-W13;4900,0;64,69168;24,215502;15,451215;1;5621,848897671471;7429,634771846207;8415,354789826302;6867,145979501296
25;2024-04-07;MT;2024-W14;1900,0;63,940533;21,772644;13,6655;1;4851,789786773515;5358,04033803547;7117,91605843891;8083,906740419456
26;2024-04-14;MT;2024-W15;3900,0;74,395386;21,151215;16,1655;1;2652,6134817040056;4727,805495102652;5221,8616358647005;6943,023130735792
27;2024-04-21;MT;2024-W16;2700,0;67,82491;19,08693;14,644072;1;3471,2919974259503;2596,6705446417373;4614,480684939167;5096,757139130955
28;2024-04-28;MT;2024-W17;2000,0;70,91561;19,015501;14,065499;1;2959,6715185958487;3498,647835824522;2647,489053120179;4607,047194141145
29;2024-05-05;MT;2024-W18;4500,0;71,980804;21,322643;15,251214;1;2151,7345082296133;2822,2569282880318;3345,667221638161;2518,6421343531542
30;2024-05-12;MT;2024-W19;3000,0;79,66893;21,3655;15,829786;1;3718,313266820891;2082,070183519942;2733,255879434909;3241,7223529496664
31;2024-05-19;MT;2024-W20;3100,0;67,32916;27,329786;19,272644;1;3110,114328294258;3610,140806322501;2020,8466410434776;2653,4092420153106
32;2024-10-06;MT;2024-W40;4400,0;62,59211;26,729786;20,844072;0;3057,5207456022645;3064,501191468944;3550,002166221421;2006,2180275399423
33;2024-10-13;MT;2024-W41;4600,0;66,957344;27,473833;21,515501;0;3832,972661220797;2899,8467176934782;2906,6361477550577;3378,236811670163
