;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;NL;2023-W41;21,3;82,72898;16,647358;11,618785;1;18,793854730845744;;;
1;2023-10-22;NL;2023-W42;27,9;85,57638;14,111643;8,383071;1;20,38871654987691;18,00074318754001;;
2;2023-10-29;NL;2023-W43;19,7;90,5021;12,5545;8,797358;1;26,88434119400413;19,725640720223065;17,450243934447354;
3;2023-11-05;NL;2023-W44;35,3;86,3946;11,918786;8,418786;1;20,701378789800597;27,548452461839886;20,726153986014964;18,557848251013382
4;2023-11-12;NL;2023-W45;33,4;86,92617;10,933072;6,3402143;1;33,07127974632499;19,165023621039985;25,691666818515067;19,18942631688269
5;2023-11-19;NL;2023-W46;44,1;87,492874;11,640215;7,0759287;1;30,826265428010306;30,51211011511677;17,2679960218808;23,48939461964057
6;2023-11-26;NL;2023-W47;45,9;83,6171;9,2045;4,7402143;1;45,00724176369528;32,35498513384125;32,054375447842034;19,41864124013916
7;2023-12-03;NL;2023-W48;37,9;89,91352;2,8402143;-1,5455;1;44,54372703612125;43,69001192792141;31,620468251920144;31,333022842142647
8;2023-12-10;NL;2023-W49;49,1;88,437195;7,0902143;2,9259286;1;37,21955400704679;43,56219839545184;42,7456060577904;31,23359976887604
9;2023-12-17;NL;2023-W50;60,3;90,1473;9,3045;5,2116427;1;53,10862602414037;41,7610307107332;47,8157469266087;47,0313243919382
10;2023-12-24;NL;2023-W51;49,5;84,840416;10,768785;7,668786;1;62,11246078096047;55,20509442442273;44,36871115868876;50,14868498743209
11;2023-12-31;NL;2023-W52;27,5;82,587944;10,1545;5,842;1;47,51320289872534;59,55865518798139;52,962238125297965;42,62031379492358
12;2024-01-07;NL;2024-W01;42,7;86,325745;6,3830714;3,2402146;1;35,7011602094898;54,77460262603907;66,3778516886064;59,99224170795849
13;2024-01-14;NL;2024-W02;54,5;79,458084;3,1116428;-1,1097857;1;32,86306671080288;26,3166295806103;44,50849659309377;55,5031544086556
14;2024-01-21;NL;2024-W03;66,9;75,50871;4,8259287;-0,47407144;1;44,82543621550361;23,891724837077017;17,770096593789823;35,12108861690132
15;2024-01-28;NL;2024-W04;73,7;82,13462;9,990214;4,0259285;1;64,63626566999731;43,525436957569546;23,585097758959563;17,746278703573342
16;2024-02-04;NL;2024-W05;73,7;87,0974;9,9545;6,3616433;1;71,35730438687027;62,663417999355104;42,48391322711605;23,499390097191053
17;2024-02-11;NL;2024-W06;68,6;88,273;9,425929;4,6830716;1;70,82737627439923;68,5767373187461;60,2375309968592;40,92703343626134
18;2024-02-18;NL;2024-W07;55,1;89,286156;11,590215;7,2473574;1;68,55329307499322;70,6897116308234;68,52719072357475;60,52944094811469
19;2024-02-25;NL;2024-W08;48,8;87,37774;9,1545;4,547357;1;51,015587526119816;63,8951743187524;65,94683002054198;63,86968232666313
20;2024-03-03;NL;2024-W09;41,4;83,05959;10,240214;4,6473575;1;43,47615027954365;45,600894843914354;57,92040890210311;59,89151165415527
21;2024-03-10;NL;2024-W10;39,7;80,026474;10,340215;3,3259284;1;42,69582458152136;44,675362486885575;46,70370924018128;58,52915373213571
22;2024-03-17;NL;2024-W11;26,8;83,38312;12,740214;6,818786;1;37,20022947540311;40,06243807925912;41,95817077972098;43,90008781925197
23;2024-03-24;NL;2024-W12;23,3;84,29006;10,9545;6,0616426;1;21,58162958206937;31,528445826585337;34,25764749760081;36,08051642179913
24;2024-03-31;NL;2024-W13;21,9;76,403496;12,590215;5,640214;1;22,494567688403308;20,854172862174902;30,354162159895992;32,96307847954841
25;2024-04-07;NL;2024-W14;16,6;80,26178;16,140215;9,9545;1;21,187855601171957;21,75515594318413;20,18926632457756;29,262361373446403
26;2024-04-14;NL;2024-W15;18,2;76,0329;14,575929;9,468786;1;14,760200238993722;19,13886775876028;19,68044087139485;18,183429749606457
27;2024-04-21;NL;2024-W16;17,9;76,88862;9,633072;4,047357;1;18,047063101772167;14,764961277056148;18,943620218072148;19,460266969312997
28;2024-04-28;NL;2024-W17;8,4;75,34054;12,633072;4,168786;1;16,24058287783723;16,381096115101386;13,248098597836805;17,236196898973294
29;2024-05-05;NL;2024-W18;7,1;80,65198;18,58307;10,011642;1;8,088065989634286;15,56951570180691;15,703579069410978;12,713713717414958
30;2024-05-12;NL;2024-W19;7,1;77,64453;19,040213;10,047357;1;7,289748120872321;8,232191724191154;15,369935081487403;15,497747509393196
31;2024-05-19;NL;2024-W20;10,4;81,39864;20,690214;12,440214;1;6,792283917898931;6,973285674249938;7,872327344399407;14,68324253529498
32;2024-05-26;NL;2024-W21;3,7;84,60069;18,668787;12,190214;1;9,468099326204278;6,026581972688516;6,199340599923166;7,057092516338255
33;2024-06-02;NL;2024-W22;9,8;81,88655;17,2045;11,5045;0;3,0007937584494675;8,503816632351382;5,220856480190141;5,385767771266687
34;2024-06-09;NL;2024-W23;8,2;76,329;15,718786;9,525929;0;10,515038778424012;4,030332925392669;9,278730925605894;6,146759107843471
35;2024-06-16;NL;2024-W24;6,4;78,953125;16,290215;10,740214;0;7,685660730184287;9,893960372956029;3,7082471087164186;8,715095230870812
36;2024-06-23;NL;2024-W25;8,5;82,23655;20,0545;11,890214;0;4,947745351795865;6,174511072720541;8,280645450984375;2,3793491243473976
37;2024-06-30;NL;2024-W26;10,0;75,09697;22,283072;14,640215;0;8,567037234831052;5,178877527793437;6,348936962446981;8,358161210135613
38;2024-07-07;NL;2024-W27;5,5;78,76971;17,240215;12,240214;0;10,55893531455407;9,191499076093155;5,96035170595288;7,076136393646028
39;2024-07-14;NL;2024-W28;13,5;81,51844;19,933071;13,775929;0;3,7773047276338927;8,60185412153866;7,297481489256754;4,213980601252562
40;2024-07-21;NL;2024-W29;12,9;78,60732;23,647356;15,025929;0;13,081831724353233;3,8069514956033887;8,409458788970948;7,164890701331159
41;2024-07-28;NL;2024-W30;10,7;79,79968;21,5545;14,097358;0;13,129818255448594;13,30313568588155;4,4577637927249;8,849032592204399
