;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;PL;2023-W41;274,9;76,49428;15,968714;6,5187144;1;225,47763366585764;;;
1;2023-10-22;PL;2023-W42;316,9;85,00165;11,975858;5,1187143;1;267,74105655494304;212,8044030081407;;
2;2023-10-29;PL;2023-W43;332,3;89,680435;13,4044285;8,025857;1;316,15789607030257;261,32999941839654;207,1441491314184;
3;2023-11-05;PL;2023-W44;301,9;80,841606;13,111571;7,275857;1;325,1581210832314;307,13116456813907;252,98686376776325;200,42790477432436
4;2023-11-12;PL;2023-W45;339,8;84,022316;9,561571;4,0472856;1;287,97079863502114;313,93997638498774;296,1241824210998;243,54473558123252
5;2023-11-19;PL;2023-W46;355,3;89,825966;5,033;0,31157142;1;357,8882157377445;300,0911420192307;325,72811897599087;308,42827631796445
6;2023-11-26;PL;2023-W47;385,7;83,18237;1,9044285;-2,767;1;371,538324806085;374,43191391227833;317,33434095484785;342,2101637671853
7;2023-12-03;PL;2023-W48;786,6;86,567276;-0,9384286;-5,581286;1;393,7710312980712;377,9198494440576;380,7836796853919;325,30168524453046
8;2023-12-10;PL;2023-W49;491,5;89,92655;-0,467;-3,817;1;864,089026887512;424,4049617552589;408,5637885862071;411,3597189560678
9;2023-12-17;PL;2023-W50;504,7;93,59321;3,933;1,5329999;1;510,5779555638337;899,8257866070952;462,1679979322721;446,5570786170761
10;2023-12-24;PL;2023-W51;344,5;83,958824;6,218714;1,7329999;1;505,85577463306464;511,9851068595877;893,2365048500727;465,74882033713646
11;2023-12-31;PL;2023-W52;323,5;81,97958;7,5142503;1,8704998;1;323,65590758758333;489,7787708326839;495,7641813939043;866,5546032470395
12;2024-01-07;PL;2024-W01;383,4;83,48066;0,67585725;-3,7812858;1;290,5254905081871;290,691359839072;451,7346390108011;457,4706133226261
13;2024-01-14;PL;2024-W02;445,8;80,74041;-1,1098572;-5,6312857;1;346,0933676554131;249,7114545756336;249,8805166962049;405,1852633105176
14;2024-01-21;PL;2024-W03;456,6;87,827354;0,3687143;-6,0455713;1;412,9660666984736;308,2543747269573;213,798020887708;213,96875111456828
15;2024-01-28;PL;2024-W04;474,8;86,94993;4,7544284;0,56871426;1;435,8517706657415;390,1539156165127;287,5589664509285;195,73581103124556
16;2024-02-04;PL;2024-W05;512,0;82,85032;6,7330003;2,2758572;1;466,1934541357401;425,5138019958656;380,9082393751471;281,4484540020228
17;2024-02-11;PL;2024-W06;498,1;88,54279;6,911572;2,2544284;1;501,00515774163006;453,07325752503;413,27245966705726;369,8916702719174
18;2024-02-18;PL;2024-W07;389,1;80,84825;8,054429;1,175857;1;490,55956217059855;493,5964728152977;446,6641099116804;407,9551729159153
19;2024-02-25;PL;2024-W08;347,7;85,538216;10,247286;3,5401425;1;389,2616576747349;495,6485572760295;498,613523791845;452,8916929856258
20;2024-03-03;PL;2024-W09;318,2;84,753975;11,997286;4,8972855;1;336,8909104441991;380,5213377656801;484,69477390665065;487,58355262418434
21;2024-03-10;PL;2024-W10;322,9;75,09912;7,633;-0,7098573;1;312,1533167570482;331,7514120027785;374,4479735036704;475,9646774345589
