;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;SI;2023-W41;2,2;85,18659;20,782;10,182;1;-0,4517427318126594;;;
1;2023-10-22;SI;2023-W42;1,1;84,61909;17,667713;7,8677144;1;2,678920980892726;-0,5500862143340337;;
2;2023-10-29;SI;2023-W43;2,4;88,45624;18,274857;10,232;1;0,4360089816067474;2,358636093644865;-0,4843193372870097;
3;2023-11-05;SI;2023-W44;4,4;88,82435;14,832001;6,667714;1;2,47071669364196;0,0791998759012977;1,7719519564050583;-0,3638479140834174
4;2023-11-12;SI;2023-W45;2,3;88,7425;12,010572;2,6177144;1;4,372285158647608;2,0229868028332296;-0,0826087934340278;1,1890815245416968
5;2023-11-19;SI;2023-W46;3,4;79,30447;13,332001;2,3034286;1;0,99380884747086;3,517219360266825;1,448756455710977;-0,1331148479719828
6;2023-11-26;SI;2023-W47;3,5;81,092384;8,2748575;-2,0037143;1;3,195632578718266;0,2656489523514443;2,4873898437523176;0,9333873024461186
7;2023-12-03;SI;2023-W48;0,0;86,98025;6,589143;-0,96085703;1;2,865722976030257;2,4950942563721457;-0,084630837922121;1,5845099375860003
8;2023-12-10;SI;2023-W49;6,7;91,519104;5,1248574;-1,7108572;1;-1,4372310844311746;2,0523171476402635;1,725990034927609;-0,2121415180702931
9;2023-12-17;SI;2023-W50;11,7;90,06286;7,174857;-1,1251428;1;8,157642745193378;-1,7500761245201408;1,3223059833180693;1,0771351310308095
10;2023-12-24;SI;2023-W51;26,6;86,722496;8,810572;-2,368;1;11,495766213459802;7,182030310886038;-1,5408378751606029;0,7673978238190746
11;2023-12-31;SI;2023-W52;30,6;89,24073;11,007;2,707;1;27,594649538543592;9,194046712816403;5,395796370830358;-1,1575884162476884
12;2024-01-07;SI;2024-W01;16,9;90,51597;7,7605715;1,1677142;1;26,3483582649063;22,68451878702657;6,475154491777521;3,621444802853089
13;2024-01-14;SI;2024-W02;46,4;75,37256;3,2248573;-5,032285;1;8,006864696586806;19,524299316825456;16,29480069138924;4,109520321555558
14;2024-01-21;SI;2024-W03;99,6;87,044556;3,732;-9,368001;1;49,53705077249983;2,806043606237891;12,957722916075578;10,528787756366237
15;2024-01-28;SI;2024-W04;125,6;83,91078;7,539143;-6,175143;1;102,69785577278236;41,31385392482575;0,1267328732283812;7,762162634448691
16;2024-02-04;SI;2024-W05;147,3;75,787964;10,032;-5,2322855;1;112,88943007040834;84,48625369666242;30,032241428809915;-0,9990035185958231
17;2024-02-11;SI;2024-W06;129,1;90,186295;10,724858;3,8962858;1;129,46440646180724;86,39066709397882;60,91809134537625;19,666835047989316
18;2024-02-18;SI;2024-W07;124,0;79,36701;12,624857;-1,0037143;1;97,86124857152942;98,31942020474966;59,10452610723521;39,60795424363989
19;2024-02-25;SI;2024-W08;70,3;85,36608;11,789144;0,59628576;1;99,74973755710243;66,87079304047911;67,29034896794411;36,61071624642423
20;2024-03-03;SI;2024-W09;50,8;87,843124;12,810572;3,9391427;1;35,00907166297513;71,8864704573927;41,65215555606557;41,98283847441255
21;2024-03-10;SI;2024-W10;11,8;87,499825;9,489142;2,9034288;1;33,54229403199851;13,863528614783151;47,49869836525632;23,46478445045459
22;2024-03-17;SI;2024-W11;15,5;80,3219;16,203428;2,0534286;1;-6,569380441193905;20,336822561117454;2,494788769177537;28,90572402325018
23;2024-03-24;SI;2024-W12;3,5;78,686134;15,074858;1,889143;1;14,20435682310286;-13,006339392904136;11,1974018818352;-2,710411566441205
24;2024-03-31;SI;2024-W13;3,4;78,294876;16,746286;5,532;1;-2,0762588039841017;11,087745607403171;-13,306691458171962;5,393273056301835
25;2024-04-07;SI;2024-W14;1,1;77,24326;20,096285;6,774857;1;2,7401785791634365;-3,993482950304883;7,788273372180237;-11,000930802035365
26;2024-04-14;SI;2024-W15;2,2;71,242485;22,353428;8,5177145;1;-0,0461526602209068;1,9701750457784355;-4,055669949001957;5,01356781550118
27;2024-04-21;SI;2024-W16;0,0;74,00257;12,410571;1,1034286;1;2,252077684218702;-0,5091627375267426;1,2949711372915884;-3,3430110445639114
28;2024-04-28;SI;2024-W17;1,4;82,39054;13,639143;3,2534287;1;-0,9047929572094944;1,863694930608879;-0,6069431606340717;0,781623091520041
29;2024-05-05;SI;2024-W18;0,0;77,93469;19,310572;8,353429;1;1,7210001151659606;-1,112263005579884;1,3648342822292352;-0,5367124669695624
30;2024-05-12;SI;2024-W19;3,7;74,38393;19,76057;9,346286;1;-0,5757404312800837;1,5398516074985429;-0,9951924081031378;0,9113124071894068
31;2024-05-19;SI;2024-W20;1,2;82,14143;20,01057;9,960571;1;4,548263936998822;-0,7077460011926339;1,1851571383692718;-0,7659512836191313
32;2024-05-26;SI;2024-W21;4,6;81,911385;20,846285;10,617714;1;-0,0462890383296474;4,069491079170081;-0,6332484418712072;0,8236335087002122
