;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;BG;2023-W41;632,2;57,151237;22,582857;9,761429;1;527,5583276475913;;;
1;2023-10-22;BG;2023-W42;625,5;65,60366;21,618572;8,218572;1;642,4881285633028;563,3410118156308;;
2;2023-10-29;BG;2023-W43;581,4;63,836773;23,697144;11,475715;1;604,9830551952714;618,9501289372172;544,4898371095203;
3;2023-11-05;BG;2023-W44;748,1;74,142334;18,46857;8,025714;1;581,4057209791465;599,8554242074742;611,812658871312;555,3607208383385
4;2023-11-12;BG;2023-W45;852,4;75,760185;13,182857;4,3828573;1;797,2749500435011;681,9489432019155;699,4088225368639;707,3199200853485
5;2023-11-19;BG;2023-W46;874,1;72,59676;12,190001;2,897143;1;856,6692032578767;793,4520806241618;691,620639546024;704,2614571079082
6;2023-11-26;BG;2023-W47;1011,8;82,309685;7,897143;1,0614287;1;907,2881653520512;889,533978036281;847,6292115852495;770,5350712810521
7;2023-12-03;BG;2023-W48;996,8;80,94165;7,5685716;-1,0885714;1;1008,7267306128164;929,9284904301564;916,6273866918066;880,2761779523232
8;2023-12-10;BG;2023-W49;1030,0;83,951904;4,747143;-0,66714287;1;945,3953639791685;953,3861026236208;878,6443731987611;866,2275557092921
9;2023-12-17;BG;2023-W50;1212,9;81,65342;7,997143;-0,25285712;1;954,1835745595342;902,8165829669698;898,7396553399772;846,0454247773076
10;2023-12-24;BG;2023-W51;1033,2;70,330345;9,261429;-0,76000005;1;1107,14332379834;907,9568146825;864,3668384215938;859,5588531796474
11;2023-12-31;BG;2023-W52;498,2;67,7086;10,48375;0,59625;1;894,1875217902118;957,258678070638;770,7739101875134;753,2044502070032
12;2024-01-07;BG;2024-W01;1178,5;82,07655;9,332857;1,1899999;1;489,55006223208215;766,0094276006917;804,2748970518959;659,6119749708715
13;2024-01-14;BG;2024-W02;1488,9;67,43877;3,1257145;-6,602857;1;1194,2081855950612;683,0493691229129;903,168774207988;955,060445371751
14;2024-01-21;BG;2024-W03;1593,8;75,38695;5,6185718;-3,3100002;1;1646,335074387262;1347,010060289898;920,285753856036;1124,4189186058911
15;2024-01-28;BG;2024-W04;1972,0;72,277245;4,29;-3,6100001;1;1487,4894791539234;1518,1637465713288;1297,097440275858;943,9833614553957
16;2024-02-04;BG;2024-W05;1771,5;61,17327;8,761428;-2,7885716;1;1638,4660368237803;1294,108654183665;1308,3536783482443;1110,37453515249
17;2024-02-11;BG;2024-W06;1322,2;62,883873;15,447143;3,7828572;1;1464,5559135696049;1301,0121234226465;1095,564470444967;1102,0869109923688
18;2024-02-18;BG;2024-W07;1141,7;74,858345;9,511429;-0,0457143;1;1287,4317443497048;1368,6509490023022;1276,0888637232774;1131,9756809828
19;2024-02-25;BG;2024-W08;989,3;75,86572;12,954286;2,6114287;1;1060,247213190528;1179,5790288648502;1234,4189975572813;1161,689422519179
20;2024-03-03;BG;2024-W09;909,7;79,31866;13,49;3,9042854;1;847,1766236172309;907,7680225458284;992,2831520682056;1056,2137897746234
21;2024-03-10;BG;2024-W10;724,8;79,9688;11,775714;2,49;1;946,4101566851292;891,7820052944612;935,185170636553;1013,2438470966096
22;2024-03-17;BG;2024-W11;906,4;76,52321;12,825714;3,1399999;1;721,7340510997878;872,7268757749218;840,240754016018;871,6170514799411
23;2024-03-24;BG;2024-W12;863,8;60,94449;13,54;1,4542857;1;814,0218665372421;632,9061081601855;777,3019500998266;733,7591479426114
24;2024-03-31;BG;2024-W13;757,2;63,276913;21,747143;6,5471425;1;875,6721804745155;820,3745730633173;678,0966191367423;776,4358413184505
25;2024-04-14;BG;2024-W15;574,8;49,06237;25,197144;9,218572;1;514,310248227198;553,0760755978491;554,7784510974236;432,2596066252
26;2024-04-21;BG;2024-W16;586,1;60,530926;16,575714;5,9757147;1;538,8067162320203;476,9045424915229;561,8498951845271;545,2509215706556
27;2024-04-28;BG;2024-W17;630,5;70,55625;17,761429;6,375714;1;632,8786771976062;606,5402520137892;522,2311082060969;613,6240982053964
28;2024-05-05;BG;2024-W18;395,3;71,43528;18,232857;9,29;1;600,9781511343891;600,5569263668672;570,633631084683;503,8237748529589
29;2024-05-12;BG;2024-W19;511,7;68,62468;19,432858;9,832857;1;393,70893029633874;549,154330302167;546,0666250799844;532,4433504595117
30;2024-05-19;BG;2024-W20;566,9;78,09069;18,232859;10,275714;1;540,9145332253481;447,0049273310057;565,4952203161645;569,3159652099644
31;2024-06-02;BG;2024-W22;501,2;68,74398;24,11857;12,211428;0;625,0966237989662;604,102568026742;527,0241729135344;616,9064569553713
32;2024-06-09;BG;2024-W23;450,2;64,26882;28,225714;15,747142;0;501,476542750486;583,9450785385031;594,6057979866982;520,645318855113
33;2024-06-16;BG;2024-W24;436,7;58,95306;27,925714;16,097141;0;382,00082964306887;415,27666866275865;492,52992545976224;500,8923409011296
34;2024-06-23;BG;2024-W25;368,4;55,577236;32,547146;18,59;0;451,0010852517129;410,3722450206823;436,9542917932707;487,0320478759844
35;2024-06-30;BG;2024-W26;360,1;58,818867;29,09;17,36143;0;347,68970356427315;411,0968276811332;378,1814272579168;395,4287368805014
36;2024-07-07;BG;2024-W27;348,1;53,9699;28,847141;15,747142;0;378,61977402013787;367,3426593182335;410,310618123871;382,2081294922632
37;2024-07-14;BG;2024-W28;322,5;39,449635;34,232857;20,96857;0;225,1330391902729;253,33814378745987;246,9608755475264;287,5940602007099
38;2024-07-21;BG;2024-W29;317,1;44,281147;33,932858;21,232859;0;311,6928106943368;256,88617013900875;280,6457965151504;275,15317508810494
39;2024-07-28;BG;2024-W30;308,5;53,316334;30,497143;17,24;0;408,9502966407359;446,7737608502346;373,3534572767173;390,4565669518146
40;2024-08-04;BG;2024-W31;315,4;41,207886;30,16857;16,947142;0;247,5684135376245;326,21580172673856;341,01668609125835;301,31305033584647
41;2024-08-11;BG;2024-W32;320,6;48,46264;31,047144;17,147142;0;378,42668895048433;334,8794490240738;383,7103875740889;420,3279894640529
