;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;CZ;2023-W41;11,9;70,265884;19,420214;11,141643;1;11,411376859090224;;;
1;2023-10-22;CZ;2023-W42;13,8;80,25716;15,3845;5,7630715;1;16,517826477767095;14,260415990223224;;
2;2023-10-29;CZ;2023-W43;14,0;79,10542;15,713072;9,070214;1;11,37922059344946;15,753464771663108;10,459640983036737;
3;2023-11-05;CZ;2023-W44;14,9;77,64357;13,255929;7,3130717;1;15,049314197710244;12,67084794819904;17,33234328620146;9,045342472931743
4;2023-11-12;CZ;2023-W45;17,4;75,69252;10,841643;3,5345;1;9,984460016693864;13,115303706878157;13,199342196503055;17,290073253654086
5;2023-11-19;CZ;2023-W46;12,4;81,31222;10,005929;4,841643;1;18,72229200743988;5,11231839407321;11,522791853738124;15,068022440898297
6;2023-11-26;CZ;2023-W47;22,5;78,818184;5,2630715;0,3559286;1;8,5782626176793;17,588100495026374;0,2608702464924999;9,41907394516718
7;2023-12-03;CZ;2023-W48;27,7;88,49458;-0,45121425;-5,0583572;1;32,167600512882615;10,910523614400436;18,512660048392803;2,787770155481919
8;2023-12-10;CZ;2023-W49;36,7;91,00765;3,0487857;-2,5440712;1;30,11464633464497;37,726421778892615;15,952666290004167;20,40478206608155
9;2023-12-17;CZ;2023-W50;41,7;85,301;7,6273575;2,8559287;1;52,05334651350195;40,49936297959911;49,52021390603505;30,54089281975797
10;2023-12-24;CZ;2023-W51;42,2;77,296555;7,705929;4,341643;1;47,99441124680216;63,520494710698806;49,504731785881134;58,6073397444665
11;2023-12-31;CZ;2023-W52;29,3;77,2977;9,3845005;3,7595;1;26,60425280272444;36,34472614986355;52,5151386473471;37,90603894579571
12;2024-01-07;CZ;2024-W01;40,3;83,660835;4,8773575;0,81307137;1;33,736458925573814;31,337787122019524;42,799451633064734;55,510414475183865
13;2024-01-14;CZ;2024-W02;43,5;71,078926;0,3202143;-5,108357;1;30,173888655842056;23,91675918499753;21,14171870191972;32,46399174568809
14;2024-01-21;CZ;2024-W03;68,4;74,04038;3,7130716;-4,0940714;1;47,36810848381779;26,426923701677;21,00638314277719;18,08405966772845
15;2024-01-28;CZ;2024-W04;108,8;76,18722;8,070214;-0,15835722;1;82,13040475405269;46,40384271215107;24,113214883582817;19,44706353350629
16;2024-02-04;CZ;2024-W05;176,9;82,84702;7,5773573;2,7416427;1;131,22874223629685;86,89349653725986;45,34165060118844;26,87682262822388
17;2024-02-11;CZ;2024-W06;182,7;83,26222;10,477358;4,5344996;1;208,04158456080515;131,181814228432;81,13358342620313;39,86828200433962
18;2024-02-18;CZ;2024-W07;152,2;82,16686;11,370214;3,827357;1;165,54275914544243;208,3369175408093;120,35077684816746;72,43379070501169
19;2024-02-25;CZ;2024-W08;103,4;77,74081;10,077357;3,277357;1;121,1910237325714;143,51823332365538;192,6098956516911;107,10246130109564
20;2024-03-03;CZ;2024-W09;71,4;87,63831;11,463072;2,4773571;1;65,49268921184978;95,39341153926053;120,68621393052813;168,39059833181886
21;2024-03-10;CZ;2024-W10;46,1;79,88826;10,363072;1,977357;1;44,17739229193853;34,148448194105654;68,22212369373818;92,49013514572012
22;2024-03-17;CZ;2024-W11;33,5;75,76823;12,691643;3,541643;1;27,450215025612245;24,181653685916;12,802784321995848;45,62505309993381
23;2024-03-24;CZ;2024-W12;24,9;72,85533;12,570214;1,7702142;1;26,604701686820498;16,534830132017053;12,404776655466671;1,92881332529225
24;2024-03-31;CZ;2024-W13;17,2;60,43842;19,477356;6,0487857;1;17,862571332679547;20,69243500501349;9,370081796702085;5,13098853715082
25;2024-04-07;CZ;2024-W14;17,7;64,664604;21,070215;9,648787;1;12,10514646106528;13,196775039087091;16,379363827503973;5,610929235376137
26;2024-04-14;CZ;2024-W15;14,9;64,68207;20,31307;8,913072;1;20,526026557714783;11,242250593842025;12,4594453859958;15,490317594446475
27;2024-04-21;CZ;2024-W16;14,5;68,66731;9,370214;1,4702142;1;14,588349617915435;23,94733241658519;13,519161087726353;14,654833874608835
28;2024-04-28;CZ;2024-W17;11,2;61,0626;16,377356;3,3987858;1;12,1885132133655;12,339687016142964;22,84743035221461;12,970108823273865
29;2024-05-05;CZ;2024-W18;9,1;61,157635;22,5345;12,155929;1;9,606028090284244;11,24600146165616;11,415670644931026;21,35634735350633
30;2024-05-12;CZ;2024-W19;8,2;71,64243;18,71307;8,391643;1;11,315047886412898;12,149519316957884;13,98652871253267;14,145127875234772
31;2024-05-19;CZ;2024-W20;11,4;61,841805;20,841642;11,277357;1;5,344332535006076;10,47920825425245;11,414490509433328;13,161863087158416
32;2024-05-26;CZ;2024-W21;10,6;76,63405;21,41307;12,420215;1;18,31498272145201;8,312677327686176;14,088899683809569;14,973860549850388
33;2024-06-02;CZ;2024-W22;6,9;81,28878;19,677357;12,398787;0;-1,737778490759187;11,00469398106076;0,0642349306621987;5,517139917302214
34;2024-06-09;CZ;2024-W23;8,4;68,33288;23,213072;13,170215;0;8,1263089120899;-4,545403402980179;9,711068381138682;-0,6865988215789258
35;2024-06-16;CZ;2024-W24;9,1;59,4909;21,577356;11,991643;0;9,70430858211602;9,268263848410411;-4,426378271145157;9,10704019623696
36;2024-06-23;CZ;2024-W25;5,6;63,614628;27,25593;15,491643;0;9,973205369730271;10,976184790814358;10,502539437795852;-2,3593545199408545
37;2024-06-30;CZ;2024-W26;5,8;64,58422;28,948786;17,377356;0;2,726931330250415;9,994390020695748;11,117872927827776;10,68137990143916
38;2024-07-07;CZ;2024-W27;4,3;66,5827;23,0345;13,827357;0;6,639537112721236;1,5356708333298137;9,67175911575842;10,73397062098676
39;2024-07-14;CZ;2024-W28;5,4;71,96072;29,1845;17,755928;0;3,5967005033592567;7,4725828913699965;1,7472061917994628;9,496626989370904
40;2024-07-21;CZ;2024-W29;4,6;53,188457;29,491642;18,355928;0;3,140370216686129;0,1581092076119468;4,492509290623811;-0,9308275831141914
41;2024-07-28;CZ;2024-W30;5,5;55,972927;27,398785;16,505928;0;5,96962463415909;3,5572578856744297;0,2103327799523695;4,317558502924181
42;2024-08-04;CZ;2024-W31;3,9;62,472736;26,827356;15,798785;0;6,492021764489463;7,271705250516222;4,580282066535025;1,3959617600097447
43;2024-08-11;CZ;2024-W32;3,2;63,628536;28,06307;15,620214;0;2,3641081841748246;6,672052577454158;7,545647387353632;5,005367747669769
44;2024-08-18;CZ;2024-W33;3,7;64,30017;30,077358;19,027357;0;2,911488448831868;1,5230023558733643;6,355063513074867;7,1822510152095775
45;2024-08-25;CZ;2024-W34;5,5;64,74662;26,541641;15,041643;0;4,841918288594072;3,5259711227003976;1,9684244746115045;6,555456593822134
46;2024-09-01;CZ;2024-W35;3,4;66,377045;29,455929;16,91307;0;6,009188798626962;4,9145658811486825;3,436722941172059;1,9582933770249653
47;2024-09-08;CZ;2024-W36;6,5;53,638348;30,405928;17,820215;0;0,462764289768808;4,791218705095011;3,5634334607504656;2,1635299254475866
48;2024-09-15;CZ;2024-W37;11,1;77,75919;15,055928;10,720215;0;14,967627924531342;4,95160912114372;9,785020326062488;8,627305411042403
49;2024-09-22;CZ;2024-W38;13,5;75,699905;22,263071;10,863072;0;10,022825137344787;16,389742470010436;5,19057494980219;9,78606169493005
50;2024-09-29;CZ;2024-W39;17,0;73,636665;17,720213;10,013071;0;13,928205787893386;8,249158633144585;15,378614767894677;4,773155137213406
51;2024-10-06;CZ;2024-W40;19,4;83,13026;13,4845;7,2987857;0;21,489386822049653;16,422207456147227;10,071429172821604;16,859558125899273
52;2024-10-13;CZ;2024-W41;20,5;78,95836;16,401167;8,2095;0;17,42598801019159;20,89458826798179;15,248702891741027;9,201737687348858
