;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;EE;2023-W41;165,5;79,180916;10,9728565;6,0942855;1;144,84313289747055;;;
1;2023-10-22;EE;2023-W42;148,1;77,90788;5,43;2,0942857;1;155,413573721878;137,25093132991742;;
2;2023-10-29;EE;2023-W43;186,4;80,34454;2,4228573;-0,9485714;1;151,81807299738776;157,66176136887182;136,6826817606464;
3;2023-11-05;EE;2023-W44;245,5;88,45571;8,208571;3,6800003;1;188,0372461557547;157,30368790438104;161,94121710752682;142,91516193929317
4;2023-11-12;EE;2023-W45;417,2;97,0066;6,6514287;3,7585714;1;253,38875362241265;199,6401186365481;165,90263233476233;166,42487701051294
5;2023-11-19;EE;2023-W46;324,3;85,60587;0,3228571;-2,5271428;1;422,7533205466342;263,8998914597206;201,41431128032585;163,52537012807096
6;2023-11-26;EE;2023-W47;401,5;85,78447;-1,0199999;-7,062857;1;361,2057055229645;455,2218736123804;265,9773262491722;203,2119687413621
7;2023-12-03;EE;2023-W48;501,2;88,26813;-2,4271429;-5,577143;1;389,3936876023509;355,0641313657501;468,830446942034;266,10350259048863
8;2023-12-10;EE;2023-W49;463,7;87,63959;-6,6914287;-10,841429;1;487,4886228364462;383,20559423300216;342,28260580168103;462,6752882637167
9;2023-12-17;EE;2023-W50;516,4;91,60234;0,5228571;-2,7342856;1;482,3428377997868;505,1228584560873;378,4180428246564;337,00137366499104
10;2023-12-24;EE;2023-W51;382,8;91,6759;1,3228571;-1,5699999;1;513,62814116565;481,3857962865029;508,2362079640266;376,2434441460822
11;2023-12-31;EE;2023-W52;266,2;91,28304;-0,62624997;-4,77;1;377,6755514090667;498,70606201200826;460,54436154257;490,8943654356731
12;2024-01-07;EE;2024-W01;238,2;78,73084;-11,055715;-16,612858;1;215,1083165445405;325,4155055161115;468,7064371379946;427,013147151982
13;2024-01-14;EE;2024-W02;261,4;86,31749;-2,8271427;-7,8414283;1;190,19313866062487;177,13441935411157;300,9242633489308;451,7694359858056
14;2024-01-21;EE;2024-W03;216,0;84,07478;-3,8771427;-12,105714;1;237,33955985183735;174,70138520179054;153,98930934463493;284,3674347373938
15;2024-01-28;EE;2024-W04;215,7;91,71452;0,91571426;-1,9271429;1;237,5208457907356;259,13825594728246;179,52279880253434;165,60331869093744
16;2024-02-04;EE;2024-W05;208,8;87,40913;1,4799999;-0,8128571;1;208,47901366915903;227,52572760527363;254,94471207988948;172,4986833450565
17;2024-02-11;EE;2024-W06;213,8;81,30206;-5,977143;-10,798571;1;191,083602056252;191,31487809964975;215,10288448426724;241,62088868143087
18;2024-02-18;EE;2024-W07;222,3;89,466774;1,637143;-3,3700001;1;217,6581117427613;197,0947958698493;197,5448870447268;223,009300324714
19;2024-02-25;EE;2024-W08;234,3;85,78707;4,3228574;-0,50571436;1;217,68432113516008;213,61175755269824;190,10293402333093;190,2516870817081
20;2024-03-03;EE;2024-W09;217,4;91,62284;4,794286;-1,162857;1;239,6325433576092;223,78735115112963;217,6666215676186;193,3643956699273
21;2024-03-10;EE;2024-W10;192,1;82,40016;2,0442858;-4,5271425;1;217,6383211159093;239,19896526575428;220,34858374537652;213,01096508530543
22;2024-03-17;EE;2024-W11;192,7;81,751465;5,544286;0,3371428;1;200,1877857038608;219,122015770603;245,55609483485404;225,7938917467401
23;2024-03-24;EE;2024-W12;197,8;86,874016;4,122857;-0,47714287;1;193,54776158261168;199,0236503712844;224,25502065028604;252,54543554734465
24;2024-03-31;EE;2024-W13;180,5;81,88288;11,63;1,9371427;1;187,4503873927635;182,0785205516856;182,4637246920844;216,14046099697413
25;2024-04-07;EE;2024-W14;208,0;83,10323;5,144286;-1,0057142;1;190,20154646968572;195,11676486292495;191,5746259912985;193,7059575310554
26;2024-04-14;EE;2024-W15;207,1;82,191956;12,208571;5,001428;1;200,97966618846544;182,99622816757685;190,6195695411801;185,31496901989527
27;2024-04-21;EE;2024-W16;182,9;78,1828;3,4014285;-1,2342857;1;203,3932273352232;198,28420703320737;177,19967492262413;183,816283412686
28;2024-04-28;EE;2024-W17;161,8;82,30516;9,872857;1,1514285;1;170,42462608847228;191,20735107167576;183,3730143313594;162,22255840709155
29;2024-05-05;EE;2024-W18;133,3;66,036285;13,958571;4,265714;1;144,44447573104304;151,22175458439258;175,9115233539643;169,347278685298
30;2024-05-12;EE;2024-W19;140,6;62,842793;10,58;3,4657142;1;130,0200918890971;141,3091568843439;149,29664364320314;173,54725367452437
31;2024-05-19;EE;2024-W20;177,2;63,01598;20,137142;8,522857;1;132,06602632119316;120,39750506346272;133,70747128171698;143,7043450412964
32;2024-06-02;EE;2024-W22;132,2;69,980095;25,115713;14,88;0;161,67314178321698;119,0710298666996;105,83453914640792;118,86980599234444
33;2024-06-09;EE;2024-W23;101,1;74,83732;18,644285;10,63;0;135,41692769743673;161,87243631028082;111,446508652707;99,23943777163636
34;2024-06-16;EE;2024-W24;110,7;74,73027;18,787142;10,365714;0;93,68020694509303;125,77021601872256;156,79256765947275;104,94895026029909
35;2024-07-14;EE;2024-W28;95,0;75,494026;23,215714;14,808571;0;95,5092412731413;77,29251601985975;116,22659839646154;146,57467716376513
36;2024-07-21;EE;2024-W29;89,8;78,73136;23,301428;15,872857;0;97,36454621337926;97,48705589508116;77,10183439717188;116,72838941050998
37;2024-07-28;EE;2024-W30;83,0;82,58109;23,45143;16,751429;0;87,2407146864021;94,78300478714536;95,17006111324233;73,63061433268507
38;2024-08-04;EE;2024-W31;101,4;81,85289;20,529999;15,28;0;74,49744938667601;78,79334054679737;87,87029344790429;88,24985505496213
39;2024-08-11;EE;2024-W32;113,1;82,16266;20,644285;14,008571;0;86,78129294019993;60,03228521435794;68,26310141453872;77,99583655086532
40;2024-09-01;EE;2024-W35;165,2;78,80333;21,929998;13,03;0;115,2806995257953;87,98413196781223;57,65715009732225;65,89119818703712
41;2024-09-08;EE;2024-W36;153,3;79,34089;24,101427;13,687142;0;163,65713459804024;118,04780642483205;84,17490038371574;52,83701665096717
42;2024-09-15;EE;2024-W37;213,9;80,93239;20,179998;14,7371435;0;164,83980616190246;175,36818204062766;117,6545898263648;87,20355393039922
43;2024-09-22;EE;2024-W38;214,9;83,71159;17,372858;10,28;0;207,6795472157829;162,2445184142752;173,67985256212108;116,9378285078826
44;2024-09-29;EE;2024-W39;293,1;82,504845;15,651428;10,451429;0;218,1418841863601;211,6607353225379;157,93027206229792;170,38808273518018
