;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;EE;2023-W41;198,3;79,180916;10,9728565;6,0942855;1;179,53031534412145;;;
1;2023-10-22;EE;2023-W42;145,1;77,90788;5,43;2,0942857;1;182,1626936597625;166,17404106242492;;
2;2023-10-29;EE;2023-W43;194,8;80,34454;2,4228573;-0,9485714;1;151,41148341948738;183,48477485442424;167,7939782033171;
3;2023-11-05;EE;2023-W44;220,6;88,45571;8,208571;3,6800003;1;187,53843637946295;150,30080508691992;180,7823132688092;166,03354402671144
4;2023-11-12;EE;2023-W45;295,3;97,0066;6,6514287;3,7585714;1;218,09249997248835;189,1375802743125;153,12745419998765;181,75623479216367
5;2023-11-19;EE;2023-W46;309,0;85,60587;0,3228571;-2,5271428;1;271,28248345014083;204,82715913617184;177,07319785241646;142,77788296498153
6;2023-11-26;EE;2023-W47;300,4;85,78447;-1,0199999;-7,062857;1;295,1116334585678;261,93244664032164;198,23367260611585;171,96141280468728
7;2023-12-03;EE;2023-W48;345,1;88,26813;-2,4271429;-5,577143;1;293,52717965729227;290,0417664018022;257,3469801249973;197,23642894484635
8;2023-12-10;EE;2023-W49;339,9;87,63959;-6,6914287;-10,841429;1;338,380717045579;291,7660185473061;288,74740970532883;257,0990912609334
9;2023-12-17;EE;2023-W50;395,7;91,60234;0,5228571;-2,7342856;1;340,8056699613427;339,4256848198608;293,9424892682519;290,9488874719645
10;2023-12-24;EE;2023-W51;325,3;91,6759;1,3228571;-1,5699999;1;400,9632563170432;348,6770311095338;347,2780890333755;302,9911835960694
11;2023-12-31;EE;2023-W52;306,4;91,28304;-0,62624997;-4,77;1;327,7073603660195;397,6149900954672;345,1540310590284;343,8014279462452
12;2024-01-07;EE;2024-W01;352,8;78,73084;-11,055715;-16,612858;1;279,0491843733156;299,3842273411608;367,66250027653575;316,8616196788157
13;2024-01-14;EE;2024-W02;312,4;86,31749;-2,8271427;-7,8414283;1;334,6239127728773;272,3438591208086;291,2731274129287;357,02313842178245
14;2024-01-21;EE;2024-W03;295,3;84,07478;-3,8771427;-12,105714;1;299,7775767824384;318,73176362163434;257,13857967541514;274,1542223548083
15;2024-01-28;EE;2024-W04;288,4;91,71452;0,91571426;-1,9271429;1;288,9362317959911;292,1130899876304;312,30187849665697;254,95362297708803
16;2024-02-04;EE;2024-W05;318,4;87,40913;1,4799999;-0,8128571;1;274,0972892116798;275,10497327359815;275,3946790412584;295,9848404016138
17;2024-02-11;EE;2024-W06;293,6;81,30206;-5,977143;-10,798571;1;300,3422164481831;261,72481741482056;265,18299088147194;262,6281954565573
18;2024-02-18;EE;2024-W07;289,3;89,466774;1,637143;-3,3700001;1;280,39491372488726;288,8494274536829;251,49324180230724;255,08541759850112
19;2024-02-25;EE;2024-W08;302,1;85,78707;4,3228574;-0,50571436;1;246,62412243179196;234,4510129672313;247,2895617878764;211,6366561419636
20;2024-03-03;EE;2024-W09;271,2;91,62284;4,794286;-1,162857;1;309,5657383493085;273,321242707048;262,1710888145159;273,8876574489896
21;2024-03-10;EE;2024-W10;231,8;82,40016;2,0442858;-4,5271425;1;262,9390368382103;295,66831654189394;264,3129678109462;251,5046702816959
22;2024-03-17;EE;2024-W11;178,5;81,751465;5,544286;0,3371428;1;227,3878733497193;252,44242070498728;285,3405439488737;255,11003529605333
23;2024-03-24;EE;2024-W12;218,0;86,874016;4,122857;-0,47714287;1;180,55651414168383;222,62132640170597;247,2433645026776;277,6406790821432
24;2024-03-31;EE;2024-W13;212,0;81,88288;11,63;1,9371427;1;206,01547324227852;173,67166168224367;216,10083559758044;241,76313185487516
25;2024-04-07;EE;2024-W14;219,7;83,10323;5,144286;-1,0057142;1;207,01043307335996;202,5721042911977;169,63892170606397;209,2650704822984
26;2024-04-14;EE;2024-W15;206,9;82,191956;12,208571;5,001428;1;212,9176725369497;203,64283221238972;199,599673903439;166,30499043542903
27;2024-04-21;EE;2024-W16;212,0;78,1828;3,4014285;-1,2342857;1;199,323559744112;202,8324498659802;196,40775294278396;192,802027707947
28;2024-04-28;EE;2024-W17;214,6;82,30516;9,872857;1,1514285;1;207,60556126718487;194,8792081003828;198,9256685717899;193,01674370412263
29;2024-05-05;EE;2024-W18;210,3;66,036285;13,958571;4,265714;1;199,05377223450336;193,3220258642471;181,67003146489597;183,7277530302065
30;2024-05-12;EE;2024-W19;169,1;62,842793;10,58;3,4657142;1;199,62336186612367;189,73209890364055;182,6879599370633;172,92490401401488
31;2024-05-19;EE;2024-W20;148,5;63,01598;20,137142;8,522857;1;168,92666622359482;196,63649524608115;185,264156075232;181,499397767116
32;2024-06-02;EE;2024-W22;117,6;69,980095;25,115713;14,88;0;80,8624376309438;134,75037251422506;115,74129040282644;152,16915512096813
33;2024-06-09;EE;2024-W23;136,5;74,83732;18,644285;10,63;0;111,7703519539916;78,68126274751623;130,87932410910415;112,03452792900228
34;2024-06-16;EE;2024-W24;141,6;74,73027;18,787142;10,365714;0;131,35548295246318;108,26207981896832;77,0507844411789;126,83674268151604
35;2024-07-14;EE;2024-W28;102,1;75,494026;23,215714;14,808571;0;138,7028338045909;132,64830415422776;110,7307220279316;81,36258578018655
36;2024-07-21;EE;2024-W29;85,0;78,73136;23,301428;15,872857;0;101,25698311849465;130,98393966104524;127,73857710081496;105,66160031257506
37;2024-07-28;EE;2024-W30;88,4;82,58109;23,45143;16,751429;0;85,20116247683478;98,6109365794194;126,7564721227375;125,48441222668524
38;2024-08-04;EE;2024-W31;94,4;81,85289;20,529999;15,28;0;84,39050189041123;82,07033108016677;93,77709355043665;119,39583847199664
39;2024-08-11;EE;2024-W32;98,7;82,16266;20,644285;14,008571;0;89,80418238237343;82,79602895748161;80,56322679595544;90,57166960799726
40;2024-09-01;EE;2024-W35;113,3;78,80333;21,929998;13,03;0;91,0351465021365;83,21881061027068;79,16199106877741;76,4460920682146
41;2024-09-08;EE;2024-W36;157,9;79,34089;24,101427;13,687142;0;108,70965840293884;86,89919989682352;78,64431221558553;76,56933069028743
42;2024-09-15;EE;2024-W37;214,6;80,93239;20,179998;14,7371435;0;146,94091007182925;102,79242607652483;86,22617616386479;78,0813055506995
43;2024-09-22;EE;2024-W38;230,0;83,71159;17,372858;10,28;0;203,5339785179193;145,07199136811403;102,68813743005131;83,17792854577891
44;2024-09-29;EE;2024-W39;236,0;82,504845;15,651428;10,451429;0;216,73969933317176;197,55980812787908;139,91846943761723;98,72153547184487
