;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;ES;2023-W41;397,7;57,78329;23,940716;12,426429;1;488,7737254010776;;;
1;2023-10-22;ES;2023-W42;457,5;77,82338;18,047857;10,733572;1;285,7677879822161;416,4699154896389;;
2;2023-10-29;ES;2023-W43;472,2;83,76123;15,840714;10,683572;1;391,4156171752461;146,5544814637804;316,7448494305484;
3;2023-11-05;ES;2023-W44;434,4;81,48737;13,762144;6,912143;1;510,7068398383575;393,9592218274069;70,44001539120849;260,2723066631001
4;2023-11-12;ES;2023-W45;558,1;81,47418;15,383571;8,226428;1;497,7744532559812;606,0940020419155;453,3006211324421;88,56684837677042
5;2023-11-19;ES;2023-W46;572,0;89,25027;16,662144;7,819286;1;654,6565208757049;568,548514556234;709,6399930821061;539,2400248489595
6;2023-11-26;ES;2023-W47;614,4;72,05292;14,140715;3,097857;1;552,7908681979702;669,196905364208;558,0153079261339;717,0175773771557
7;2023-12-03;ES;2023-W48;680,7;84,35616;12,226428;6,105;1;624,0731965810058;537,868418338348;692,3164246558609;566,1479179589794
8;2023-12-10;ES;2023-W49;544,0;84,8806;10,962143;4,862143;1;677,2323203614358;597,9482669875973;484,0803341874053;658,0391706538037
9;2023-12-17;ES;2023-W50;809,7;80,4218;11,526428;2,3121428;1;476,0071468753197;667,8030101621221;565,4246355764524;436,7699757284892
10;2023-12-24;ES;2023-W51;915,4;78,934166;11,390715;-0,68785715;1;885,005612585722;413,6294862504426;667,7634587868818;553,5221955693038
11;2023-12-31;ES;2023-W52;958,4;85,04334;8,9925;0,9175;1;1051,6751836568476;1009,4242956530568;401,45411397485145;686,4083561812349
12;2024-01-07;ES;2024-W01;916,1;83,50319;9,069285;3,0692859;1;1011,4814178732096;1144,578661677679;1088,6978564866304;408,085052322524
13;2024-01-14;ES;2024-W02;941,8;83,01397;9,1050005;2,0407145;1;868,7192565088462;1000,2861033244476;1171,0274286413992;1107,3195795223842
14;2024-01-21;ES;2024-W03;727,7;85,92663;11,905001;5,2335715;1;873,7312538918594;770,3010580839193;942,8296395248962;1133,858734684177
15;2024-01-28;ES;2024-W04;603,7;82,70973;15,947858;3,7335715;1;627,1826944690748;832,9276774891111;695,0780602074196;886,6749876617292
16;2024-02-04;ES;2024-W05;564,0;78,53441;14,626429;2,462143;1;514,9578859507801;547,0637204690777;814,2686679849921;661,5842019455043
17;2024-02-11;ES;2024-W06;573,4;81,8788;12,219286;4,640714;1;560,7802164320652;489,71842126678825;530,7404692610118;828,7105204103752
