;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;FR;2023-W41;88,9;68,45549;20,63857;11,102858;1;87,74035397142713;;;
1;2023-10-22;FR;2023-W42;86,6;80,53648;16,874287;10,181429;1;82,4641771537176;80,46565385132483;;
2;2023-10-29;FR;2023-W43;68,5;85,74671;15,217143;10,774285;1;80,70396678460264;73,60467961142487;71,17498333408021;
3;2023-11-05;FR;2023-W44;76,1;81,78468;13,495714;8,51;1;47,03364488079176;67,91224067508972;59,33078478444955;57,00781772716723
4;2023-11-12;FR;2023-W45;109,7;84,71136;13,074286;7,3671427;1;85,6915332690752;35,945247529837694;61,06060955496625;52,91066305283874
5;2023-11-19;FR;2023-W46;127,8;87,25402;13,017143;8,938571;1;134,0381262134222;92,9171152887073;33,06524237601236;56,6450195373279
6;2023-11-26;FR;2023-W47;169,1;83,451004;10,095714;4,217143;1;122,39704420243623;133,00158280165118;83,4900149610347;27,176721619165583
7;2023-12-03;FR;2023-W48;189,3;84,056046;6,088572;-0,14;1;187,65841277818632;107,67768287039064;120,34220559526928;73,69177043198079
8;2023-12-10;FR;2023-W49;224,8;88,07415;10,467143;5,4742856;1;195,35027439923016;192,54739105373332;96,6031227494563;108,44217869713516
9;2023-12-17;FR;2023-W50;225,5;89,699905;8,86;4,345714;1;226,48000635475628;176,27913385235246;172,86222867595865;82,46995798655657
10;2023-12-24;FR;2023-W51;226,7;84,79729;11,238571;7,86;1;205,43915520793644;207,08109335404052;146,39464747874388;143,12268009515833
11;2023-12-31;FR;2023-W52;175,9;81,97293;11,60375;7,75375;1;209,04358199228432;172,54012184271315;174,44300142080783;116,990646636907
12;2024-01-07;FR;2024-W01;183,4;84,34603;7,96;4,267143;1;127,99701374466288;184,75965824455616;140,6100450795049;142,2951705303245
13;2024-01-14;FR;2024-W02;196,6;77,87565;1,4099998;-2,8257143;1;172,6482868242601;78,09881982707697;146,60451617399923;104,68523085112074
14;2024-01-21;FR;2024-W03;248,3;83,82638;5,845714;-1,6685715;1;211,41104223740533;170,82573305626693;56,7797948447089;121,57644249954484
15;2024-01-28;FR;2024-W04;323,8;85,288734;11,624286;4,4885716;1;265,3635547061672;202,3348015682048;153,59832667658975;45,85173801853111
16;2024-02-04;FR;2024-W05;328,5;86,994385;10,824286;5,824286;1;353,68132615260765;253,11014616830744;177,29102742905073;131,27436122726445
17;2024-02-11;FR;2024-W06;288,7;85,913246;11,902857;7,6814284;1;297,92580096592104;341,135459683826;218,82617058687788;147,10131230812405
18;2024-02-18;FR;2024-W07;209,7;84,342354;13,395715;7,002857;1;227,1287441237397;242,81601594549107;295,15961035843884;178,51749463001232
19;2024-02-25;FR;2024-W08;158,8;85,46061;10,338572;4,9028573;1;143,09763665197784;172,96000706807962;191,843749624179;241,80745344092315
20;2024-03-03;FR;2024-W09;108,0;86,849915;10,110001;3,6100001;1;122,27801559527236;95,31733015200338;131,44762396992567;149,32627266046757
21;2024-03-10;FR;2024-W10;91,3;81,392876;11,667144;3,7885716;1;70,93305796038572;95,40805592448557;62,74821962999022;97,025983726313
22;2024-03-17;FR;2024-W11;76,4;84,51173;15,124285;8,717143;1;87,88382257780688;53,12734264466574;82,73395637468249;51,67302434134868
23;2024-03-24;FR;2024-W12;61,7;80,069336;15,317143;5,4528575;1;60,21601929883262;79,75382209185034;37,80825717775611;65,9388633290445
24;2024-03-31;FR;2024-W13;53,3;78,73176;12,845714;6,2885714;1;52,54255996129556;50,05596212777742;73,66218691374263;34,064747654935445
25;2024-04-07;FR;2024-W14;48,3;77,09933;18,367144;10,809999;1;49,79375338901617;48,51885638968624;45,54960612453605;67,90253238345585
26;2024-04-14;FR;2024-W15;46,0;75,95391;17,988571;8,531428;1;43,3670588696872;45,91467416042371;44,41121527238137;41,6458973211074
27;2024-04-21;FR;2024-W16;52,4;72,94845;11,531428;4,2242856;1;42,77674663655458;38,294831233774175;41,35575201039794;39,9865719274018
28;2024-08-04;FR;2024-W31;39,5;74,893135;27,974287;17,802856;0;77,75421429739177;61,066134525530536;55,56131603805695;58,50163162392869
29;2024-08-11;FR;2024-W32;35,2;65,8557;28,38857;17,117144;0;9,934705883560705;74,28523995082756;54,31665679535593;49,13011318427647
30;2024-08-18;FR;2024-W33;31,3;73,263;24,502857;16,63857;0;44,82658801923809;1,4612542440005143;78,48158467823245;59,64094329419395
31;2024-08-25;FR;2024-W34;40,6;70,779724;24,017141;13,445715;0;27,3864641310614;50,47297914755082;-1,430931321044909;71,74947085190783
32;2024-09-01;FR;2024-W35;41,6;74,57296;25,945713;15,402858;0;52,517935888425065;29,919952885532496;57,60402652637863;9,07606518282617
33;2024-09-08;FR;2024-W36;51,1;80,68742;21,13143;14,152857;0;46,29028825032974;65,25250856247521;37,477484130280445;64,09610860305649
34;2024-09-15;FR;2024-W37;85,8;76,16131;17,231428;8,581429;0;48,382577744565125;40,25521730402243;63,37670820310915;36,16008515372286
35;2024-09-22;FR;2024-W38;139,4;77,226746;21,931429;13,445715;0;116,75045715956276;53,36865444172587;43,46098755254093;65,98383735989088
36;2024-09-29;FR;2024-W39;139,2;82,62749;16,667143;10,567143;0;173,5792756181188;135,72780910987032;58,66437516456793;49,344769306133614
37;2024-10-06;FR;2024-W40;129,0;80,48336;16,367144;9,238571;0;118,048172303315;176,16031792894282;130,0588773343342;57,41449337760714
38;2024-10-13;FR;2024-W41;128,6;85,185036;16,035;9,626667;0;114,30424531128948;95,96917929639729;165,91922438114693;122,08620182769502
