;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;HU;2023-W41;1964,7;76,96898;20,033998;9,948286;1;1890,238744733596;;;
1;2023-10-29;HU;2023-W43;1746,9;82,33836;18,74114;10,7982855;1;2150,752036955556;2036,2871336466728;;
2;2023-11-05;HU;2023-W44;1295,8;77,56312;15,855428;7,6268573;1;1764,209911408548;2419,76288875819;2284,353404173688;
3;2023-11-12;HU;2023-W45;1678,4;81,950424;10,7982855;4,0625715;1;1050,7825034582415;1857,269772177358;2634,5214298120354;2453,4906353857286
4;2023-11-19;HU;2023-W46;1971,4;80,22887;10,655428;4,098286;1;1966,3001576108304;962,3959812117891;1903,260451454285;2922,234052438606
5;2023-11-26;HU;2023-W47;2337,6;80,83712;6,7482862;-0,30885717;1;1766,2145008581365;1759,4038965630211;599,8088285997381;1824,3801899114424
6;2023-12-03;HU;2023-W48;2577,5;86,13961;2,8554287;-2,116;1;2752,814094076501;1837,2793442727695;1829,8148293589152;308,1153398115581
7;2023-12-10;HU;2023-W49;2710,3;91,66205;1,6911428;-2,066;1;2834,54273997854;3120,652207678856;2052,334695190224;2041,611735873338
8;2023-12-17;HU;2023-W50;3050,9;90,61055;7,091143;-0,34457144;1;2988,013889951382;3192,0096176337206;3536,970968702112;2173,2822342245463
9;2023-12-24;HU;2023-W51;2516,7;87,08958;6,505429;0,59828573;1;3406,245192209443;3306,902456991409;3553,9261368074644;4008,370338314069
10;2024-01-07;HU;2024-W01;1573,1;83,96607;8,162572;1,734;1;2280,564172168044;3687,809676253096;3564,3616403811075;3887,068443822296
11;2024-01-14;HU;2024-W02;1821,1;67,43638;2,784;-5,294571;1;992,786704206606;2197,2177468808045;3925,5819724863;3766,6703205216977
12;2024-01-21;HU;2024-W03;2035,7;77,32908;3,884;-3,8802855;1;1768,3172360899446;510,2836086834383;1946,441603138372;4193,137857423852
13;2024-01-28;HU;2024-W04;2408,5;76,349236;7,541143;-0,2588571;1;1670,6724831721408;1264,0235837843618;-102,06659911964904;1745,4602126613374
14;2024-02-04;HU;2024-W05;2796,8;79,04698;9,276857;1,6054286;1;2722,935519133003;1538,1613274563854;1079,590417678698;-707,9425465168903
15;2024-02-11;HU;2024-W06;3026,1;72,002396;14,026857;5,976857;1;3198,3800263256157;3077,3774814719204;1649,812944397242;1029,201102002106
16;2024-02-18;HU;2024-W07;2984,0;79,44901;10,898286;1,3054286;1;3185,73749090448;3441,594621848861;3291,073799017613;1480,133349717165
17;2024-02-25;HU;2024-W08;2952,0;79,53747;13,033999;5,534;1;3215,270848199009;3516,50955178745;3836,250468830057;3641,415067223293
18;2024-03-03;HU;2024-W09;2600,4;86,041855;14,619714;5,3268576;1;2939,207253309193;3351,750396710354;3738,5222088850905;4144,4806886346905
19;2024-03-10;HU;2024-W10;2402,8;80,56563;12,462571;4,634;1;2438,899797168197;2978,476547182237;3498,050911297993;3989,435248803125
20;2024-03-17;HU;2024-W11;2027,8;75,49358;13,176857;4,7197146;1;2263,3795534144865;2323,352078851511;2985,037249584167;3660,456281858637
21;2024-03-24;HU;2024-W12;2145,7;67,86357;13,719714;2,784;1;1651,3181630394386;2052,3480907549747;2125,785108216961;2987,8674496261665
22;2024-03-31;HU;2024-W13;1666,7;63,163612;20,11257;8,141143;1;2241,2590024856822;1412,7924534537938;1911,092586298556;2006,3535989010625
23;2024-04-07;HU;2024-W14;1247,4;67,15984;20,71257;9,376857;1;1172,0863592464846;2088,356259420308;1069,5593350139527;1709,7467670606263
24;2024-04-14;HU;2024-W15;1332,3;63,546978;23,934;10,926857;1;1041,3724747212375;921,4810244792028;2056,84333433722;737,4305007158982
25;2024-04-21;HU;2024-W16;1370,4;69,27608;12,905429;3,941143;1;1134,2073121371225;678,0968377187811;522,1194609231297;1937,997161161956
26;2024-04-28;HU;2024-W17;1472,8;73,01762;17,091143;5,319714;1;1194,5090679282462;853,2568201844206;291,5938195041362;89,23508513198578
27;2024-05-05;HU;2024-W18;1264,6;65,05684;23,076857;11,891143;1;1646,9463592022478;1194,5840284438088;798,9959781548042;54,20605655724262
28;2024-05-12;HU;2024-W19;1227,2;62,4529;21,434;11,848287;1;1137,80845674318;1760,0686969412582;1204,3610981983147;682,1328493567079
29;2024-05-19;HU;2024-W20;1183,9;63,22109;22,30543;10,826858;1;1233,9080446923206;1086,6223308031367;1848,2605939041089;1117,0434181800993
30;2024-10-06;HU;2024-W40;2353,2;83,68218;14,541143;8,426857;0;1012,2519850817016;1091,6031720429842;907,3889080282428;1882,7804301205188
31;2024-10-13;HU;2024-W41;2191,8;79,25637;19,500666;10,467334;0;2282,523687210793;937,1447984188128;1037,9978743774209;797,242138709637
