;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;HU;2023-W41;139,8;76,96898;20,033998;9,948286;1;187,9900586756473;;;
1;2023-10-22;HU;2023-W42;153,0;74,76332;18,905428;9,076857;1;139,65643869128291;232,7942389067798;;
2;2023-10-29;HU;2023-W43;140,2;82,33836;18,74114;10,7982855;1;141,956141344884;132,7473560960112;251,0662490538714;
3;2023-11-05;HU;2023-W44;110,8;77,56312;15,855428;7,6268573;1;120,79019061192938;128,80734384283477;121,1787332986037;255,20213368913065
4;2023-11-12;HU;2023-W45;160,2;81,950424;10,7982855;4,0625715;1;94,61621328650708;108,91221517721752;117,91138343931888;115,96813829402664
5;2023-11-19;HU;2023-W46;195,3;80,22887;10,655428;4,098286;1;184,90759635701775;73,01362222733107;91,14368959763104;94,186225799449
6;2023-11-26;HU;2023-W47;237,7;80,83712;6,7482862;-0,30885717;1;219,87841449870444;205,0122476017553;72,93051292396231;86,17940819769461
7;2023-12-03;HU;2023-W48;298,6;86,13961;2,8554287;-2,116;1;256,9965294682476;217,2473220940456;198,7494584546725;75,21757357082843
8;2023-12-10;HU;2023-W49;320,9;91,66205;1,6911428;-2,066;1;320,8686806226911;264,54376060585327;198,0834330519122;179,4349816013029
9;2023-12-17;HU;2023-W50;414,6;90,61055;7,091143;-0,34457144;1;311,794988126318;311,67161944097813;261,05156928435287;169,7155123395816
10;2023-12-24;HU;2023-W51;347,7;87,08958;6,505429;0,59828573;1;440,880183669258;270,14628360009664;269,8219190561201;256,99835698666266
11;2024-01-07;HU;2024-W01;221,7;83,96607;8,162572;1,734;1;290,39095388098394;427,4282208063181;221,20477471748396;220,7165035517616
12;2024-01-14;HU;2024-W02;256,4;67,43638;2,784;-5,294571;1;107,27479262395912;232,7016679781508;375,07663515429925;171,53134586985158
13;2024-01-21;HU;2024-W03;296,0;77,32908;3,884;-3,8802855;1;287,85758971754404;37,92678627743254;210,52621364340231;312,3531342259107
14;2024-01-28;HU;2024-W04;381,0;76,349236;7,541143;-0,2588571;1;307,7247863874802;299,6193851704141;-1,8256737871588555;195,3418079448961
15;2024-02-04;HU;2024-W05;488,8;79,04698;9,276857;1,6054286;1;429,4432209823922;287,3376495920382;279,2685119694046;-17,290029755467955
16;2024-02-11;HU;2024-W06;610,6;72,002396;14,026857;5,976857;1;515,7365423659146;443,4407492133152;236,92975634419105;229,11750213388592
17;2024-02-18;HU;2024-W07;620,2;79,44901;10,898286;1,3054286;1;670,4795064791335;513,5175543928353;442,0146288618882;203,17890931755304
18;2024-02-25;HU;2024-W08;579,6;79,53747;13,033999;5,534;1;549,5851303857606;634,3116326865388;438,5717020890121;416,5635838071919
19;2024-03-03;HU;2024-W09;459,8;86,041855;14,619714;5,3268576;1;501,3919288235157;454,2221883374595;558,7525475840289;365,6432009145441
20;2024-03-10;HU;2024-W10;385,5;80,56563;12,462571;4,634;1;324,6284916785386;403,11304931245866;345,1910105303808;448,6989437289504
21;2024-03-17;HU;2024-W11;272,2;75,49358;13,176857;4,7197146;1;310,8288324258132;199,98696591894716;309,86842291197456;251,86494553316345
22;2024-03-24;HU;2024-W12;240,9;67,86357;13,719714;2,784;1;197,5780755745706;253,6774852263118;103,9288169201508;225,4280180258986
23;2024-03-31;HU;2024-W13;167,3;63,163612;20,11257;8,141143;1;212,2593233752111;110,82036460351564;193,08219185743343;29,07556329619903
24;2024-04-07;HU;2024-W14;111,9;67,15984;20,71257;9,376857;1;127,16539356623572;204,55813656163645;67,7993900089663;150,45515272070932
25;2024-04-14;HU;2024-W15;101,5;63,546978;23,934;10,926857;1;62,98859534152799;88,34735231795301;189,379278425863;41,73632075364307
26;2024-04-21;HU;2024-W16;95,1;69,27608;12,905429;3,941143;1;107,1935016521285;43,88199299689321;76,81720859772221;188,80178229596245
27;2024-04-28;HU;2024-W17;87,0;73,01762;17,091143;5,319714;1;76,31295482733545;116,6100418420997;38,47122709605259;69,42034025786629
28;2024-05-05;HU;2024-W18;67,2;65,05684;23,076857;11,891143;1;58,606583668488526;63,097695863465056;99,27507772352864;22,48248149791742
29;2024-05-12;HU;2024-W19;66,3;62,4529;21,434;11,848287;1;58,70246226253443;46,3540379727736;55,908424947989445;89,59758910302006
30;2024-05-19;HU;2024-W20;49,8;63,22109;22,30543;10,826858;1;78,58805359867688;55,12967769669331;47,2688176241225;43,57160473813384
31;2024-10-06;HU;2024-W40;192,5;83,68218;14,541143;8,426857;0;38,18982087132093;87,79277830475662;51,269135677773775;51,85861233923892
32;2024-10-13;HU;2024-W41;213,2;79,25637;19,500666;10,467334;0;276,0610619128545;26,53014999304173;90,17828745481566;46,8196142894382
