;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;IE;2023-W41;8,6;80,08982;15,282357;8,4895;1;12,056988976870612;;;
1;2023-10-22;IE;2023-W42;6,2;84,440056;13,5395;8,546643;1;11,304372667571537;14,456964233629588;;
2;2023-10-29;IE;2023-W43;7,3;87,82769;13,896644;6,9323573;1;9,08670727393452;13,597076805105656;15,391570806382685;
3;2023-11-05;IE;2023-W44;8,2;88,832436;11,482358;5,4894996;1;10,93033261666333;12,613302059271817;15,198054568714934;16,699612419647643
4;2023-11-12;IE;2023-W45;9,2;84,57166;10,532357;5,796643;1;9,197958512768423;11,65549756271832;12,6714091414405;14,776357612726056
5;2023-11-19;IE;2023-W46;10,8;85,22975;12,075215;7,6109285;1;13,602432047071154;13,601700024554717;15,089576839049723;15,943174881497695
6;2023-11-26;IE;2023-W47;8,7;85,678764;10,382357;5,832357;1;13,900216882115014;16,35220298273994;16,35141050877236;17,579524406750743
7;2023-12-03;IE;2023-W48;7,5;89,48159;5,3395004;0,075214274;1;14,818850021181326;19,4605287711284;20,81683416267654;20,84714693752001
8;2023-12-10;IE;2023-W49;15,9;84,33854;9,510928;4,982357;1;11,095075117492348;17,603236297942527;20,208479523129984;21,301865452055388
9;2023-12-17;IE;2023-W50;15,0;89,48199;10,475214;6,703786;1;21,028320883984;16,732223211893626;20,597721627913597;22,635583318870367
10;2023-12-24;IE;2023-W51;22,5;85,893105;11,732358;8,560929;1;21,83414960729305;27,20332733356756;24,612838827802346;27,71358985004924
11;2023-12-31;IE;2023-W52;14,9;83,49854;8,89575;4,84575;1;37,658907671470814;36,98710773085073;40,10902559018525;38,00833373010455
12;2024-01-07;IE;2024-W01;28,0;91,016075;7,6109285;3,4895;1;23,068409977090617;42,94235039468361;42,65927038711919;45,279448807544725
13;2024-01-14;IE;2024-W02;31,7;81,483604;5,646643;2,3323572;1;43,48414272975685;38,86932548082427;51,160356967678965;50,97635883707983
14;2024-01-21;IE;2024-W03;28,8;84,57874;5,568072;0,21807139;1;15,979286902946074;26,20957876999755;23,462267572676826;33,03292306644357
15;2024-01-28;IE;2024-W04;29,4;80,16474;11,1037855;6,1823573;1;23,6020232538618;12,438897882715626;18,517540930243737;16,164465939230844
16;2024-02-04;IE;2024-W05;23,1;85,76009;10,5395;5,3037863;1;26,239710751666863;21,070758926678064;14,085874177898384;19,11690147619047
17;2024-02-11;IE;2024-W06;17,1;87,93415;8,8537855;3,5252144;1;22,55621306186608;25,26560997605474;22,19391051862538;16,497713245763894
18;2024-02-18;IE;2024-W07;13,1;88,59361;11,896644;7,268071;1;15,392310141243106;20,21171479884137;21,924519654813096;19,35025969913656
19;2024-02-25;IE;2024-W08;14,6;82,4386;10,075215;4,525214;1;13,425568494156572;15,395536793084004;18,35054850844037;19,710369430992888
20;2024-03-03;IE;2024-W09;10,1;82,90637;8,796643;2,4752142;1;15,806828486076885;14,799844615865004;15,967401409392735;18,302756283759457
21;2024-03-10;IE;2024-W10;12,3;81,82176;9,318071;4,5966425;1;9,769785049800042;14,8284911984541;14,23296183706827;15,14742150402192
22;2024-03-17;IE;2024-W11;8,4;84,91968;12,696643;6,7323575;1;14,534656422466666;12,270408101580694;15,293242370021373;14,829898011747146
23;2024-03-24;IE;2024-W12;5,9;77,51524;11,575215;5,8895;1;14,397461853437283;19,809779177207243;18,3870120989141;20,77726054951441
24;2024-03-31;IE;2024-W13;6,0;80,35687;10,803786;4,746643;1;13,451659971589812;21,021422677329607;24,240952616904973;23,080740744212957
25;2024-04-07;IE;2024-W14;6,0;80,80603;13,003786;6,9252143;1;2,714356583644488;9,351774905889998;13,614206935473373;16,253621157343478
26;2024-04-14;IE;2024-W15;4,5;80,63761;13,660929;7,6752143;1;8,113253195012707;5,172550435167434;9,16211007900722;12,55438054878191
27;2024-04-21;IE;2024-W16;4,2;78,90159;12,3466425;4,4752145;1;5,321271604310562;8,552672905892154;6,782166043333012;10,04949694653108
28;2024-04-28;IE;2024-W17;6,5;76,41238;12,118072;3,9323573;1;7,860146565560861;8,870749642204235;10,808463514889038;9,390555982448092
