;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;LT;2023-W41;1021,1;77,316734;13,586;6,1860003;1;876,4386118964119;;;
1;2023-10-22;LT;2023-W42;1084,0;85,32395;7,8574286;3,4717143;1;1007,138902353852;833,5370757638897;;
2;2023-10-29;LT;2023-W43;1097,8;92,48462;7,286;3,0359998;1;1081,968013108606;989,611046632254;816,649116834377;
3;2023-11-05;LT;2023-W44;648,8;84,70204;11,321714;4,886;1;1022,86604334574;1004,7317702581234;912,1578998040508;746,7985677600662
4;2023-11-12;LT;2023-W45;927,0;91,75403;7,693143;4,378857;1;484,9424315885395;933,2794443314696;917,026535840142;826,9004123516547
5;2023-11-19;LT;2023-W46;1034,0;87,353966;2,036;-1,4711428;1;995,847558331726;483,3929135589067;926,1535352208872;911,8692393823212
6;2023-11-26;LT;2023-W47;1205,0;79,13606;-0,3782856;-4,8854284;1;1004,8944281287742;962,1889850873076;463,1913755916319;883,7275859644828
7;2023-12-03;LT;2023-W48;1358,5;87,25114;-2,9782856;-6,5068574;1;1247,6704166869663;1018,6421649378294;977,6625449399152;512,1621412240047
8;2023-12-10;LT;2023-W49;1431,6;90,82451;-2,7497144;-6,3854284;1;1380,840332625236;1242,4413623292671;1025,020041737626;987,3403443875808
9;2023-12-17;LT;2023-W50;1473,6;95,64129;2,3002858;-0,03542859;1;1447,8180406275055;1385,1650600623718;1237,9360062158328;1041,850868989717
10;2023-12-24;LT;2023-W51;1348,9;93,230774;3,5074286;0,30028576;1;1446,5070619559333;1416,3066549499017;1352,1719891090645;1201,9370137339188
11;2023-12-31;LT;2023-W52;749,7;90,50511;4,0235;0,6235;1;1229,7079311908683;1346,1379573263584;1317,3060338025243;1255,4727586773597
12;2024-01-07;LT;2024-W01;947,9;73,24707;-8,585428;-12,649714;1;497,0570153497909;1079,37673300348;1196,86907585813;1171,6128775466295
