;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;LU;2023-W41;18700,0;75,875725;17,601358;8,044214;1;14542,06557399326;;;
1;2023-10-22;LU;2023-W42;17800,0;83,45864;13,522786;7,8156433;1;16412,0305253314;14704,631452796148;;
2;2023-10-29;LU;2023-W43;18100,0;90,63276;12,701357;7,7942147;1;17830,271163632722;17241,898350402353;15950,713176960318;
3;2023-11-05;LU;2023-W44;19900,0;87,33978;10,651358;7,2585;1;16110,117465932932;15985,212858862216;15530,007770263092;14752,321982166724
4;2023-11-12;LU;2023-W45;18100,0;88,73327;9,015642;5,2013574;1;18147,714206036308;16565,505754391514;16467,602741383977;16184,813763324108
5;2023-11-19;LU;2023-W46;19400,0;90,82998;9,544214;5,3442144;1;18004,438653996564;18016,51994497638;16796,651572819617;16730,406440975
6;2023-11-26;LU;2023-W47;15500,0;88,47643;6,315643;1,7084999;1;18414,566404229518;17833,625126349696;17841,47989130389;17099,3258705501
7;2023-12-03;LU;2023-W48;25200,0;86,73419;1,8299285;-3,3700714;1;17742,982472469044;18956,584089727858;18512,30428899671;18516,869978779403
8;2023-12-10;LU;2023-W49;27500,0;90,33965;6,5727854;3,0013568;1;19376,617733393;16360,785479057486;17289,596841928655;17003,48099724516
9;2023-12-17;LU;2023-W50;21300,0;92,8678;6,937072;2,0299287;1;23463,331462327627;20073,128349919025;17708,909528551467;18278,41471484496
10;2023-12-24;LU;2023-W51;29000,0;93,30214;7,679929;5,037071;1;19551,223674462053;20458,60937480257;17817,064465482195;16392,25683924052
11;2023-12-31;LU;2023-W52;34100,0;88,63476;8,5460005;5,621;1;21187,57316401654;17211,199552167956;17900,45367368921;16260,283857048058
12;2024-01-07;LU;2024-W01;23800,0;87,95109;5,222786;1,6727856;1;26531,37045210927;20871,74711641716;17682,25671802836;18099,10657098589
13;2024-01-14;LU;2024-W02;13800,0;70,91598;-0,012928529;-4,8915;1;20555,90651448148;21783,902173617986;17351,439490730285;15454,0357597806
14;2024-01-21;LU;2024-W03;18600,0;87,1701;1,2870715;-4,1843576;1;19045,95996440649;22062,289450202043;23052,562709748538;20221,69177076566
