;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;LU;2023-W41;3400,0;75,875725;17,601358;8,044214;1;3852,6507790612136;;;
1;2023-10-22;LU;2023-W42;3900,0;83,45864;13,522786;7,8156433;1;3167,268174935149;3338,8829054665875;;
2;2023-10-29;LU;2023-W43;1600,0;90,63276;12,701357;7,7942147;1;3621,9233835379423;3163,230536781315;3282,993354081611;
3;2023-11-05;LU;2023-W44;3000,0;87,33978;10,651358;7,2585;1;2083,354187803363;3405,9707665438505;2987,9658894464665;3039,7210242183387
4;2023-11-12;LU;2023-W45;5200,0;88,73327;9,015642;5,2013574;1;2833,7252143330747;2208,285813589337;3458,392116020864;3110,3976360036845
5;2023-11-19;LU;2023-W46;7200,0;90,82998;9,544214;5,3442144;1;4493,701892852153;2954,945282710133;2357,9820940303707;3424,879085920006
6;2023-11-26;LU;2023-W47;4800,0;88,47643;6,315643;1,7084999;1;6316,757738506294;4539,535388787482;3120,2033061248035;2582,4620154632803
7;2023-12-03;LU;2023-W48;5500,0;86,73419;1,8299285;-3,3700714;1;5155,795544245002;6233,295255391895;4598,978286676718;3395,004121156994
8;2023-12-10;LU;2023-W49;7900,0;90,33965;6,5727854;3,0013568;1;4648,231305516339;4518,125458159045;5415,302825745786;4028,7895561246464
9;2023-12-17;LU;2023-W50;10400,0;92,8678;6,937072;2,0299287;1;6776,76353051086;4605,213958585631;4505,0355738239095;5272,634480011008
10;2023-12-24;LU;2023-W51;5100,0;93,30214;7,679929;5,037071;1;8528,853702002812;6104,060026812218;4063,1634377419537;4034,377545430043
11;2023-12-31;LU;2023-W52;13400,0;88,63476;8,5460005;5,621;1;5509,390204401432;7805,153050104084;5565,563720025408;3817,0298409457623
12;2024-01-07;LU;2024-W01;1200,0;87,95109;5,222786;1,6727856;1;10210,163200694402;5206,860337436827;7320,31428047288;5408,99351510796
13;2024-01-14;LU;2024-W02;12600,0;70,91598;-0,012928529;-4,8915;1;4876,553288741747;10060,069291896689;5137,456004385642;6888,600552839714
14;2024-01-21;LU;2024-W03;8700,0;87,1701;1,2870715;-4,1843576;1;7696,589748664636;3984,968139580964;9317,90906666378;5100,541677863265
15;2024-01-28;LU;2024-W04;11900,0;88,89995;8,337071;0,5370715;1;9101,78545513289;8578,242719785785;4206,92825767346;8679,614290225305
16;2024-02-04;LU;2024-W05;8900,0;91,01255;7,9085;1,7799284;1;9661,673735849232;7867,872880576555;7262,135707571375;3882,6560201171783
17;2024-02-11;LU;2024-W06;8100,0;91,454155;9,387072;5,8227854;1;8438,88536670486;9039,323700076584;7032,13408800126;6559,884259292543
18;2024-02-18;LU;2024-W07;11200,0;88,82039;10,565643;4,1585;1;7735,624946130903;7830,47711434984;8871,087552132834;6786,991391905662
19;2024-02-25;LU;2024-W08;6400,0;85,76742;8,229929;3,5942142;1;8910,633582110197;7102,239044788242;7185,382401187893;8287,874956919066
20;2024-03-03;LU;2024-W09;4500,0;83,188644;9,922786;2,551357;1;7689,981391948386;8990,688631697994;6898,942642719227;6912,307080381998
21;2024-03-10;LU;2024-W10;4000,0;79,772865;9,708501;1,6656429;1;5099,683132778367;6771,76212248811;8267,937174902316;6569,03825663746
22;2024-03-17;LU;2024-W11;3300,0;85,25236;12,394216;5,065643;1;3978,6851379300415;4547,630259640988;6449,429124951308;7653,723923040217
23;2024-03-24;LU;2024-W12;3200,0;82,1251;12,222786;3,2085;1;3713,683684060077;4060,4740960713743;4706,559755080903;6249,232449161675
24;2024-03-31;LU;2024-W13;2900,0;80,21094;11,794214;4,637071;1;3164,601003613503;3410,598697507598;3801,298485645;4315,460197929728
25;2024-04-07;LU;2024-W14;0,0;80,71571;16,601358;8,951357;1;2862,8419058741265;3115,5022578094986;3288,2123908755284;3608,207126467202
26;2024-04-14;LU;2024-W15;1600,0;77,26533;15,794214;5,0727854;1;2216,578452482293;3307,2036641546274;3769,328661321528;3692,40477982346
27;2024-04-21;LU;2024-W16;2900,0;77,0011;8,501357;2,0227857;1;1411,4612998117557;1654,889327826707;3165,768174176534;3419,2790500901856
28;2024-04-28;LU;2024-W17;2000,0;73,969986;11,622786;2,6370714;1;2862,528486047117;2107,662813673483;2406,6740601885967;3352,004441680544
29;2024-05-05;LU;2024-W18;1100,0;79,90902;17,644215;8,422786;1;2376,3507606798894;2861,328659741096;2104,1265615819675;2256,5409065167264
30;2024-05-12;LU;2024-W19;500,0;75,14689;19,444214;8,351357;1;1783,2834515469565;2458,7031077430565;3192,4293433361363;2593,0245834878865
31;2024-05-19;LU;2024-W20;0,0;81,92025;17,651358;10,958501;1;755,1812129912419;1462,452245462576;2231,817162158229;2475,978740047951
32;2024-05-26;LU;2024-W21;800,0;82,85901;17,158499;9,208501;1;827,6248432016396;1236,0459015703368;1905,2163558970635;2525,904918724108
33;2024-06-02;LU;2024-W22;0,0;82,97941;16,801357;9,829928;0;-1167,6610895476504;-1128,270889530339;-655,2314584095361;-178,64533125507842
34;2024-06-09;LU;2024-W23;1000,0;74,491585;17,979929;7,6656427;0;17,994163572745038;-399,2432291394839;-261,2531999016842;73,97067347943312
35;2024-06-16;LU;2024-W24;0,0;73,82804;16,879929;8,9085;0;567,8581693599752;59,0699800627699;-509,3289606577087;-412,7322464526783
36;2024-06-23;LU;2024-W25;2300,0;83,63511;21,251358;12,065643;0;442,4333902341596;737,8672539364235;170,43960052229045;-221,43404675797228
37;2024-06-30;LU;2024-W26;3200,0;72,36566;23,994215;13,529929;0;1283,913464862575;296,6457389311422;624,6645332054572;171,49039417947893
