;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;LV;2023-W41;976,5;78,29667;12,456429;7,1349998;1;1085,311150882461;;;
1;2023-10-22;LV;2023-W42;1249,6;83,114;6,8921432;2,6207142;1;1029,173909606559;1111,125172121017;;
2;2023-10-29;LV;2023-W43;1153,6;82,380066;5,0064282;0,8421429;1;1234,2237871446189;1051,2722068884389;1137,854493117613;
3;2023-11-05;LV;2023-W44;1079,3;86,40421;10,442143;4,863571;1;1176,886866117737;1240,1569044304017;1045,0445744749484;1108,1824795709056
4;2023-11-12;LV;2023-W45;1032,3;92,61639;7,970714;4,656429;1;1102,657339262247;1183,2511244882096;1253,4971341663622;1085,9282389731118
5;2023-11-19;LV;2023-W46;1179,2;85,2798;1,4992857;-1,6435715;1;1054,3887335046672;1112,147165139383;1197,4693561415836;1259,133468298011
6;2023-11-26;LV;2023-W47;1205,5;85,07762;-0,7221428;-4,9435716;1;1192,344148365375;1090,3448341236406;1152,1663843513363;1224,0262784288225
7;2023-12-03;LV;2023-W48;1205,3;90,43286;-2,8864286;-8,029285;1;1307,6804426034587;1296,9370997914116;1187,251756068555;1239,0861744515164
8;2023-12-10;LV;2023-W49;1514,7;89,91191;-3,9792857;-7,4364285;1;1179,8108349975128;1264,486023618657;1253,2059807196674;1162,498276034728
9;2023-12-17;LV;2023-W50;1519,0;92,7757;1,9564285;-1,8149999;1;1410,7085243155889;1139,2349196261412;1230,8020213799612;1221,5420293304803
10;2023-12-24;LV;2023-W51;1357,7;91,504585;2,8778572;-0,050714254;1;1485,4399987542754;1396,7322120830777;1106,01341089075;1183,180946334831
11;2023-12-31;LV;2023-W52;1100,7;88,969215;2,60375;-1,69;1;1344,5079726626718;1447,9782931836078;1353,5428347843797;1110,7823397304496
12;2024-01-07;LV;2024-W01;1016,2;68,19779;-10,143571;-17,09357;1;1145,88589754338;1338,6454709282195;1447,6745189190865;1372,4244148187931
13;2024-01-14;LV;2024-W02;1128,5;84,08788;0,042142846;-5,0435715;1;1003,4572114696792;1098,5396091498117;1312,1530461650486;1403,2784938422028
14;2024-01-21;LV;2024-W03;1246,3;86,14768;-2,0292857;-7,8650002;1;1171,0660840473522;1067,3131389146238;1170,915923952753;1350,1024402546925
15;2024-01-28;LV;2024-W04;1346,2;89,30706;2,4492857;-1,0078571;1;1184,358158641911;1122,3652180535346;1011,311830445932;1090,872086590817
16;2024-02-04;LV;2024-W05;1419,6;84,51093;3,9064286;-0,43642855;1;1271,3275010606612;1139,075302056356;1072,6330622429855;979,358306363466
17;2024-02-11;LV;2024-W06;1412,7;83,19142;-1,3435715;-4,886429;1;1424,4338012432152;1303,9792766515106;1163,8259619293754;1107,9354655949564
18;2024-02-18;LV;2024-W07;1413,3;90,455124;3,3278573;-1,0721428;1;1422,0348360973503;1434,187315523557;1305,4778932549343;1189,1513462762118
19;2024-02-25;LV;2024-W08;1419,6;85,99925;5,8707147;0,84928566;1;1331,7658187389643;1339,697015141787;1351,358459651899;1245,1599496268063
20;2024-03-03;LV;2024-W09;1340,1;88,429184;6,6064286;0,4564286;1;1418,7267489877106;1346,45274711125;1353,145138473216;1365,2797851245564
21;2024-03-10;LV;2024-W10;1297,6;76,2784;3,385;-3,3792858;1;1276,4330408281098;1340,2730863092331;1264,381410370168;1270,2864751284735
22;2024-03-17;LV;2024-W11;1097,0;76,058365;7,5350003;1,6778572;1;1199,5611142230923;1182,1369234439758;1250,0439989789652;1187,040805365704
23;2024-03-31;LV;2024-W13;899,2;76,950005;14,249286;4,299286;1;1121,0903385229958;1204,7177015367138;1186,3959271699264;1243,3852643885043
24;2024-04-07;LV;2024-W14;932,7;80,35859;11,399285;2,8707144;1;938,1242624392476;1125,4158678221356;1214,1326146787403;1199,9981577604528
25;2024-04-14;LV;2024-W15;1003,8;78,347466;14,620714;6,8635716;1;862,5011579862056;867,1075663141227;1067,4088289931635;1140,738037369916
26;2024-04-21;LV;2024-W16;945,23334;77,38517;6,335;0,12071429;1;1043,812960918248;928,0884389622472;932,667548517855;1101,7053436753736
27;2024-04-28;LV;2024-W17;968,25;78,7757;12,949286;2,792143;1;971,6476490438548;1052,8750229166174;930,3916336027152;933,3465055571736
28;2024-05-05;LV;2024-W18;1219,7;66,32311;17,177856;8,099286;1;789,2643674233759;792,5876464780855;878,8618985633286;774,4307156840515
29;2024-05-12;LV;2024-W19;1496,75;71,71208;10,342143;4,570714;1;1218,5284484266049;864,4131353509471;868,2399372896188;939,9676290694048
30;2024-05-19;LV;2024-W20;1496,75;69,08984;21,149286;8,899286;1;1435,1985243276458;1195,9591233312349;823,4094252315297;827,5022986544983
31;2024-10-06;LV;2024-W40;1435,6;83,64136;11,627858;4,3849998;0;1267,5281099778128;1204,694693673435;965,4769671985724;661,1092537460327
32;2024-10-13;LV;2024-W41;1557,9;84,8749;14,568334;6,443333;0;1370,3248350127717;1224,9100813301186;1160,2897706784354;952,0549197098616
