;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;MT;2023-W41;5300,0;71,22579;27,794071;21,201216;1;4263,024401086106;;;
1;2023-10-22;MT;2023-W42;5900,0;64,48537;29,172644;22,458357;1;4719,54547753088;4040,705663648606;;
2;2023-10-29;MT;2023-W43;5100,0;74,52575;26,544071;21,544071;1;4736,517772450037;3984,7803509636833;3395,721111729926;
3;2023-11-05;MT;2023-W44;5300,0;68,146736;25,922644;20,322643;1;5236,799694936426;4995,711909324343;4324,249857721735;3802,6676155470686
4;2023-11-12;MT;2023-W45;8900,0;70,56925;24,051214;19,394072;1;4531,407873120741;4489,65505960518;4277,497709001259;3698,082497444207
5;2023-11-19;MT;2023-W46;9500,0;65,809395;22,794071;18,536928;1;6717,270578362543;3783,653434108326;3752,323327671429;3559,6953344221265
6;2023-11-26;MT;2023-W47;9200,0;66,915764;19,001215;14,779785;1;8206,23091366031;6643,546316685956;4064,245585953535;4017,882390248539
7;2023-12-03;MT;2023-W48;9300,0;65,97148;20,672642;16,68693;1;8092,896445965202;7700,104062822876;6001,284825245009;3733,7596411980808
8;2023-12-10;MT;2023-W49;8300,0;66,650955;17,9155;13,808357;1;8610,534656066247;7809,805439546902;7445,182274941194;5958,073989438676
9;2023-12-17;MT;2023-W50;9000,0;73,50411;18,329786;13,815499;1;8185,913452476741;8494,394636011;7789,237592943264;7538,776393803173
10;2023-12-24;MT;2023-W51;7000,0;71,803085;17,229786;14,629786;1;6879,802127080771;6276,9928462084745;6583,855485569255;5936,480994848716
11;2023-12-31;MT;2023-W52;11100,0;75,872215;17,853;13,65925;1;7630,777827039143;7610,369439129676;6997,883902579153;7337,698370930482
12;2024-01-07;MT;2024-W01;10500,0;72,748024;17,544071;12,4655;1;10013,296888152216;7605,806714056485;7633,135891272724;7033,869679414975
13;2024-01-14;MT;2024-W02;8700,0;70,686295;15,901215;11,822642;1;8851,210309788104;8561,538070455415;6430,111202071369;6390,093499513266
14;2024-01-21;MT;2024-W03;10600,0;75,75396;18,101215;12,5155;1;8804,804179998555;9486,403346772766;9212,960979836502;7275,259437306402
15;2024-01-28;MT;2024-W04;10000,0;72,72248;16,594072;11,508356;1;9380,932317065766;8004,046727759305;8624,12036904518;8389,0688812829
16;2024-02-04;MT;2024-W05;7900,0;67,12208;16,051214;11,336928;1;8881,781750406;8317,72308329615;7091,438672259887;7638,76321010577
17;2024-02-11;MT;2024-W06;9900,0;71,60905;18,494074;12,672643;1;8689,789215146444;9413,327245936973;8836,186441135218;7227,16067430349
18;2024-02-18;MT;2024-W07;8900,0;71,9667;17,029787;11,3654995;1;8736,857785775373;8370,54237153559;9173,520210422415;8496,205328479547
19;2024-02-25;MT;2024-W08;8400,0;77,887596;16,58693;12,322642;1;7805,30707422924;8030,227421641008;7307,796759298557;8282,228051840844
20;2024-03-03;MT;2024-W09;7300,0;75,57996;17,1155;11,786928;1;8530,93643498729;8136,236046603817;7588,059471191466;7675,227480915475
21;2024-03-10;MT;2024-W10;9700,0;71,63552;18,351213;13,229785;1;6886,253969711217;7738,831324204792;7388,505180344126;6993,893637805295
22;2024-03-17;MT;2024-W11;7200,0;73,15388;17,779787;12,1154995;1;8950,120602091392;7164,318857780414;7837,332189968969;7524,129205022007
23;2024-03-24;MT;2024-W12;5000,0;75,24581;19,822645;13,358357;1;8167,475758288565;9364,603242033085;7656,87990747888;8308,17319532085
24;2024-03-31;MT;2024-W13;4900,0;64,69168;24,215502;15,451215;1;7126,670566507057;9145,654374594542;10405,19118348877;8412,547911663203
25;2024-04-07;MT;2024-W14;1900,0;63,940533;21,772644;13,6655;1;5139,489910141328;6638,125529266626;8426,11951486038;9495,49205863237
26;2024-04-14;MT;2024-W15;3900,0;74,395386;21,151215;16,1655;1;1282,0120028308856;3346,8304742658074;4697,888654253693;6224,000227298259
27;2024-04-21;MT;2024-W16;2700,0;67,82491;19,08693;14,644072;1;2967,43168318832;1228,1775259460428;3048,5488905520738;4263,070442213667
28;2024-04-28;MT;2024-W17;2000,0;70,91561;19,015501;14,065499;1;3662,261203156936;3841,304553631656;2300,4788009089034;3930,2737004625615
29;2024-05-05;MT;2024-W18;4500,0;71,980804;21,322643;15,251214;1;3438,9002320664968;4457,851669861992;4616,396629725679;3247,7844025090126
30;2024-05-12;MT;2024-W19;3000,0;79,66893;21,3655;15,829786;1;4276,315402657455;3580,2681870517818;4498,362691608612;4640,71486311881
31;2024-05-19;MT;2024-W20;3100,0;67,32916;27,329786;19,272644;1;4504,927268506756;5361,074411749428;5136,72677872854;5557,524892365278
32;2024-10-06;MT;2024-W40;4400,0;62,59211;26,729786;20,844072;0;2892,279109507137;3892,053717017503;4635,4911914458;4747,359071519104
33;2024-10-13;MT;2024-W41;4600,0;66,957344;27,473833;21,515501;0;4146,70275066038;3283,149971309428;4185,075810095823;4846,475005607708
