;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;PL;2023-W41;274,9;76,49428;15,968714;6,5187144;1;225,2337220051256;;;
1;2023-10-22;PL;2023-W42;316,9;85,00165;11,975858;5,1187143;1;271,4754122451188;216,90578115710477;;
2;2023-10-29;PL;2023-W43;332,3;89,680435;13,4044285;8,025857;1;314,5393949767809;264,3027301023613;210,7932365330457;
3;2023-11-05;PL;2023-W44;301,9;80,841606;13,111571;7,275857;1;319,12040705180203;298,6415696061204;249,27265448531423;197,52795615872503
4;2023-11-12;PL;2023-W45;339,8;84,022316;9,561571;4,0472856;1;291,67170928060705;310,76789600391334;290,4755811875979;242,51014639865787
5;2023-11-19;PL;2023-W46;355,3;89,825966;5,033;0,31157142;1;360,787956832166;307,6689649868906;326,52384837242323;306,7481377371955
6;2023-11-26;PL;2023-W47;385,7;83,18237;1,9044285;-2,767;1;365,40850217781895;371,3191546021061;319,1825119797593;338,1120292386323
7;2023-12-03;PL;2023-W48;786,6;86,567276;-0,9384286;-5,581286;1;397,4693652682511;374,919315767002;380,6907832969487;330,02482939364995
8;2023-12-10;PL;2023-W49;491,5;89,92655;-0,467;-3,817;1;856,3212381796801;426,22422603193417;403,6828804285942;408,67050728946737
9;2023-12-17;PL;2023-W50;504,7;93,59321;3,933;1,5329999;1;502,0310165425785;883,7949647899846;459,3812237952018;437,2066993486044
10;2023-12-24;PL;2023-W51;344,5;83,958824;6,218714;1,7329999;1;498,9688895209357;496,51861252250166;869,6583963435097;456,3490795034506
11;2023-12-31;PL;2023-W52;323,5;81,97958;7,5142503;1,8704998;1;324,55839367774985;481,3375189752632;479,0199339509475;841,5431456800455
12;2024-01-07;PL;2024-W01;383,4;83,48066;0,67585725;-3,7812858;1;298,2214397436223;299,13192042470143;450,0433317026613;447,7748147475982
13;2024-01-14;PL;2024-W02;445,8;80,74041;-1,1098572;-5,6312857;1;344,7661406184817;257,6541002231908;258,4919945197748;403,210913586149
14;2024-01-21;PL;2024-W03;456,6;87,827354;0,3687143;-6,0455713;1;418,82551524103326;314,47393791614377;229,95983330985143;230,62459778043043
15;2024-01-28;PL;2024-W04;474,8;86,94993;4,7544284;0,56871426;1;421,4547271023228;383,7689769501689;283,57497758301645;202,40412375631325
16;2024-02-04;PL;2024-W05;512,0;82,85032;6,7330003;2,2758572;1;456,436324521444;401,9064664794701;365,2381555871648;269,2436799717588
17;2024-02-11;PL;2024-W06;498,1;88,54279;6,911572;2,2544284;1;505,25650020626347;447,53512325528266;396,0410435868363;359,22724419162506
18;2024-02-18;PL;2024-W07;389,1;80,84825;8,054429;1,175857;1;482,3530923148092;489,3073353388335;433,4101094493731;385,07186553603054
19;2024-02-25;PL;2024-W08;347,7;85,538216;10,247286;3,5401425;1;390,1768171196471;486,1633632521237;492,0130121845714;438,8641405561678
20;2024-03-03;PL;2024-W09;318,2;84,753975;11,997286;4,8972855;1;332,8738240268588;376,7091102910992;470,11990990814496;475,2212112301194
21;2024-03-10;PL;2024-W10;322,9;75,09912;7,633;-0,7098573;1;308,7783012544407;323,9127860585488;366,1958046299338;457,4484994535839
22;2024-03-17;PL;2024-W11;328,7;82,84307;8,690143;2,0187142;1;323,8627024045035;309,42004944000337;323,9602904146939;365,0701923544267
23;2024-03-24;PL;2024-W12;322,6;82,66448;9,504428;1,3044285;1;309,0053940785924;302,9846946499832;289,1518388120227;302,9282242669249
24;2024-03-31;PL;2024-W13;322,0;67,658615;18,740143;7,104429;1;290,88888777269705;276,7152130175374;271,102414291742;257,7617715620096
25;2024-04-07;PL;2024-W14;239,1;74,79176;17,090143;6,990143;1;294,9799533984918;263,04039550751054;250,2011312959651;244,0339588357908
26;2024-04-14;PL;2024-W15;243,0;68,29365;17,990143;9,225858;1;211,2877650585947;268,72315541744706;237,4498073678064;225,52121768132048
27;2024-04-21;PL;2024-W16;239,2;76,60577;8,790143;1,9972857;1;250,74348098965575;218,40381966560545;274,2294289857799;244,6468557397898
28;2024-04-28;PL;2024-W17;249,2;68,96497;15,383;4,883;1;216,2434869253869;228,48341966900767;197,2961361411857;250,89177335018127
29;2024-05-05;PL;2024-W18;150,5;50,987495;24,483;11,854429;1;202,96543706166625;168,68314372832077;178,8494560262726;148,3666314743853
30;2024-05-12;PL;2024-W19;212,5;59,07697;17,254429;5,568714;1;179,87954190987608;231,36348480832845;196,22269190187487;207,64115506302824
31;2024-05-19;PL;2024-W20;191,0;49,152325;21,782999;10,218715;1;177,44826839203157;143,35573851865462;196,637129767666;162,81420294782953
32;2024-05-26;PL;2024-W21;172,0;64,78767;26,140142;14,333;1;203,09932511428596;189,1505409291544;155,79899391589493;205,5078941019328
33;2024-06-02;PL;2024-W22;143,5;62,70954;24,447285;14,418715;0;231,9278182238149;263,9025027422434;250,71545598247187;217,2922721188782
34;2024-06-09;PL;2024-W23;157,5;71,077934;21,990143;13,718715;0;140,6013989286082;231,1314628473513;262,04976167447387;249,2922135859712
35;2024-06-16;PL;2024-W24;154,0;68,411095;22,004427;11,175858;0;153,8348177499259;137,11393359103954;224,165922487772;253,7761049667912
36;2024-06-23;PL;2024-W25;154,7;67,21973;25,325857;14,583;0;143,30808901370526;143,38183940219605;127,01952196489744;210,6866852916613
37;2024-06-30;PL;2024-W26;117,3;63,839138;28,204428;17,918715;0;144,06810446190417;132,44703036098304;132,74029642911373;116,74769955158474
38;2024-07-07;PL;2024-W27;136,3;65,98702;23,568714;14,9044285;0;119,720593227208;146,93920330771684;135,74216787832714;136,1619685300267
39;2024-07-14;PL;2024-W28;115,9;66,40926;29,440142;18,747286;0;123,014014182031;106,32980758906128;132,57088847546026;121,71494754162072
40;2024-07-21;PL;2024-W29;103,8;63,795845;28,275858;17,133;0;114,02048421412596;121,21640551023222;105,26174188596713;130,42303006534837
41;2024-07-28;PL;2024-W30;96,8;70,84781;24,690142;15,911571;0;104,36068858509998;114,7978536598839;121,77470591436646;106,35072498157616
42;2024-08-04;PL;2024-W31;112,7;61,837543;24,268713;14,161571;0;83,54405181390503;94,8576370952406;104,80703485541218;111,39812972201368
43;2024-08-11;PL;2024-W32;119,0;74,85131;23,961573;15,261572;0;121,56411834218746;97,35000290016934;103,16528294206346;112,59674739657196
44;2024-08-18;PL;2024-W33;105,4;63,025055;28,133;16,061571;0;107,29417794193816;110,00007425206832;83,0445317564477;92,2784935008134
