;truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0;2023-10-15;RO;2023-W41;796,5;60,07145;21,63443;8,848714;1;854,5188924038939;;;
1;2023-10-22;RO;2023-W42;888,1;66,557655;22,29157;8,970142;1;817,4753674320225;867,40573495907;;
2;2023-10-29;RO;2023-W43;882,0;68,95009;23,505857;11,327285;1;857,6891598225125;797,2987659381224;844,3497341783959;
3;2023-11-05;RO;2023-W44;683,5;75,61762;19,705858;10,070143;1;731,1097075290533;711,6586474245897;663,9493049148921;703,6440032069573
4;2023-11-12;RO;2023-W45;658,3;75,35346;15,28443;5,134429;1;821,6051428688089;854,186537102222;838,3061313869033;797,8224175460253
5;2023-11-19;RO;2023-W46;774,5;78,487816;12,455856;3,3201427;1;681,7623762946212;814,753500255169;838,3809560699698;825,9837859306667
6;2023-11-26;RO;2023-W47;820,4;82,36356;8,720142;2,1915715;1;728,6919360084114;645,4668502282399;749,3571630999434;768,4783528907325
7;2023-12-03;RO;2023-W48;572,9;79,03456;9,020143;-0,487;1;777,8148027267373;702,7155678418873;629,4462240753214;711,273097962961
8;2023-12-10;RO;2023-W49;851,4;86,99941;4,4558573;-0,887;1;572,1752607617151;738,0411227602978;682,3858342765684;621,7013083512852
9;2023-12-17;RO;2023-W50;944,9;88,226974;7,391571;-0,06557138;1;838,5259905936654;601,1301883842482;745,7600991928558;707,3341764058843
10;2023-12-24;RO;2023-W51;864,0;81,68299;9,884428;0,363;1;891,0492891939572;806,3500209919173;608,2598019398582;733,4783722927768
11;2023-12-31;RO;2023-W52;523,6;80,95886;12,363;2,4129999;1;721,1470803004845;743,5355382032524;676,6294523086858;533,7982531450039
12;2024-01-07;RO;2024-W01;663,4;84,46788;10,312999;1,9558572;1;579,7264462246549;734,2034982455805;751,6186193678595;696,9769012912483
13;2024-01-14;RO;2024-W02;959,6;65,37587;2,7558572;-5,008428;1;560,3954760662548;498,9306323384988;618,5507234052524;641,4084456821847
14;2024-01-21;RO;2024-W03;1130,0;80,50959;4,8772855;-3,7655714;1;968,9990123876962;649,7131734315074;593,2709300753565;697,5022492636444
15;2024-01-28;RO;2024-W04;1100,4;88,144714;3,6415713;-4,965572;1;1006,6779053542676;874,6920142651368;618,0420413528587;566,0929460886773
16;2024-02-04;RO;2024-W05;1089,9;79,50039;9,034429;-1,1155714;1;1037,3160623393826;960,8633784399298;852,7867760009785;644,4327375624171
17;2024-02-11;RO;2024-W06;1083,1;63,362984;17,477285;6,6487145;1;956,0614491707664;904,2889886170126;849,3602928188996;761,2382276435189
18;2024-02-18;RO;2024-W07;964,3;82,25451;10,091571;2,3558574;1;1026,4352135102497;941,6094890166536;874,381688257784;839,8985611169738
19;2024-02-25;RO;2024-W08;871,5;74,86067;14,648714;3,4344287;1;816,7729236246851;864,5828216977;807,439473680006;706,0481254624046
20;2024-03-03;RO;2024-W09;746,2;79,329285;13,170142;3,663;1;865,9739958392062;816,5794113812473;859,7882944476885;808,3353407921899
