location;model;prediction_window;mape;nrmse
CZ;SARIMA;1_week;6,708485569538775;0,07973808881985858
CZ;SARIMA;2_week;15,967236792484016;0,18871541431025057
CZ;SARIMA;3_week;21,604587030128595;0,25122425369852325
CZ;SARIMA;4_week;25,12224283660095;0,2638593149601351
SI;SARIMA;1_week;16,465676546057185;0,11945451010804727
SI;SARIMA;2_week;25,607138572615707;0,22259800438619962
SI;SARIMA;3_week;30,484830934226732;0,27256198484366606
SI;SARIMA;4_week;31,35351798598198;0,2936849025044513
LU;SARIMA;1_week;24,18912460251423;0,17609944062545166
LU;SARIMA;2_week;27,60136827642028;0,19610099811826445
LU;SARIMA;3_week;33,2494218921173;0,23149973179028113
LU;SARIMA;4_week;29,10570926459543;0,1952588650030294
EE;SARIMA;1_week;14,279522664096827;0,11866096731061736
EE;SARIMA;2_week;27,94042382955391;0,21334699965700318
EE;SARIMA;3_week;37,03289637768539;0,2947745807108025
EE;SARIMA;4_week;42,578703206824606;0,3419454421610272
BG;SARIMA;1_week;13,703305235222016;0,0997782718798693
BG;SARIMA;2_week;21,875243731800982;0,14972900530872393
BG;SARIMA;3_week;29,34700713855628;0,1927150215289994
BG;SARIMA;4_week;34,91916663159417;0,20953624885630803
RO;SARIMA;1_week;15,222366708633494;0,1671326991212397
RO;SARIMA;2_week;22,425884937931553;0,2712665911998908
RO;SARIMA;3_week;26,543242119331207;0,3205298800554376
RO;SARIMA;4_week;25,382379927521036;0,3116066958025437
LV;SARIMA;1_week;9,112251494867987;0,21984096015627194
LV;SARIMA;2_week;18,694420899255753;0,41402591738152605
LV;SARIMA;3_week;22,99091704233022;0,5251324922827842
LV;SARIMA;4_week;23,24583189488192;0,5210466790212986
BE;SARIMA;1_week;13,826469029945626;0,10818216993966866
BE;SARIMA;2_week;21,384839486619605;0,16626669665802446
BE;SARIMA;3_week;30,452726545168733;0,20739566648821953
BE;SARIMA;4_week;35,22079405504802;0,23187470657843218
LT;SARIMA;1_week;13,428012463072156;0,141399263786001
LT;SARIMA;2_week;23,73620114576526;0,24511083997890584
LT;SARIMA;3_week;29,378073059088873;0,30424285692093495
LT;SARIMA;4_week;31,977210115025024;0,2976805204757044
DE;SARIMA;1_week;11,365617760654327;0,11021345243207062
DE;SARIMA;2_week;18,127655962845573;0,17308519068421396
DE;SARIMA;3_week;25,868569746866903;0,24448627945339052
DE;SARIMA;4_week;30,321634408058518;0,2793552504855166
FR;SARIMA;1_week;14,688677421865966;0,0970760921776242
FR;SARIMA;2_week;36,95499789798431;0,24266261501458417
FR;SARIMA;3_week;59,077705168726894;0,3370399714333745
FR;SARIMA;4_week;75,80332876101285;0,3744539738701202
ES;SARIMA;1_week;10,152535136782044;0,10038108703183561
ES;SARIMA;2_week;19,390981712442148;0,1818876037005035
ES;SARIMA;3_week;29,6557667226974;0,2750756349025251
ES;SARIMA;4_week;37,19556154846517;0,3141552645189997
HU;SARIMA;1_week;18,264901936187318;0,24801134785216453
HU;SARIMA;2_week;37,23161039160342;0,4940225954759903
HU;SARIMA;3_week;51,655400413610565;0,6785295994403647
HU;SARIMA;4_week;63,44107479385036;0,8111548691491154
