location;model;prediction_window;mape;nrmse
CZ;seasonal_naive;1_week;6,296573219553767;0,08120047699249905
CZ;seasonal_naive;2_week;10,468177381546049;0,11638085254245584
CZ;seasonal_naive;3_week;13,441674186435481;0,14605721078403183
CZ;seasonal_naive;4_week;15,409254827942382;0,16649434984749423
SI;seasonal_naive;1_week;15,117859011552875;0,11135914042339008
SI;seasonal_naive;2_week;19,745965441351096;0,16219223831996618
SI;seasonal_naive;3_week;22,734081959257715;0,16915622430082752
SI;seasonal_naive;4_week;19,344582263512475;0,15358272875873422
LU;seasonal_naive;1_week;25,245503117101208;0,1784072040002237
LU;seasonal_naive;2_week;24,198063982629606;0,17802629539146195
LU;seasonal_naive;3_week;28,73626231853214;0,19267787602096076
LU;seasonal_naive;4_week;26,10122645945543;0,16717727518821024
EE;seasonal_naive;1_week;15,664319697920497;0,12523078530079976
EE;seasonal_naive;2_week;20,7097871214376;0,16744848935713696
EE;seasonal_naive;3_week;26,574465198216974;0,2142244789004482
EE;seasonal_naive;4_week;38,50661287096911;0,29780557418466247
BG;seasonal_naive;1_week;10,28566868328541;0,07433353865474651
BG;seasonal_naive;2_week;15,801997859987452;0,10813502667247887
BG;seasonal_naive;3_week;18,123541858581284;0,1229269690336616
BG;seasonal_naive;4_week;19,857417951659393;0,136293248048829
RO;seasonal_naive;1_week;13,679992092063914;0,14562560280228443
RO;seasonal_naive;2_week;17,026725198719888;0,18988819374004817
RO;seasonal_naive;3_week;17,81325703535919;0,1997655963681849
RO;seasonal_naive;4_week;15,770038181134952;0,19075479190658465
LV;seasonal_naive;1_week;8,520148751282687;0,2319365597123298
LV;seasonal_naive;2_week;14,991006419461758;0,3716234386262835
LV;seasonal_naive;3_week;18,765317344842938;0,464688562064375
LV;seasonal_naive;4_week;19,118789657008953;0,4886684568896586
BE;seasonal_naive;1_week;12,574233286399986;0,08708363190801224
BE;seasonal_naive;2_week;15,038046893639509;0,10704274761017094
BE;seasonal_naive;3_week;19,96343986827613;0,11510463095368666
BE;seasonal_naive;4_week;23,041751207460123;0,13488215684046215
LT;seasonal_naive;1_week;9,378821899058178;0,09394754817896395
LT;seasonal_naive;2_week;13,728609279847545;0,14403781716192096
LT;seasonal_naive;3_week;15,92995358716142;0,15663157702430766
LT;seasonal_naive;4_week;15,716550116382258;0,14415825997872703
DE;seasonal_naive;1_week;10,441662790787682;0,09356870700681541
DE;seasonal_naive;2_week;13,320819605838178;0,12364630686751936
DE;seasonal_naive;3_week;17,109738442361433;0,16016914260648724
DE;seasonal_naive;4_week;21,754765237657168;0,19552334656545656
FR;seasonal_naive;1_week;12,07537266678673;0,08833862927043717
FR;seasonal_naive;2_week;25,905490671536512;0,1609665045218364
FR;seasonal_naive;3_week;33,93550782488814;0,19950818908924786
FR;seasonal_naive;4_week;35,068113137694176;0,22669278818674843
ES;seasonal_naive;1_week;8,684498982040632;0,09175993992017176
ES;seasonal_naive;2_week;16,973914558130065;0,16295730261381058
ES;seasonal_naive;3_week;26,711631248968796;0,24497216335447214
ES;seasonal_naive;4_week;33,21469787202644;0,3169566370584062
HU;seasonal_naive;1_week;15,138471620292378;0,205615349028218
HU;seasonal_naive;2_week;29,553176100824572;0,38874327557730654
HU;seasonal_naive;3_week;35,466025425431006;0,5012616457252199
HU;seasonal_naive;4_week;44,32908682000168;0,5549741019592119
