location;model;prediction_window;mape;nrmse
SI;SARIMAX;1_week;31,111141664999952;0,08603140468669328
SI;SARIMAX;2_week;47,59802890348258;0,1889055478738428
SI;SARIMAX;3_week;64,68607296734112;0,24663533899270917
SI;SARIMAX;4_week;68,02545983127062;0,26849902653917407
DK;SARIMAX;1_week;19,287581497682254;0,18295114178443345
DK;SARIMAX;2_week;19,949166110119783;0,22624545369407828
DK;SARIMAX;3_week;26,36143846171054;0,28394372846486754
DK;SARIMAX;4_week;28,192303501175882;0,319982714238932
EE;SARIMAX;1_week;13,468380117676293;0,11319625030964336
EE;SARIMAX;2_week;22,555777866140634;0,1959423564157539
EE;SARIMAX;3_week;25,760650022706237;0,24426234198454988
EE;SARIMAX;4_week;26,48376094353039;0,26225202985509294
PL;SARIMAX;1_week;14,437160611083888;0,12424335751679465
PL;SARIMAX;2_week;27,48001468302946;0,18572665228532273
PL;SARIMAX;3_week;32,53435084700581;0,21058410289751758
PL;SARIMAX;4_week;36,26689153825014;0,21843365974362328
FR;SARIMAX;1_week;18,698096913714952;0,08134565905162666
FR;SARIMAX;2_week;36,55831385845115;0,22243328243789587
FR;SARIMAX;3_week;52,49072622601503;0,3196450639363523
FR;SARIMAX;4_week;59,35032151005662;0,3606682166658962
AT;SARIMAX;1_week;18,23309177580188;0,3285609219149568
AT;SARIMAX;2_week;22,57864707321527;0,3442182235671518
AT;SARIMAX;3_week;28,596771124352394;0,41984696134576893
AT;SARIMAX;4_week;29,900650757784014;0,4291771610759218
HR;SARIMAX;1_week;41,8628594081822;0,07250304802263195
HR;SARIMAX;2_week;83,82007488434903;0,20729864255284344
HR;SARIMAX;3_week;141,53581109211106;0,2858333872356786
HR;SARIMAX;4_week;164,8336125655656;0,3082604587923357
RO;SARIMAX;1_week;33,52628589564572;0,1033899482588269
RO;SARIMAX;2_week;67,91183304402344;0,23213106499731284
RO;SARIMAX;3_week;99,8492442575281;0,29619816155005624
RO;SARIMAX;4_week;104,62981259854087;0,3157815025833281
GR;SARIMAX;1_week;16,836734175214662;0,11689118699286076
GR;SARIMAX;2_week;24,8872357143515;0,17899760838010678
GR;SARIMAX;3_week;28,138307552660585;0,1994891021429685
GR;SARIMAX;4_week;28,938979276064618;0,208488668879605
HU;SARIMAX;1_week;20,51571104788237;0,10491517397362937
HU;SARIMAX;2_week;38,96143492408151;0,22883998529769978
HU;SARIMAX;3_week;51,98664625055558;0,33844200538078945
HU;SARIMAX;4_week;68,83301788024632;0,38993167297026465
IE;SARIMAX;1_week;55,684046695960824;0,16739727841114863
IE;SARIMAX;2_week;98,34627665683098;0,19244983156201376
IE;SARIMAX;3_week;129,45386627534626;0,22456376099110004
IE;SARIMAX;4_week;151,3072704126236;0,2707127050138138
LV;SARIMAX;1_week;67,97619812846742;0,08640380482170784
LV;SARIMAX;2_week;136,9853681309622;0,22895676942119375
LV;SARIMAX;3_week;179,57664309373064;0,3400488788904593
LV;SARIMAX;4_week;191,30886639675202;0,41077362658398375
BE;SARIMAX;1_week;40,45432146464721;0,14394126712654212
BE;SARIMAX;2_week;68,03828992210143;0,21516759319365736
BE;SARIMAX;3_week;85,69604015425828;0,25352704768758666
BE;SARIMAX;4_week;104,11414118122539;0,2381856816750376
LU;SARIMAX;1_week;51,97797743930652;0,19229013109414406
LU;SARIMAX;2_week;66,22665823066913;0,22266875606280973
LU;SARIMAX;3_week;70,86430695208811;0,24131503748769145
LU;SARIMAX;4_week;83,52109028831386;0,2721568593701555
LT;SARIMAX;1_week;80,73961679300581;0,05952851181751676
LT;SARIMAX;2_week;184,03338340913297;0,181547269719896
LT;SARIMAX;3_week;296,213911728496;0,24602779288145182
