location;model;prediction_window;mape;nrmse
SI;naive;1_week;18,5787775548371;0,08582915311374198
SI;naive;2_week;22,197818612182907;0,14395175775407462
SI;naive;3_week;29,838034232910466;0,16439343694808312
SI;naive;4_week;33,75679626551389;0,1615374093837072
DK;naive;1_week;19,67499323338896;0,1859214344293054
DK;naive;2_week;20,28321058031786;0,21541410125474622
DK;naive;3_week;23,736891961050883;0,24167565279410996
DK;naive;4_week;26,13178352409673;0,2685044319971862
EE;naive;1_week;11,850310397817982;0,10423437811970176
EE;naive;2_week;15,658118606317464;0,1364615765723007
EE;naive;3_week;19,770836792199372;0,16392032441185975
EE;naive;4_week;22,446282772226226;0,1902215138346919
PL;naive;1_week;14,190726695604047;0,13239943674627083
PL;naive;2_week;19,162221345356127;0,160133972488086
PL;naive;3_week;21,32187579872499;0,17573174490449092
PL;naive;4_week;20,221543045452513;0,21189497412332198
FR;naive;1_week;12,464442169818577;0,06486158070771327
FR;naive;2_week;23,646549974610963;0,12171601256409237
FR;naive;3_week;39,3377446872903;0,19519248465519706
FR;naive;4_week;49,61036125056912;0,21781862163248303
AT;naive;1_week;17,095155176541933;0,28052940543582094
AT;naive;2_week;20,23789178392719;0,31896726580847584
AT;naive;3_week;21,50640047324081;0,32638608442989736
AT;naive;4_week;26,399062093324783;0,3754443734658052
HR;naive;1_week;14,851669834577033;0,07897918269188493
HR;naive;2_week;36,758146131560835;0,15865931100314634
HR;naive;3_week;65,4772722015;0,20773974685226218
HR;naive;4_week;92,11780661163931;0,24799985430711144
RO;naive;1_week;22,85928916796338;0,1038466758189015
RO;naive;2_week;43,17480348662351;0,21362750371280856
RO;naive;3_week;67,35405769526102;0,25939682921666074
RO;naive;4_week;77,59249921632161;0,26799813191029187
GR;naive;1_week;17,25077570865652;0,12427149537079712
GR;naive;2_week;22,061797271402913;0,16999179534722822
GR;naive;3_week;24,25827269763123;0,1787558284338325
GR;naive;4_week;25,845962835406507;0,18406733754666638
HU;naive;1_week;14,779263806477912;0,08871762764565327
HU;naive;2_week;25,94782123036069;0,17896401741449294
HU;naive;3_week;33,78031876162656;0,242944476974179
HU;naive;4_week;36,153067428754916;0,25150913286625054
IE;naive;1_week;45,48773548792918;0,17150987806608814
IE;naive;2_week;73,80430227279737;0,19210534778146113
IE;naive;3_week;95,60107972786352;0,2694612859132418
IE;naive;4_week;114,5121182908223;0,327032456611922
LV;naive;1_week;38,522360220476365;0,08534120902112009
LV;naive;2_week;113,2745433107079;0,18079335219740977
LV;naive;3_week;129,21411431037964;0,2510541039129649
LV;naive;4_week;131,83517234731335;0,29049331730525507
BE;naive;1_week;40,32689197309736;0,1473008368875879
BE;naive;2_week;43,06118501381377;0,1474100098489723
BE;naive;3_week;53,56564797906456;0,19341513278842726
BE;naive;4_week;66,2688797713697;0,18381898858084098
LU;naive;1_week;51,18714130977038;0,19898096448820904
LU;naive;2_week;55,57334613589086;0,1783092571607703
LU;naive;3_week;57,316268849903885;0,20669495969268437
LU;naive;4_week;60,21677575412073;0,22620999501399355
LT;naive;1_week;24,226414471949226;0,03920555213497481
LT;naive;2_week;33,812259432279525;0,10112805620153299
LT;naive;3_week;52,692955006556716;0,13898672694667258
LT;naive;4_week;75,57332240349912;0,16912895343105153
NL;naive;1_week;37,57925944503594;0,09928069900010024
NL;naive;2_week;45,28491465289838;0,15105567967352385
NL;naive;3_week;54,61757915164296;0,17526496618545204
NL;naive;4_week;59,812050372761206;0,18296972124283004
CZ;naive;1_week;21,332406449582678;0,056975175415627674
CZ;naive;2_week;30,335429525923345;0,13377875294775418
CZ;naive;3_week;43,71407232808189;0,16232610339735565
CZ;naive;4_week;57,26706992902001;0,17191719250438672
NO;naive;1_week;16,709333747207797;0,1394005354499561
NO;naive;2_week;22,447131563715025;0,19417099782414368
NO;naive;3_week;30,570000866624063;0,2608194237128007
NO;naive;4_week;41,93919962239938;0,36959234453538864
MT;naive;1_week;24,40566078534291;0,16626035938077274
MT;naive;2_week;23,368258936916185;0,16065267024802093
MT;naive;3_week;30,15759792624444;0,18420855865203783
MT;naive;4_week;38,96844193477;0,2092100619367151
