location;model;prediction_window;mape;nrmse
SI;naive;1_week;26,541870170550514;0,09742865575421458
SI;naive;2_week;36,797487254759154;0,16596698378461383
SI;naive;3_week;57,10558524691072;0,23257106221243323
SI;naive;4_week;76,84883170362663;0,2829055252881772
DK;naive;1_week;21,132313035024;0,19178243715013485
DK;naive;2_week;21,083067870013394;0,21713128466553688
DK;naive;3_week;22,352732534562016;0,233925079007862
DK;naive;4_week;24,593908128342612;0,25481507189602187
EE;naive;1_week;12,586666436558685;0,10488822814591774
EE;naive;2_week;18,847098944708975;0,1540645371903286
EE;naive;3_week;22,336404851557813;0,18922499031083712
EE;naive;4_week;27,075323213583534;0,21991037054102924
PL;naive;1_week;14,6517548397962;0,11867840837920408
PL;naive;2_week;20,12484996451723;0,1419013153785169
PL;naive;3_week;26,788402527268097;0,17475990463729138
PL;naive;4_week;30,72478962897917;0,19271471709550417
FR;naive;1_week;17,67890342923486;0,10282269578900284
FR;naive;2_week;33,00043783133345;0,1836670430763325
FR;naive;3_week;47,51799544494851;0,25238946641692905
FR;naive;4_week;60,202879951217255;0,30148448240348896
AT;naive;1_week;18,046410780195675;0,2911039838909955
AT;naive;2_week;22,298311139703884;0,33396037480110924
AT;naive;3_week;24,58697043775503;0,3526684169697914
AT;naive;4_week;31,404060091206336;0,4123313526770293
HR;naive;1_week;17,426732643059538;0,09809243463463176
HR;naive;2_week;36,65652363616132;0,18047694689126298
HR;naive;3_week;61,67364446620307;0,24819480491398124
HR;naive;4_week;88,62330968819143;0,2992325573543339
RO;naive;1_week;29,072378206998184;0,10392031652896078
RO;naive;2_week;45,28399942882662;0,182180292377958
RO;naive;3_week;73,41825378132343;0,25067267046167185
RO;naive;4_week;99,92003365532803;0,30473464717910126
GR;naive;1_week;16,058934692958218;0,1266855843368233
GR;naive;2_week;24,264374892844014;0,1786245156724087
GR;naive;3_week;29,229390595151123;0,20673418140235483
GR;naive;4_week;33,80889627247508;0,2308693985161864
HU;naive;1_week;22,932199179892567;0,11718406408817594
HU;naive;2_week;40,23400374666243;0,2012157432148368
HU;naive;3_week;56,188652793203076;0,26991985762987514
HU;naive;4_week;72,44348262997858;0,3283608363135598
IE;naive;1_week;34,68662548605474;0,10644614613127751
IE;naive;2_week;48,63101504242046;0,13689580619758251
IE;naive;3_week;58,45583885300702;0,17864294026963978
IE;naive;4_week;72,51664312572989;0,21390589347987587
LV;naive;1_week;53,31776356559473;0,10376660649073323
LV;naive;2_week;89,62559778754296;0,19048339726553593
LV;naive;3_week;133,65002094124685;0,2751463245899436
LV;naive;4_week;194,36873985168825;0,3505152046662314
BE;naive;1_week;38,936516270974444;0,1328473575037474
BE;naive;2_week;45,59513464978817;0,17898839583650733
BE;naive;3_week;61,35200400346727;0,22091828740182837
BE;naive;4_week;75,6396539522581;0,2510082224808513
LU;naive;1_week;58,8293563884422;0,2370659644977792
LU;naive;2_week;57,07877889885135;0,1883639084583321
LU;naive;3_week;74,00272522339628;0,2579780271643649
LU;naive;4_week;77,98895365190138;0,24560743434724946
LT;naive;1_week;29,257726612962344;0,08634564051142692
LT;naive;2_week;51,81035812317313;0,1619135473373247
LT;naive;3_week;77,66268874168063;0,22391005914142506
LT;naive;4_week;110,57002531165222;0,2696654716352907
NL;naive;1_week;36,10605825082577;0,10765653543065648
NL;naive;2_week;41,479693392823805;0,15464214645550844
NL;naive;3_week;53,40170870703142;0,19025418888963663
NL;naive;4_week;56,7080105473184;0,21793203794759478
CZ;naive;1_week;26,43538088642629;0,08714802344241854
CZ;naive;2_week;39,67135804856165;0,1595445707646626
CZ;naive;3_week;55,319610137917365;0,21822635260412118
CZ;naive;4_week;71,43914383138987;0,26020980793458237
NO;naive;1_week;15,64016316074287;0,13726308367374124
NO;naive;2_week;22,75450167435686;0,16212992337612367
NO;naive;3_week;28,969195154764815;0,18120073249444751
NO;naive;4_week;37,32362838149504;0,21875778813602612
MT;naive;1_week;24,865981736921032;0,18427416131819177
MT;naive;2_week;30,133417420405383;0,2144648212058497
MT;naive;3_week;30,760336043044678;0,22926957504971798
MT;naive;4_week;45,99032944370238;0,28969432195115963
