location;model;prediction_window;mape;nrmse
SI;naive;1_week;19,347722936128637;0,09217866425350422
SI;naive;2_week;20,713521413632936;0,1032290831529233
SI;naive;3_week;21,733286759894213;0,12723829130795292
SI;naive;4_week;21,834857783376798;0,14010268309078125
DK;naive;1_week;19,776602767948848;0,186701250894828
DK;naive;2_week;20,92326011013653;0,21862629946837378
DK;naive;3_week;19,803763443524282;0,23643735659858128
DK;naive;4_week;21,014339880741154;0,24368861880946574
EE;naive;1_week;14,229242130645392;0,13142597058834224
EE;naive;2_week;17,13113303519925;0,16220685084767328
EE;naive;3_week;20,485164050721576;0,1916758285796564
EE;naive;4_week;21,97332441710632;0,20810257013234465
PL;naive;1_week;15,10750446141252;0,109339427652326
PL;naive;2_week;18,9913148377472;0,13158304759766715
PL;naive;3_week;20,5004334254983;0,1450748318729605
PL;naive;4_week;20,899067521394187;0,14856831993823696
FR;naive;1_week;17,24908389514942;0,09616274787098449
FR;naive;2_week;26,879413174955648;0,13488243853335538
FR;naive;3_week;38,59442422189132;0,1773346032563371
FR;naive;4_week;46,91534817926405;0,21598375225510272
AT;naive;1_week;16,539993176452768;0,2830757185202074
AT;naive;2_week;16,94999775912624;0,2980026262746547
AT;naive;3_week;19,41935555068212;0,32938002552114987
AT;naive;4_week;18,222997010884892;0,31820579771362956
HR;naive;1_week;14,630450733041823;0,06058809468679062
HR;naive;2_week;27,080957618788275;0,14169135882754746
HR;naive;3_week;44,43589061908803;0,23407293097586593
HR;naive;4_week;63,110350673661884;0,30098627504411585
RO;naive;1_week;33,70285311588881;0,15081456331713436
RO;naive;2_week;35,47613952224644;0,18312387095993432
RO;naive;3_week;36,259626258822635;0,2114903693628316
RO;naive;4_week;36,85490572877642;0,22545063640909602
GR;naive;1_week;15,772090878632456;0,10837194957396007
GR;naive;2_week;18,952222328238417;0,10785474491677471
GR;naive;3_week;19,79709715665485;0,12594320313807747
GR;naive;4_week;18,94431938511869;0,13360696997646299
HU;naive;1_week;16,820796686084776;0,11186037045486112
HU;naive;2_week;20,999907562528904;0,15502539356520464
HU;naive;3_week;22,85486419044381;0,1718449880084977
HU;naive;4_week;26,30655638237726;0,1967195417828852
IE;naive;1_week;65,93591993851523;0,1551408548014921
IE;naive;2_week;96,41495127727885;0,24481932313909321
IE;naive;3_week;115,1203960934994;0,3255526711075459
IE;naive;4_week;134,49376118203605;0,37278443666090383
LV;naive;1_week;79,40132061163364;0,18806902501366865
LV;naive;2_week;111,71019688516456;0,2444148672593549
LV;naive;3_week;118,79951192005953;0,28636626471225846
LV;naive;4_week;116,8184221068667;0,3160762279272754
BE;naive;1_week;34,45399856902508;0,09047960407769318
BE;naive;2_week;41,275444070821834;0,10419671465239745
BE;naive;3_week;50,94864634998921;0,11995880159114748
BE;naive;4_week;63,850104533182005;0,14913990650830197
LU;naive;1_week;47,75340897607545;0,17530503737186315
LU;naive;2_week;52,17079344003189;0,1792860054590325
LU;naive;3_week;56,30861947112851;0,1946809491623031
LU;naive;4_week;55,73767958752428;0,2025435059315328
LT;naive;1_week;32,72770773115284;0,10318463882527568
LT;naive;2_week;42,833204778889;0,14564580302063893
LT;naive;3_week;49,750907073060624;0,18219064868645587
LT;naive;4_week;51,5220416141397;0,2000685308888528
NL;naive;1_week;35,95212782945218;0,09629827074075475
NL;naive;2_week;41,5359807006321;0,12070195222821181
NL;naive;3_week;46,50065235487339;0,14987035141924945
NL;naive;4_week;55,641316054372346;0,17094913780111592
CZ;naive;1_week;22,169907188388432;0,07634212428800029
CZ;naive;2_week;25,625699365497557;0,10876233069222312
CZ;naive;3_week;29,355890980188736;0,11230463888748571
CZ;naive;4_week;30,404887926255302;0,11730029691861395
NO;naive;1_week;26,10029872414252;0,2575326836104785
NO;naive;2_week;39,623688913054494;0,35453904105475387
NO;naive;3_week;57,3079021245655;0,5252864167135417
NO;naive;4_week;73,31770573981412;0,6504812010902412
MT;naive;1_week;20,834764454236645;0,17618735788105197
MT;naive;2_week;21,22566064359773;0,1858562071276965
MT;naive;3_week;22,40742871483782;0,20248832979071696
MT;naive;4_week;24,583812889692418;0,21931244988242185
