prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
2184.3391004505465,2194.5042105371385,2107.270936451381,2102.6481012195404,1968.7
2030.878149163382,1995.4957770652168,2045.7004038312393,2226.737204946731,2114.8
1861.3858105003715,1961.4747973828996,2391.7489694991336,2308.882954097202,2094.0
2073.248948773822,2454.3434635235008,2916.747119931176,3348.616484699068,2090.6
2354.8077175749513,2598.7315850197924,3097.1034325072274,3583.604212020875,2248.4
2356.6012943321102,2612.9485825834727,3208.9364988643106,3456.372898581007,2184.9
2443.674275147938,2767.710306993756,3312.4948188687285,3261.821225700016,2778.6
3084.248232054332,3251.9446106385712,3263.7397383844277,3043.9187709557677,2395.5
3275.0361633080825,3416.960103222075,3404.916862513225,3182.0218834995094,2834.0
3675.165256834286,3807.870713864281,3628.9638710417976,3305.467887234643,3242.5
3847.5781901555138,3795.6045556530967,3434.9828568231496,2908.8391023603167,3209.8
3756.767662368894,3404.9342243608758,3174.2408311520544,2696.2111729871963,2238.3
2712.595612405687,2661.657710314311,2664.142435030982,2374.6064536190943,2420.4
2674.3968708594184,2588.1362242293767,2512.941594716874,2600.949785410562,2343.0
2583.562386955063,2526.004242143558,2643.167291159856,2685.855392479548,2156.0
2472.744364535542,2639.5353686785015,2675.691938135299,2619.344286762297,3180.1
2850.6322335291043,2852.2508768868825,2706.5747005700005,2557.8210472439528,3161.0
2905.5148942195347,2697.866311897156,2435.1683350311755,2250.9439225117067,3595.8
2884.0076627202116,2616.402358367919,2464.6402388121587,2185.6227453956762,2634.8
2683.446450409421,2350.470257016863,2281.2271996295253,2182.809924394109,1945.2
2279.8573873237733,2154.5891166294646,2261.98957507748,2224.173504786657,2338.0
2276.8662996602134,2176.3007576421096,2243.3049882762857,2227.23334511324,1790.0
1992.0273846384691,2041.1572687241692,2116.8927885618655,1937.4156414962033,1798.0
1855.1674461135865,1786.5505678502034,1811.8783106485394,1787.8108735584071,2179.8
1805.7699901962287,1816.1882419677,2010.4229483473632,2068.5105582297188,1629.1
1632.368006292253,1572.5852868490672,1692.455826624916,1816.4881408911199,1512.6
1829.8962248912985,1908.1348414478605,1996.8182778979105,2018.447273457482,3214.2
