prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
720.1038571580293,788.7764567172904,826.0134133728694,868.5933575708323,819.0
805.1206872498716,856.6193070820311,864.229911984355,869.3555764388377,904.5
881.2010945936378,891.2743642320348,901.2531746571415,901.9862330431844,908.3
897.2836627452423,892.6806036790217,929.4810758044167,954.0196129365296,973.3
923.5627795708264,934.123041491397,946.1268644620366,996.0155435210634,1016.4
1008.6559816223893,994.6335599576418,988.3660257189377,1031.4755456228618,978.3
949.0157634283851,974.0985500804352,1030.6210530671547,1101.0476617386853,1134.7
1121.272453006731,1208.5870643673861,1190.3190108661956,1155.4038043242233,1269.9
1461.8461123904278,1490.1586299317817,1410.835054416628,1336.7271405770516,1316.9
1429.605338212905,1290.925211572553,1144.6857310392902,1032.5972661090266,1427.1
1454.4524993377595,1271.8452891230475,1071.375996208484,1075.9906673597418,1332.3
1236.2215156690152,1203.911196004008,1008.1450347769272,1040.331437801133,752.2
928.08028553819,950.781291586375,937.3818635551396,1038.9977726640861,1072.8
1060.3803053287231,1102.8859041423418,1198.7849867187201,1162.0299988040344,1126.7
1209.143469856205,1261.1427253877412,1298.6316559702555,1288.9257036119627,1205.1
1266.358734452915,1370.3845008259614,1292.2674316073178,1195.6356621501366,1419.7
1429.3242636051198,1297.2900055152234,1198.1634660685877,1103.9877879239205,1601.0
1401.9281706620477,1268.283705499778,1135.7435804962436,1066.500196660356,1601.4
1399.0822528289314,1224.1774676656348,1086.5939187995396,1001.6818323511861,1451.8
1315.412262775724,1153.970645965672,1014.6217038768237,964.7130225357231,1251.7
1174.4467273181733,1021.2750577956581,895.7814841052189,760.6363335650997,1182.9
1084.9249387252905,964.3860327752161,847.9320043954955,741.7094432038587,1080.0
993.9533921161233,871.9193570532115,763.3429074752447,697.4951854218323,1027.5
965.1500475655829,817.305844052409,788.5501263682632,734.3538507808416,1031.3
947.3684796345369,850.1329350703087,800.6952752236605,771.1656702692568,871.1
832.6900856062773,765.6198861195217,703.2319386652312,682.2946448632737,888.5
808.4966138410715,759.7820381034899,699.163012793405,655.7738831312391,902.5
854.8381544840042,777.7534880546293,734.2592609859239,701.354449315824,900.4
836.9308877945144,798.3043774201949,750.2468772028664,695.421292799939,892.6
808.0052991592156,730.3436971829859,697.249757641769,655.5913895810279,750.3
728.3349298073041,691.3065774164899,666.6685229795485,635.1919952511697,713.9
686.6858625605747,654.3808142352742,638.039406168972,601.8652241291695,794.5
700.5892977216765,659.2789230982319,642.8043414014787,609.418968783402,759.0
701.347123314535,666.2315983758099,638.4609250467585,596.3508730736936,734.1
669.6799814063435,643.28641338748,619.758159364181,589.2355748659996,710.0
664.167160987274,643.9228718724985,627.9318069328988,543.4532033347479,714.5
655.4059309631831,629.1700902220709,556.5165369475184,515.1176695999873,658.3
623.6849787084184,565.6029082425158,447.9598534436254,463.9144551648337,608.8
576.6208455020694,519.5824450822308,464.02540205442756,436.3271566088128,465.9
458.5993641061351,435.03569782576335,412.28904860356533,390.5478800304354,471.8
439.0042517636242,418.43229132786854,387.37607633495674,371.94046123739287,458.8
423.07935920186986,401.3979908155301,375.7877062632661,374.93210652954343,451.2
417.4209292025073,366.18019684251675,367.01263335431014,359.57352434940367,452.3
387.9522382409517,371.2562248848428,361.83541029865245,376.56192111225386,432.4
363.2176833633223,366.5828536970168,372.69676622707766,416.1591214254087,413.8
365.3656733687273,366.6956706773134,403.3471888598355,544.9677986438085,435.3
398.9707501428071,430.3923791178983,549.0453866707277,696.268359616633,461.6
462.57951086203184,541.7695297361101,614.456489820384,706.7796294544128,510.2
580.9497623726617,665.7162087884326,714.6953533583473,768.3396909390292,641.2
661.6381247060345,688.8809557250216,766.1404386097753,791.5240112393304,731.5
725.3063171916281,779.5124744371024,852.9343629201051,848.5119960520124,908.9
860.358595884355,935.9888917164711,924.2715124806917,928.7278723253153,1013.6
1036.268163356745,988.17670848518,974.9731003202683,933.1424516058371,1086.5
