prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
89.24495958658936,99.8178737013309,107.70982389852736,115.04854280651256,95.2
86.36616597387045,99.47017725406099,108.96525026832379,114.29082201647978,93.8
91.68212285212383,99.06325693332303,108.189812258653,120.4998847216913,123.7
116.05549085012822,119.02008703395917,120.72441712866208,128.74860927363235,138.0
128.2802578051878,136.255534544192,138.41704198501984,135.46374059274874,158.0
148.48856829041463,155.10865960580233,160.31924525601596,146.40671548295336,139.7
149.76518933035834,155.15730939716002,136.35465018219165,141.1936314123245,173.7
162.15570643253042,168.35476197547763,176.87223247199597,173.10187616559236,200.2
183.9883626478403,192.61094858389058,185.13121373215935,175.39850854049405,230.5
201.89082766856848,173.90293198602166,170.6316796798479,153.78428859744,244.0
196.02456775930187,177.15730673435,153.66143382876263,149.01117515037168,214.0
185.96808053025737,171.2868263967605,153.26386642491104,153.06049598853173,197.1
177.47850142200414,169.3729175984065,176.30975658467628,177.24760917780134,179.0
179.97539622788204,192.39344080655533,190.30484418344673,186.15263258502594,203.9
197.46860280658674,190.63565309807612,186.4092704400259,174.0917923062339,172.4
198.95339053112716,180.4240210617458,156.75297524116158,150.21739146759398,204.7
201.01332198774315,165.7913971390641,150.65797195317248,142.55316653123327,171.6
176.30384005974963,157.978191349514,152.9321395520709,160.8115734945819,181.0
173.05055412729405,167.74166451991132,165.59217608145934,148.60832380147966,159.7
168.23051569011128,156.1660864721301,150.6902306897294,143.00659955145068,144.6
151.90782998371122,137.42419237663358,134.8403094856928,122.73914498850775,148.1
138.60966192302737,134.37280622278703,126.47890454829093,128.23058716584802,140.2
136.14271499148626,131.07174318929708,130.20212115583345,118.61078458360964,109.2
117.21890056450678,106.89485699059844,106.02874501551969,103.27928882893683,123.1
123.17209515382152,107.12769076702509,103.66282513800428,95.00348483336542,154.7
135.20734798308504,113.89885294526513,122.33629648111736,111.36515455121001,144.6
131.41080450279955,134.38083887095613,128.4452945864087,115.00236887756435,122.0
125.56927395991191,113.19571971552779,103.2683471709774,97.35403323534497,113.2
116.559922884101,95.96940947225121,96.79571677443786,90.61618793932519,130.3
119.4778088117251,105.78639352178027,94.38230771142533,97.6021751705733,117.2
114.06613695267053,100.74127908207605,92.03870895157732,90.83319776591479,90.9
89.3189797666379,85.06157672177797,84.25942210392536,82.93013269581526,119.8
129.87202181625597,105.0644063035145,91.47958895291602,96.70513428481891,87.1
99.82772062627095,84.24809849424624,87.47803264860126,85.87023078412447,79.1
80.84707444984953,82.8466446904228,81.13424682873082,83.5808113763219,94.3
82.58725456770641,82.64822827348944,80.92206574081997,83.32513098465864,74.9
80.76133976857625,77.36331584424067,82.82856796207126,81.42216539000364,93.1
80.99427669268566,84.28813183171411,84.53089579266184,82.76209941061306,109.5
115.06507500329097,101.73061568530537,92.53932788789083,97.27727406098697,73.1
87.56518157185448,81.80784708989543,86.57082538720128,82.34993314084969,111.0
125.94247728478719,102.04116034463232,88.86861975433712,94.20903180252567,169.7
151.99016438774558,146.1350998964096,157.1513434980786,159.30383930781537,140.5
164.4214822021019,159.16950447370954,150.75489295952866,147.81956459438234,209.0
192.55260081472582,195.29364064649687,193.2330257252359,187.78261139954463,148.2
195.701329242994,192.42909196251293,193.7151687793277,181.7956060434,103.6
144.7111653061546,127.74600501296018,119.2335037368122,132.11992180760356,117.7
174.33778153952568,126.37325248002522,104.19053459885974,110.42195334320424,181.8
179.05391724233502,202.12874860769742,236.28012644648166,242.8764253029293,95.6
155.39940578530332,176.7658738797822,181.47069075434555,188.14864774324775,111.8
192.36658791729752,161.07335781007205,139.63158676447188,165.12647051154443,118.8
188.59395503405915,140.70570080824567,136.01169768340935,143.47222090674177,149.8
151.23930936245688,157.60954602127293,149.18317424238023,136.03399970240173,102.3
113.69636896962972,116.79170410763268,119.14606238176782,120.2943806741197,154.1
