prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
659.3726696781565,660.5835257646904,650.4476803209133,631.8454819850211,397.7
619.0370191104067,681.4533738268776,714.4079120765106,754.8075835679374,457.5
640.2895147434026,745.355810960571,811.678953199933,974.615046563357,472.2
698.2128410403911,821.9398475078382,997.1446463908549,1173.4980551242313,434.4
767.273262484989,940.090533854884,1086.7219811639056,1198.3745903382776,558.1
899.0554673130071,1026.6038397484053,1120.852819967416,1150.7939500112886,572.0
885.62514369423,1014.2048182674716,1101.6110379344873,1123.128551340175,614.4
919.7123807235887,1039.160190495712,1110.1233322933547,1107.7264543650265,680.7
975.282975445752,1093.096097381548,1200.6900026781145,1247.3809588977608,544.0
999.7564926502533,1126.0295055814647,1305.589047764815,1410.323797204049,809.7
1071.8125978930489,1252.5278378165501,1486.708662707818,1543.0811934177045,915.4
1154.548033539104,1322.7814386956893,1486.2512345069058,1494.1682364548335,958.4
1179.7958916918974,1338.3159660577728,1530.0658034826909,1540.9199406919786,916.1
1202.7129175063053,1374.3220091846745,1532.928124780601,1512.152274287172,941.8
1166.6544115292547,1294.50817553462,1426.0564355613103,1378.7614118108193,727.7
1122.4865719829866,1220.1039602647236,1323.2179853443702,1306.5728095215052,603.7
1054.6157724276202,1149.5064446781741,1180.7738930754267,1185.9188852143143,564.0
989.4033104423087,1132.8425198270386,1185.9148094784252,1178.1653025102944,573.4
934.6868101649012,1055.2306640914396,1173.0155299442883,1207.6270609531541,561.6
905.2234601590806,1050.9913064910825,1124.6374411580084,1172.6860087532273,580.7
911.0214959452229,1032.768548972908,1090.455476929125,1012.1737960823955,562.3
895.4100569781089,994.9923056315075,997.971182702498,877.896449793794,583.5
844.6624019829758,896.0275452601471,880.4364837664281,784.335074414203,586.9
749.825310751375,752.7646851031047,726.5913131386501,659.3201265278065,540.6
742.8069197602895,792.7528394416786,784.1116232253909,804.0044103880447,422.3
668.127120760362,732.4165788258468,827.2523872498842,892.6033341054281,494.4
653.8712085539768,695.8765973485044,735.465222861419,690.6301255282126,466.6
633.9913447635896,701.4395465938717,654.1685751128488,595.4192489384975,467.0
666.0189193147668,669.3010614207191,642.5348075153898,590.9153784601011,485.2
574.6987615279046,610.8433919234102,610.3754919256419,590.445711507446,431.3
544.507458658676,554.531740089215,550.1256903189458,506.10798774935574,488.5
571.8088407821587,584.7508326091411,562.0580842041244,539.6824241331105,461.6
552.7189990243901,569.9332134591689,546.062276063015,501.204841746568,444.9
486.7148026461448,485.94461915261365,481.8710539469832,464.89675226019017,419.0
443.22060925644064,443.66875198825875,479.0903440485917,460.89039904524884,424.2
481.6535556615416,484.8204818848378,510.19266372486476,485.67833484579205,407.9
475.0493234334915,483.75366072391665,516.7149076000115,483.2477611978507,407.1
436.221615606128,455.93110007943875,482.3052053600857,477.14107749330344,380.4
414.14499499071445,422.534851408744,449.0488319919632,453.31650416923327,366.4
396.5442570253792,405.8968138467591,420.81372345167836,417.7647320060028,325.7
369.533618878188,382.9152469637839,401.9666696826767,413.0053501984648,295.7
354.5532953355768,366.76772790737584,383.04000419415195,391.12779331747015,268.1
350.1107966408912,361.52694516143646,373.474032991539,376.26350137145744,248.0
345.34298034861075,355.84292456803996,361.3645677779275,374.79018196526454,233.2
341.88439587104307,351.96023973439503,363.4722398965622,400.34493389194347,201.9
334.71515623852224,351.67188645877314,371.3401360920867,411.01007251183205,233.2
346.6586324750895,372.9910828651363,418.39387739838963,489.34976895567206,244.2
406.0841701567877,432.227894227459,505.418792481874,545.2256814231056,263.4
441.20818332969117,473.8244062217278,518.7886416462302,545.7711146165663,298.9
465.98944867187663,523.3793392828433,568.6526615806553,571.4897739385945,425.5
507.45897142862515,571.9522865029281,592.630879569875,589.8790703196362,504.2
578.528827481885,589.046120517029,595.3427498479633,616.1268268096418,526.6
624.4290891856605,677.331235364024,669.4312543425162,712.3963308756189,490.6
