prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
1561.209541037115,1897.7546152967977,1995.5643455427871,1865.0953611002114,1964.7
1625.775056685433,1954.9920201306363,2041.8954595940002,2063.271547404213,1746.9
1630.6923566318094,1996.553518121078,2112.3138515661335,2136.14858719187,1295.8
1742.9044311307214,2020.8373260544065,2150.867862495301,2184.6911846093067,1678.4
1798.7230926431323,2059.231669030149,2252.8127015741743,2308.7407405591694,1971.4
1951.5896049554558,2273.2157523782566,2376.3509545854845,2385.8618701593314,2337.6
2313.9737605383857,2421.7037019775084,2375.155701066274,2271.4407539801223,2577.5
2404.9857069149934,2396.9674375070244,2345.6079130919265,2243.8459246729735,2710.3
2343.114007559641,2254.1559873540964,2243.0801189477656,2152.4347085201166,3050.9
2424.3459940263047,2247.988700007121,2179.397594776698,2079.262708477884,2516.7
2478.8477037074986,2204.2614298371814,2107.401316623748,2132.4498096887064,1573.1
2255.174659285773,2226.0833442729154,2116.81398423657,2187.697165991933,1821.1
2218.4836680042445,2273.5010364009313,2334.5584144965715,2474.3516617352593,2035.7
2198.1935878258473,2373.4485728437635,2481.5917357755934,2484.2665265624473,2408.5
2488.8642324542197,2640.1973730815116,2589.568742589314,2377.2980789845788,2796.8
2507.52743595644,2412.431661371558,2247.058178535098,2171.761329047067,3026.1
2453.005701718043,2319.336885142008,2270.9493171900194,2174.8445042874773,2984.0
2364.34415251305,2212.0523203468265,2143.1885280764136,2079.7971531013604,2952.0
2223.4941477765274,2143.3036289924075,2017.0771415337467,1942.5511121821326,2600.4
2206.354235931881,2105.0086013030336,1979.6408104187497,1893.8763107529899,2402.8
2141.4373554433187,2107.437465191971,2016.0566306125702,1810.608371316577,2027.8
1965.1164183516726,2045.2572835908252,1889.5409717470206,1726.1111135178826,2145.7
1873.6219045819494,1897.072288379487,1770.118245831577,1671.1557113756453,1666.7
1624.3322618778773,1548.3737359192862,1597.13130777136,1610.4574387703553,1247.4
1437.400230801955,1434.8680669795444,1559.2557481470367,1571.0604619717071,1332.3
1491.7321416123962,1444.7269511881022,1541.492316103144,1519.764729515439,1370.4
1446.9302220535826,1495.7265456507296,1619.7098524104533,1587.1416429135757,1472.8
1404.0713595764464,1452.0937815854506,1621.6514439216608,1599.114087362138,1264.6
1364.0222197199569,1439.2419076160245,1628.0368214720575,1624.5572475111217,1227.2
1315.9538878955482,1420.7608846445237,1594.9200702687926,1629.9649054102815,1183.9
1542.0807480005487,1871.8584876466782,1872.7167203674323,1812.3668154199993,2353.2
1732.1404826962905,1957.8278488165781,1968.549746803163,1806.250293907286,2191.8
