prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
18834.776041511683,18013.699991630394,17904.4001456741,18183.51165323325,18700.0
19541.45713235341,18199.521165729664,18155.076332552097,16959.079928884035,17800.0
18609.540826936598,18178.69011550672,17311.522411156075,17597.900482873272,18100.0
17772.694877203045,16898.60188450398,17673.41776434756,17482.671196092175,19900.0
17371.14640465207,17630.603731515093,17573.875082745755,17838.82330709921,18100.0
17206.253884274618,17085.963955478,17695.975480253022,17519.704186698593,19400.0
17388.525162197395,18027.526357685096,17964.085300481533,18274.37239155152,15500.0
17044.999019975654,17171.65175377616,17610.91382191581,19412.496278219325,25200.0
17003.636214042584,19284.549059794874,19415.593209097835,19763.865896472813,27500.0
20608.862268415018,19638.350234134818,21224.8143573317,20124.733950053564,21300.0
19286.83776529051,19805.96547898649,19707.205264002838,18578.29261778933,29000.0
21407.920425943765,20561.33444875386,18524.397207204565,17068.092559049142,34100.0
22058.49642611237,20625.644548321477,19230.15985751721,19461.567540815253,23800.0
20539.69585414585,19834.968307656392,20850.968527068275,20677.956404053464,13800.0
17652.38776501276,19315.71786339721,20029.69248184098,19628.506181506178,18600.0
18968.48386951923,20243.643584743902,19203.366460411733,18910.8980160461,18800.0
19415.770975385374,18971.55381816936,18408.63945588204,19534.70045764684,15000.0
17693.93988602775,18149.884552539617,18178.150455437397,15353.482426094923,16900.0
17957.71598709155,17246.707290527374,17476.22346965615,16578.54462374349,37800.0
19029.730521914382,18941.266954192928,17327.446925759254,18885.88666462622,20200.0
18938.580388272134,18564.549169070477,18029.89843487092,20294.81070757652,15400.0
18819.002101838,17553.17962301823,17941.195017988794,18426.589320995747,20100.0
18506.633026531217,18805.971871317815,18255.60494114518,17700.948104377665,16400.0
18301.44490613527,17332.52995920032,17184.142123712074,15019.962771816456,19700.0
18054.4635097736,17228.759660328615,16052.167373643839,13093.707533840423,17200.0
16340.631974263564,14697.759379309591,13453.736066354544,12282.412418653681,20500.0
15476.002213724865,13758.418129463977,13044.061408007452,13306.486806347368,23100.0
15317.209992784996,13512.793953823955,12918.306965623207,13739.549251212447,13000.0
13720.478577413565,12740.175819450587,13642.577008583341,13491.956638713591,14400.0
13489.856795063257,13955.17034902869,14213.351905389783,13510.948566589637,11800.0
13307.69391816474,13553.903680022733,13556.491373221974,12652.314154119802,14900.0
13820.8330544334,14184.576532574747,12944.366114715662,12060.37657207099,13500.0
14516.212867838953,13945.648986436676,13051.908791999193,12737.936032233087,10500.0
13776.902190362833,15325.363114706066,15817.93100867141,15600.22253963357,15100.0
13959.695083348024,14852.070808147815,15224.163667679066,15514.929915917413,14700.0
14418.572942486524,14479.493040009525,15402.625228390305,15429.96714535464,18000.0
13280.420628554448,14135.489285714282,14169.60687307861,14767.204707792209,12600.0
12933.072261643585,12955.639666379371,13073.13169270343,13376.456944444444,8300.0
12650.39772727273,13291.466361124258,14146.546830130652,15157.4145879937,10700.0
12795.6989752078,12331.559951159954,13841.800937950935,14180.865245946863,12100.0
11710.211421095248,12144.910317460322,12533.072790494532,11741.198611111107,11400.0
12005.764386185709,11729.998329156222,10866.902777777776,12228.828070622192,8900.0
10237.568570889896,10015.461904761907,11043.605957930959,12297.579297173414,12900.0
10072.95772340405,10582.823412698412,10785.953693528696,11585.126857864358,7400.0
9677.762160633485,10467.05634920635,11141.405527805528,11579.80158730159,9300.0
9203.008109129434,10391.683477633476,11246.529442779443,13626.085281385278,6400.0
8849.850255871585,10460.821176046178,13212.911263736263,15212.938492063491,8800.0
9386.878033649362,12730.626334776334,12328.415445665443,16241.966363211954,13900.0
13376.689990063134,12484.450793650794,16434.840044051813,17806.118212197154,17100.0
12676.750515334339,14235.316883116886,15719.814947089944,16892.425793650793,11300.0
16177.301299586936,18476.413017429193,17172.420202593737,18220.40704011331,15700.0
19181.599895624484,17994.346350939675,17792.05580363892,19092.055229017784,17100.0
18430.295763629354,18312.05548987252,18196.186168253815,17416.9828568291,22400.0
