prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks,value
4228.137184316793,4571.7030373551215,4608.839210379391,4734.585199821799,5300.0
4906.01171682172,4903.763577548018,4726.937720515413,4700.788906318938,5900.0
5326.088978278749,5211.2456105527035,5155.995901205006,5020.728360277876,5100.0
5197.612183481645,5298.991675563128,5015.233110901169,5303.287507781242,5300.0
5314.863042346177,5324.872522447621,5153.551124260233,5288.88781876027,8900.0
6329.6473878177085,5813.248979574618,6234.651831731164,7003.278611201898,9500.0
6580.372954640387,6910.085564294291,7930.8303154409405,8697.67422019902,9200.0
7703.0847231852795,8668.58544528634,10015.32005807681,10169.849513941039,9300.0
9620.869508323762,10306.351782906826,10829.840359165726,11106.133574558491,8300.0
9181.324729362954,10114.769473592494,9911.774509862153,9190.892584003632,9000.0
9609.501593989567,9980.655907404742,10170.188855917932,10542.590064748374,7000.0
8482.981069211713,8620.668252879332,9122.014012269428,9435.392870796262,11100.0
8908.308515208275,9115.019697643947,8962.13438443839,9467.079455214625,10500.0
9604.070397448673,9420.75651779016,10156.02327752722,10659.933651361529,8700.0
8520.044459582388,9065.307180452295,9672.79990190079,9816.77021285101,10600.0
9393.002038310888,9645.87771997265,9640.472772751655,9265.501524244899,10000.0
9571.199403087132,9973.86611071117,9387.640041725199,9303.820831803623,7900.0
8178.895103686069,8574.531499218696,7737.191257193181,6702.503016784409,9900.0
8792.090143959478,8568.837569385545,7380.369550339351,7085.478646108647,8900.0
8765.782223814826,8000.411016717288,7580.313961376357,6664.040609043015,8400.0
7795.88329925655,7583.304592864396,6040.434238273203,4900.122517601089,7300.0
7175.776006490939,6069.946834238257,4852.372351506501,3892.082325334691,9700.0
7192.96355666299,6143.256983213846,5334.299034412839,3888.339340015387,7200.0
6259.388565422981,5396.218702682934,4422.046832799958,3418.156792080952,5000.0
4873.002370449783,4249.201443715211,3684.714833467778,3379.3733289224906,4900.0
4015.7453901487384,3433.556601831236,3375.4245944831264,3585.023661847468,1900.0
3058.912740569337,3132.7129857410355,3299.858771554758,3241.8513624940406,3900.0
3239.3652578482074,3133.01982194674,3385.8667764863453,3552.2059282488394,2700.0
3224.2492881487324,3337.399426811822,3440.126310243831,3523.7847583448847,2000.0
2960.4548381689046,2927.8461607449963,3359.032854758171,3525.8911644353147,4500.0
3061.011408632353,3219.823289373476,3338.4495512464077,3524.6617556569586,3000.0
2930.3427433589322,3466.5309724519084,3421.611409157713,3693.3606830851822,3100.0
3867.897570630952,3770.128952544001,4261.961464938707,4564.201952400704,4400.0
4108.8083108111,4354.426453436967,4582.132814791907,4590.443072391325,4600.0
