truth_date;value;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-22;1554,9;;;;
2023-10-29;1638,0;;;;
2023-11-05;1471,0;;;;
2023-11-12;1800,0;;;;
2023-11-19;1915,0;1800,217440131637;1777,5594958799168;1673,4821822844915;1681,3207261258997
2023-11-26;2068,0;2138,4075231139377;2243,654218304567;2179,2208111720693;2002,7294195251595
2023-12-03;2073,9;2439,0585910722534;2447,505660106603;2478,131184798536;2098,8040590868786
2023-12-10;2318,9;2264,4063871229782;2397,857201359041;2293,5622509464706;2279,7675885489457
2023-12-17;2529,0;2288,6217541545343;2218,0835252275187;2394,682109132868;2388,129573326873
2023-12-24;2229,0;2129,444674407949;1851,886078428697;1887,4173789539575;2111,3603068398106
2023-12-31;962,0;1381,9797239336676;1346,3625457432715;1270,533595708304;1269,7065907057145
2024-01-07;1646,0;1263,086705185624;1771,019718749655;1825,4511187268856;1684,3587719509044
2024-01-14;1637,0;1668,757875298167;1555,21405056635;1971,8336359458071;1914,6406957410072
2024-01-21;1768,9;1675,874879860681;1879,09383665846;1648,6255150117215;1951,3489323326976
2024-01-28;2028,9;1966,3555715638624;1918,4395720691427;1907,64724041067;1617,1088703175008
2024-02-04;2168,0;2080,2029370570085;1899,3772979078988;1847,0335282761212;1821,6434864774149
2024-02-11;2068,0;2145,251554959264;1997,336889810508;1907,1361663335283;1846,320369158105
2024-02-18;1768,0;1958,772093627394;1878,8428671754737;1894,620934060761;1857,2573344319992
2024-02-25;1800,9;1762,6933472241003;1823,9674009811763;1969,3304460669628;1981,7987849716264
2024-03-03;1537,9;1898,3705298091736;1930,588617028744;2004,1209360077648;1971,0152898727165
2024-03-10;1427,0;1520,0863630317242;1727,3625647639449;1676,6324746532914;1645,4271798452771
2024-03-17;1433,0;1471,5660962650566;1394,6079145311085;1629,1258886200874;1536,7302482881169
2024-03-24;1370,9;1338,3344839448791;1303,4540888036274;1334,0817107898956;1342,5395033634327
2024-03-31;1020,9;1304,681914656505;1226,5248583349646;1198,0667618433297;1155,9950173904017
2024-04-07;1131,0;789,3620252528841;826,0204288914762;757,2437044572807;721,4856322357007
2024-04-14;1168,0;997,0071891062696;749,4056756887321;774,6911337213371;702,2914893717261
2024-04-21;1140,0;1251,0034641035004;1148,9016985742217;838,9724865364988;769,4102099972043
2024-04-28;1282,9;1103,9918962000534;1143,4970174052337;983,6627359826246;798,1049861553439
2024-05-05;1004,9;1158,1797471362222;1032,1109355404978;1031,702591678212;901,1856853559772
2024-05-12;829,0;1032,368116281359;1094,4728510725909;955,404445448182;977,1080680349472
2024-05-19;1094,9;683,6038240358405;699,8879472788049;809,9501949900273;729,9211355957575
2024-05-26;837,0;1020,0620119102564;784,4589994103663;875,0929212644526;968,9162052970382
2024-06-02;763,9;868,3409819600353;991,7179447988912;764,6695496006921;829,2259946225323
2024-06-09;907,0;792,7248374560546;773,8481305644156;908,0434913719826;708,9958571584161
2024-06-16;1027,9;908,0323836560694;854,9608308646672;867,6012633134515;952,1028643089855
2024-06-23;1016,9;1118,6617138794377;1034,7163440289028;904,949389782984;908,542401594349
2024-06-30;960,9;975,9579956449998;978,1485796989904;892,2110848549189;838,8145142398864
2024-07-07;1050,9;958,9332909543932;978,8811892557544;1010,587929425872;941,1415084957476
2024-07-14;972,9;989,3000995491246;983,3151852004556;962,0044080757028;968,1927406998578
2024-07-21;861,0;893,3549526670927;892,46876179194;835,4951851714517;839,4853709923844
2024-07-28;741,0;798,2913213976808;800,7762416889443;812,514145646765;802,9719190519228
2024-08-04;691,0;681,7582646745741;707,2268296175807;776,7655144940322;846,3773679410237
2024-08-11;701,9;695,6217110912361;697,3583760872025;789,7172206304936;906,385703836106
2024-08-18;691,9;702,1679248162736;709,1196439062427;782,5047856907408;924,1186534193675
2024-08-25;803,9;693,1723905285255;746,8838074256806;856,3122949838855;1024,609450812652
2024-09-01;847,9;870,7122171262498;944,6148949271968;1098,2125751818005;1208,2465313712123
2024-09-08;920,0;921,6088450283488;1033,7073058195208;1088,5930602618166;1272,519835103631
2024-09-15;1095,9;1049,845500214136;1199,574770686413;1374,4054398822375;1400,898613631181
2024-09-22;1517,0;1262,806655058769;1359,4141700048149;1420,1357795718902;1580,7402765448403
2024-09-29;1477,9;;;;
2024-10-06;1362,0;;;;
2024-10-13;1913,0;;;;
