truth_date;value;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-22;153,0;;;;
2023-10-29;140,2;;;;
2023-11-05;110,8;;;;
2023-11-12;160,2;;;;
2023-11-19;195,3;180,23589668448787;144,6446883460564;181,5804167553634;182,97865924162988
2023-11-26;237,7;222,3394691865458;228,53561506109932;127,92214764902133;162,39880377911442
2023-12-03;298,6;269,8750514442747;251,3695861693942;238,58868702885405;138,73392505349557
2023-12-10;320,9;326,59370936581854;289,9232506716023;269,7076881530017;280,6640328052461
2023-12-17;414,6;337,6398817184958;339,11608152796464;276,34214551527856;319,8412704944372
2023-12-24;347,7;467,78695629077737;474,5436039415671;519,453898016109;389,008285122944
2024-01-07;221,7;297,9646824348473;464,6000230857912;355,0705007361473;420,3460816425268
2024-01-14;256,4;146,92838233367212;264,7170210567472;540,4807988398874;460,23255040619904
2024-01-21;296,0;316,61424399660444;327,0363693904552;480,521285289784;691,6262779048332
2024-01-28;381,0;353,40917039216407;396,3104972120571;259,1739586652289;338,85483612032
2024-02-04;488,8;442,7753476167195;394,2000602239296;382,5424681393224;148,93834831684185
2024-02-11;610,6;526,4343731677557;418,7506650964035;317,64930528153025;300,2340541811919
2024-02-18;620,2;657,4686382208167;581,4018885523119;448,7193711755072;372,39604363666007
2024-02-25;579,6;587,2364564335649;565,5216570975194;436,04398547946494;323,03580904676403
2024-03-03;459,8;494,383194863015;440,4980115672018;424,55283757052007;311,77443087529366
2024-03-10;385,5;355,15308691337594;317,52274399470946;313,1307708971674;353,78937637859883
2024-03-17;272,2;316,905642082525;233,7254206467704;216,84143436862;219,57705745618463
2024-03-24;240,9;197,5447976204384;175,818961235556;123,899561884754;137,7755901866918
2024-03-31;167,3;205,1154424429332;115,94749206537584;109,18526163628098;60,16081922672297
2024-04-07;111,9;121,96194931108371;105,9705215182831;77,50202400285004;85,0836679848396
2024-04-14;101,5;70,10086129369705;59,13623045095749;81,63928210449681;57,319844965191216
2024-04-21;95,1;92,57143747323944;60,48215556480946;46,30912381267883;57,79798768797404
2024-04-28;87,0;102,0638797601508;88,93043357749181;50,666778251800594;37,60435920517118
2024-05-05;67,2;75,79434450423737;81,4135145762866;89,48577890173023;85,72017634477533
2024-05-12;66,3;50,47014682359181;65,39141471946535;115,36235041310924;145,00613281277535
2024-05-19;49,8;;;;
2024-10-06;192,5;;;;
2024-10-13;213,2;;;;
