truth_date;value;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-22;17800,0;;;;
2023-10-29;18100,0;;;;
2023-11-05;19900,0;;;;
2023-11-12;18100,0;;;;
2023-11-19;19400,0;18451,69203677003;17865,89044792375;17731,27251156718;18809,273621790155
2023-11-26;15500,0;18788,59095410368;19603,34049438009;19086,24175054257;19952,975690948777
2023-12-03;25200,0;18001,02679906824;18593,4015471437;18861,36417868745;21417,79779765733
2023-12-10;27500,0;22573,54485424097;19590,32673068619;20393,693199282865;20252,88766636879
2023-12-17;21300,0;25209,2867004905;23377,69061832784;20810,68925780741;21460,895387659795
2023-12-24;29000,0;22552,302774920718;23333,481000808733;21905,948100261223;19145,89617975457
2023-12-31;34100,0;25977,051870911106;24014,36333195387;24834,995070344918;20879,771946883604
2024-01-07;23800,0;30378,683562346097;27101,35141912474;23178,86518435441;26345,8521606819
2024-01-14;13800,0;25527,00896282252;26836,99276996943;25349,694810175883;24661,312585799693
2024-01-21;18600,0;16350,447215554294;22692,6541726002;27797,599617091262;24609,829787384744
2024-01-28;18800,0;18720,485634734825;19874,88469127309;25612,599923319845;29073,7137554696
2024-02-04;15000,0;20191,393421872694;20647,313151778573;19882,67399493922;27356,590350095623
2024-02-11;16900,0;16041,093686640956;17659,503081226;18068,64222885957;16646,073391950616
2024-02-18;37800,0;17232,93517032129;17347,162366535842;17983,5512654029;16549,183894069687
2024-02-25;20200,0;30396,10933529827;18700,40145113842;16628,391038726702;20833,911020974927
2024-03-03;15400,0;25070,24903367198;27812,479170813334;15545,513951513329;16276,10249308654
2024-03-10;20100,0;16696,185850233276;19924,915633592573;28586,27789394713;14372,078348638775
2024-03-17;16400,0;19686,841836055264;17411,941914713796;22799,023542952196;25975,645839301025
2024-03-24;19700,0;16707,59464151996;17591,061637643208;14703,086840508058;19330,135254243894
2024-03-31;17200,0;18025,176680437133;16791,475653922218;15842,430886263584;11861,921705669416
2024-04-07;20500,0;16220,420889609348;16939,63420169353;13235,549263985602;13210,846123736832
2024-04-14;23100,0;18593,93869869409;16676,74180336331;16058,13733435467;13197,87684184942
2024-04-21;13000,0;20758,811424548912;19161,659427919065;15755,432938371949;16610,81470665815
2024-04-28;14400,0;15281,22955228362;17131,212388676733;17129,594859970235;15702,586909782174
2024-05-05;11800,0;12818,95907856714;14855,26453663426;19085,96604031276;18027,180440972334
2024-05-12;14900,0;12991,526555989867;13211,47191312098;14380,729747838912;18180,385694781507
2024-05-19;13500,0;13998,209723241447;15207,31971133497;14389,848218231466;15128,000072240846
2024-05-26;10500,0;13827,13707138907;14252,053395999066;12896,38340795233;14597,201803374017
2024-06-02;15100,0;11443,288493023769;12802,144284900814;13141,29493898732;12999,541426938871
2024-06-09;14700,0;13606,46393964304;11328,232056749252;13462,372443017772;14214,97591395676
2024-06-16;18000,0;13618,18936156603;13247,360345198447;13185,18978724976;14580,62446153063
2024-06-23;12600,0;15833,131206951395;14994,45650469032;14680,955814277098;13096,377233821328
2024-06-30;8300,0;13205,626877469293;14697,531166889865;13426,97966795404;11983,813836038897
2024-07-07;10700,0;10241,610021902854;13153,133166475409;15736,738142065196;14741,431969235882
2024-07-14;12100,0;10460,384844288996;10371,621029004542;12219,721575843509;14965,027062474705
2024-07-21;11400,0;11443,693492941373;10638,137604692583;10314,393111202084;12179,5981113357
2024-07-28;8900,0;11572,027417728235;11198,341381772703;9475,439499567352;8641,28790844966
2024-08-04;12900,0;8705,501509967533;10130,476707816706;10030,257408939557;7619,479804333088
2024-08-11;7400,0;11483,83155544056;9621,301507499464;8975,954682786974;8908,414180105494
2024-08-18;9300,0;8973,463986203684;10104,214452194956;8878,958568819424;9473,024452346071
2024-08-25;6400,0;8506,712220397189;8977,999481490742;10039,915971203922;10012,2798977517
2024-09-01;8800,0;7471,279098929031;9040,795610097884;9148,807621109543;12974,880310955825
2024-09-08;13900,0;9110,16541734894;10710,437735509886;12683,146844034009;13810,338638641932
2024-09-15;17100,0;13873,262018650425;12816,140158976632;15231,881388423695;16543,814513429614
2024-09-22;11300,0;18348,285266256265;16132,979691177074;15748,84130003872;14944,994653076192
2024-09-29;15700,0;;;;
2024-10-06;17100,0;;;;
2024-10-13;22400,0;;;;
