truth_date;value;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-22;2114,8;;;;
2023-10-29;2094,0;;;;
2023-11-05;2090,6;;;;
2023-11-12;2248,4;;;;
2023-11-19;2184,9;2416,9425501775404;2633,3641587960046;2442,553393557941;3660,956032110658
2023-11-26;2778,6;2300,156458474607;2269,555992911761;2204,6701632689715;2418,789645120697
2023-12-03;2395,5;3238,4093492315974;2857,564334835487;2795,0008643913466;2839,7648094444085
2023-12-10;2834,0;2483,7574692320786;2078,1295710998165;2159,747333269413;2096,0124973461607
2023-12-17;3242,5;3489,619879987995;3152,302580897319;2835,15323925581;2945,8304086108787
2023-12-24;3209,8;3117,893041514521;2899,721100986178;3008,253724313359;2690,7244014449743
2023-12-31;2238,3;2849,9774551580144;2900,849112055564;2732,905478189932;2395,587457939747
2024-01-07;2420,4;1790,0062086978537;1594,603391175869;2168,199737391787;2030,6720500458048
2024-01-14;2343,0;2643,404191682644;2440,108750980108;2837,1753432133783;2921,9233742622464
2024-01-21;2156,0;2329,9898668291025;2231,556144522924;2031,5660296279716;2233,170583103152
2024-01-28;3180,1;2242,5297123987298;2097,7580225677275;1836,327482110506;1738,1059052835485
2024-02-04;3161,0;3068,425914890417;2557,6597400380656;2483,9264324272363;2257,2497387815106
2024-02-11;3595,8;3182,02442915464;2686,8929372997163;1985,342335617742;1948,244500151185
2024-02-18;2634,8;3768,529578223664;3531,0480926283926;2895,101897368104;2249,469239095224
2024-02-25;1945,2;2397,394002462351;1981,6164988214705;2268,311465686466;2262,251938957632
2024-03-03;2338,0;1893,9640005030212;1580,6758524096697;1737,8358013131733;1916,2174675582828
2024-03-10;1790,0;2353,6222137336827;2198,3298478550137;2330,6595021149456;2362,3687350874234
2024-03-17;1798,0;1595,2122818564972;1712,9913507174838;1559,632203871961;1826,1930931199656
2024-03-24;2179,8;1873,9425755967832;1596,268833342845;1356,1744239431496;1589,333702673386
2024-03-31;1629,1;;;;
2024-04-07;1512,6;;;;
2024-10-13;3214,2;;;;
