truth_date;value;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-22;153,0;;;;
2023-10-29;140,2;;;;
2023-11-05;110,8;;;;
2023-11-12;160,2;;;;
2023-11-19;195,3;180,48029406964585;145,10489386146864;184,5047077988557;173,71632171945674
2023-11-26;237,7;219,86063356325832;240,1615703230683;128,07175661357132;163,0111838780399
2023-12-03;298,6;266,39646951156493;240,86415237720556;238,9055863563459;148,30005144456322
2023-12-10;320,9;320,3910005774196;282,2923456243287;288,6085495287118;249,4642340415473
2023-12-17;414,6;325,3174574661054;347,4835060810082;287,2880296889816;281,96305443706973
2023-12-24;347,7;474,6556678081292;497,35188148691486;507,6735172836067;314,3595674397964
2024-01-07;221,7;290,6327894330653;336,86857152508634;294,9372487329849;383,6305691294668
2024-01-14;256,4;153,8041209753677;196,14536687975308;459,732684720518;452,47387476139295
2024-01-21;296,0;316,59973443595266;321,2830456940921;359,68145850590463;670,1942026512817
2024-01-28;381,0;336,96967016750824;478,04503203505465;187,23817359463777;338,2640280014161
2024-02-04;488,8;438,5785624252512;410,89886261572303;353,9365958554357;147,24903980253652
2024-02-11;610,6;525,3579875722371;508,5123761563297;337,89666485548764;337,47440657345453
2024-02-18;620,2;653,3134331922439;627,3706638398605;541,677737399385;390,67035060573664
2024-02-25;579,6;587,5729179076817;520,4361731545876;454,74850206816376;339,67152321786955
2024-03-03;459,8;497,8694108537104;427,66278644932726;451,285871325001;332,6687152472549
2024-03-10;385,5;360,2448225731606;277,50888482870585;303,38130669089395;366,92258505694366
2024-03-17;272,2;316,8628390306603;275,11413906430266;251,2122794570268;263,58165473111904
2024-03-24;240,9;202,80171265181215;178,69415135442608;122,55406622604062;145,54786737736424
2024-03-31;167,3;196,712133351763;155,4422246669071;142,75079523153295;100,00285354663998
2024-04-07;111,9;128,49011096891405;68,27066028149306;75,01187327152786;115,15901209024328
2024-04-14;101,5;75,63711987758194;63,18862102623776;83,5520536418424;80,18397997240822
2024-04-21;95,1;89,06032221944272;68,69363629313517;43,20275638698306;81,97903933546309
2024-04-28;87,0;103,6471614120874;94,1716252471085;42,50128840230606;50,597735951220486
2024-05-05;67,2;82,72629380576018;80,57929769620803;94,939223154775;96,13350523850023
2024-05-12;66,3;52,81824281698557;73,80487935299573;114,72711747184802;148,93781894634571
2024-05-19;49,8;;;;
2024-10-06;192,5;;;;
2024-10-13;213,2;;;;
