truth_date;value;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-22;17800,0;;;;
2023-10-29;18100,0;;;;
2023-11-05;19900,0;;;;
2023-11-12;18100,0;;;;
2023-11-19;19400,0;17761,48062556738;17488,62673265297;18141,172811937668;18720,16181321234
2023-11-26;15500,0;18979,59091549471;19419,45176251501;19673,508420908627;18642,561120749386
2023-12-03;25200,0;17470,59689798819;18392,89664748786;18607,72220345893;19605,50641799009
2023-12-10;27500,0;21931,223504153477;19217,34725952403;19777,604901393235;19287,71352458902
2023-12-17;21300,0;24976,50372273116;23904,0160620536;21546,9914755546;20268,586536936924
2023-12-24;29000,0;23215,73163674988;22546,84106383036;21225,412635079003;18451,19526762383
2023-12-31;34100,0;25453,61424596479;24713,91897101724;24190,976006322504;21585,47943072154
2024-01-07;23800,0;29267,3618742774;28018,225989889943;23599,210131424865;25265,981756943904
2024-01-14;13800,0;25684,07202766127;24355,669743518767;25451,842889804808;24248,33009546112
2024-01-21;18600,0;16983,017924995584;22714,49050026448;27168,163873259684;25806,059978345773
2024-01-28;18800,0;17805,229190790993;18439,786917234487;25772,24978008846;28348,052202176063
2024-02-04;15000,0;19759,09504952046;19713,51156114201;20309,8437409622;27270,30603346104
2024-02-11;16900,0;16907,045269637147;16700,99181181324;17400,3811928901;18531,89733132481
2024-02-18;37800,0;17001,921123631135;16965,25617037828;18663,66538572736;17405,33375622016
2024-02-25;20200,0;30234,68615385569;18962,09117448823;16385,051684807226;19858,28948631917
2024-03-03;15400,0;25436,406756058303;25229,4498933641;17166,052509463614;16088,438670124402
2024-03-10;20100,0;17098,708750146503;19378,90826080426;29552,19630548044;14844,497972582029
2024-03-17;16400,0;18005,12692597727;17282,750653765645;22439,35201593777;26538,70395388228
2024-03-24;19700,0;17157,115063745456;16731,568599544822;15658,875217419874;19615,363100490507
2024-03-31;17200,0;17946,98180095707;16601,43709121694;15568,26207800323;11904,402089240471
2024-04-07;20500,0;15546,913413983471;15138,75754117527;12406,42413245686;13196,210632166112
2024-04-14;23100,0;17837,345237479516;15355,49954315372;15036,659157518214;12109,995257673543
2024-04-21;13000,0;20168,307949657537;18038,90667602635;15964,642057429282;14845,40592318566
2024-04-28;14400,0;14806,344258844589;16034,824555988904;16102,43347641061;15755,78293121291
2024-05-05;11800,0;13412,11059305002;14959,151986100169;17964,997435447753;18926,04197097766
2024-05-12;14900,0;12889,943652057897;13448,664755164518;14633,138041076818;17442,283214639316
2024-05-19;13500,0;14198,82553872162;14048,775521491643;14710,208030279562;16243,117306133838
2024-05-26;10500,0;13333,674960659244;14117,299857684253;13961,919724535204;15373,411474332202
2024-06-02;15100,0;10976,269883120614;12610,109165146505;12875,390989490365;13187,497429573968
2024-06-09;14700,0;13200,56182708526;12303,404486925385;12963,265438437007;13126,685447936205
2024-06-16;18000,0;13640,26748684704;14272,799026815735;14488,307722924728;15013,516093817008
2024-06-23;12600,0;16170,26881105114;15132,568699363852;16603,583211026602;13600,954618029784
2024-06-30;8300,0;12613,182816860644;14893,484342651682;13845,696623112104;13270,41257106987
2024-07-07;10700,0;9796,713989218508;11168,882530908357;14902,645214893058;14535,085829563384
2024-07-14;12100,0;10076,867316088345;10275,141818408876;12744,672507819736;15300,46689097201
2024-07-21;11400,0;11852,321021335954;10834,745425853089;12523,678938555164;13529,125854329224
2024-07-28;8900,0;10666,666135805075;12022,254126024443;12072,042580352296;9939,070954637133
2024-08-04;12900,0;9336,380960921992;10082,702200135598;9968,753300143562;9118,33772989236
2024-08-11;7400,0;11388,645158784784;9959,57311887258;10285,704027695145;9657,283645308604
2024-08-18;9300,0;7840,365234573044;9412,53503247599;9131,54177524002;10254,317551241922
2024-08-25;6400,0;8747,1799329456;9480,504484173514;11442,71873221702;10466,47673765566
2024-09-01;8800,0;8125,445326313613;8726,076269802514;7698,050082395825;12382,985134787024
2024-09-08;13900,0;8891,703675879031;9976,204499580766;14604,793769022666;12802,7036997556
2024-09-15;17100,0;13098,334358064443;13540,330916443114;16063,348489049282;16057,38494525693
2024-09-22;11300,0;19069,74376896859;17189,075961284445;15651,150821905676;14045,07035473446
2024-09-29;15700,0;;;;
2024-10-06;17100,0;;;;
2024-10-13;22400,0;;;;
