value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
1182,7;77,17224;18,200214;10,550215;1;2023;1258,3;76,29426;20,164501;12,100215;1233,6;76,30585;22,207357;13,014501;979,3;77,41741;19,407358;12,450215;767,2;77,600945;23,3145;14,457357;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;1291,1;1118,2;990,6;1295,3146;1225,8665;1229,2404;1188,1655
1291,1;81,58094;15,628786;9,9145;1;2023;1182,7;77,17224;18,200214;10,550215;1258,3;76,29426;20,164501;12,100215;1233,6;76,30585;22,207357;13,014501;979,3;77,41741;19,407358;12,450215;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;1118,2;990,6;1532,3;1265,9956;1185,2261;1230,9186;1215,8556
1118,2;86,92018;13,907357;9,385928;1;2023;1291,1;81,58094;15,628786;9,9145;1182,7;77,17224;18,200214;10,550215;1258,3;76,29426;20,164501;12,100215;1233,6;76,30585;22,207357;13,014501;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;990,6;1532,3;1222,1;1232,1193;1144,5193;1200,7169;1318,9299
990,6;84,014595;12,393072;8,385929;1;2023;1118,2;86,92018;13,907357;9,385928;1291,1;81,58094;15,628786;9,9145;1182,7;77,17224;18,200214;10,550215;1258,3;76,29426;20,164501;12,100215;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;1532,3;1222,1;1313,0;1200,8033;1171,9146;1208,756;1401,0215
1532,3;87,18748;10,9645;6,085929;1;2023;990,6;84,014595;12,393072;8,385929;1118,2;86,92018;13,907357;9,385928;1291,1;81,58094;15,628786;9,9145;1182,7;77,17224;18,200214;10,550215;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;1222,1;1313,0;1534,4;1111,912;1177,6125;1219,7526;1412,6101
1222,1;88,751595;11,428786;6,8073573;1;2023;1532,3;87,18748;10,9645;6,085929;990,6;84,014595;12,393072;8,385929;1118,2;86,92018;13,907357;9,385928;1291,1;81,58094;15,628786;9,9145;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;1313,0;1534,4;1715,7;1399,6652;1326,9741;1318,6361;1454,1688
1313,0;88,279366;8,793071;4,1359286;1;2023;1222,1;88,751595;11,428786;6,8073573;1532,3;87,18748;10,9645;6,085929;990,6;84,014595;12,393072;8,385929;1118,2;86,92018;13,907357;9,385928;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;1534,4;1715,7;1668,5;1311,5513;1382,5691;1490,1141;1439,135
1534,4;88,101006;3,4716427;-0,9997857;1;2023;1313,0;88,279366;8,793071;4,1359286;1222,1;88,751595;11,428786;6,8073573;1532,3;87,18748;10,9645;6,085929;990,6;84,014595;12,393072;8,385929;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;1715,7;1668,5;1765,8;1394,5681;1564,4637;1648,9612;1502,9147
1715,7;86,343834;8,7287855;3,9859283;1;2023;1534,4;88,101006;3,4716427;-0,9997857;1313,0;88,279366;8,793071;4,1359286;1222,1;88,751595;11,428786;6,8073573;1532,3;87,18748;10,9645;6,085929;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;1668,5;1765,8;1505,9;1611,2336;1518,0834;1436,9006;1393,0045
1668,5;89,98573;8,321643;4,328786;1;2023;1715,7;86,343834;8,7287855;3,9859283;1534,4;88,101006;3,4716427;-0,9997857;1313,0;88,279366;8,793071;4,1359286;1222,1;88,751595;11,428786;6,8073573;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;1765,8;1505,9;1185,9;1661,9218;1478,0762;1366,4442;1365,319
